epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.6278,1.0888,1.15702,1.15685,0.44038,0.36086,0.35891,0.20806,1.06221,1.14696,1.15567,0.000332921,0.000332921,0.0670408
2,182.096,1.09192,1.15991,1.15927,0.43961,0.36321,0.35626,0.20607,1.06493,1.14758,1.15774,0.000666214,0.000666214,0.0340408
3,266.453,1.09262,1.16227,1.15788,0.457,0.35402,0.35596,0.20648,1.06802,1.1486,1.15776,0.000999344,0.000999344,0.00104055
4,349.801,1.0914,1.15576,1.15832,0.44837,0.35788,0.35633,0.20614,1.06795,1.15073,1.15722,0.00099945,0.00099945,0.00099945
5,433.922,1.09176,1.1623,1.15853,0.43277,0.36305,0.35554,0.20642,1.06329,1.14487,1.15824,0.000999023,0.000999023,0.000999023
6,520.902,1.09541,1.16352,1.15827,0.43617,0.35938,0.34482,0.19777,1.06303,1.153,1.15462,0.000998474,0.000998474,0.000998474
7,606.15,1.09013,1.15985,1.15737,0.44727,0.36202,0.35774,0.20645,1.06654,1.14987,1.16021,0.000997803,0.000997803,0.000997803
8,692.722,1.08811,1.15972,1.16128,0.45329,0.35917,0.35632,0.20654,1.06294,1.1446,1.1554,0.000997011,0.000997011,0.000997011
9,782.865,1.09224,1.15897,1.157,0.46092,0.35553,0.35738,0.20787,1.06269,1.14566,1.15673,0.000996097,0.000996097,0.000996097
10,871.752,1.08416,1.15178,1.15949,0.44858,0.36153,0.3558,0.20606,1.06619,1.14979,1.15815,0.000995062,0.000995062,0.000995062
11,961.97,1.09106,1.15743,1.16173,0.45411,0.35802,0.35725,0.20631,1.06555,1.14758,1.15669,0.000993906,0.000993906,0.000993906
12,1050.83,1.09269,1.16343,1.1594,0.45243,0.36106,0.36031,0.20848,1.06083,1.13965,1.15412,0.000992629,0.000992629,0.000992629
13,1139.89,1.08492,1.1522,1.15693,0.45763,0.35374,0.35844,0.20902,1.06318,1.15117,1.15521,0.000991232,0.000991232,0.000991232
14,1227.99,1.0914,1.15865,1.15829,0.44545,0.36622,0.35702,0.20668,1.06282,1.14696,1.15381,0.000989715,0.000989715,0.000989715
15,1317.12,1.0879,1.15572,1.16051,0.45102,0.35707,0.35452,0.20581,1.06384,1.14514,1.15556,0.000988079,0.000988079,0.000988079
16,1400.73,1.08708,1.15299,1.15761,0.45212,0.35499,0.35649,0.20684,1.05878,1.14604,1.15326,0.000986323,0.000986323,0.000986323
17,1484.68,1.08977,1.15342,1.15746,0.46045,0.355,0.35532,0.20574,1.06119,1.14359,1.1554,0.000984449,0.000984449,0.000984449
18,1570.47,1.08728,1.15138,1.15696,0.44819,0.36021,0.35768,0.20828,1.06121,1.14159,1.15547,0.000982456,0.000982456,0.000982456
19,1657.11,1.08985,1.1558,1.1539,0.4529,0.3611,0.36113,0.20893,1.05802,1.13898,1.15207,0.000980345,0.000980345,0.000980345
20,1740.57,1.08735,1.1535,1.15547,0.46676,0.36083,0.36357,0.21059,1.05999,1.13795,1.15518,0.000978118,0.000978118,0.000978118
21,1825.42,1.08588,1.14944,1.15528,0.45937,0.35993,0.35922,0.20911,1.05539,1.13769,1.1512,0.000975773,0.000975773,0.000975773
22,1910.26,1.08092,1.14902,1.15502,0.45307,0.36117,0.36163,0.21038,1.05866,1.13938,1.15384,0.000973312,0.000973312,0.000973312
23,1995.08,1.07926,1.14516,1.15329,0.45214,0.36299,0.35997,0.20882,1.06108,1.13928,1.15296,0.000970736,0.000970736,0.000970736
24,2079.5,1.08428,1.14788,1.15455,0.45693,0.36132,0.36196,0.20952,1.05644,1.13106,1.15233,0.000968045,0.000968045,0.000968045
25,2162.76,1.08525,1.14921,1.15191,0.44936,0.36843,0.36365,0.21129,1.05561,1.13307,1.1508,0.000965239,0.000965239,0.000965239
26,2247.35,1.08471,1.14938,1.15779,0.45443,0.36285,0.36424,0.21103,1.06101,1.13812,1.15497,0.00096232,0.00096232,0.00096232
27,2331.64,1.08681,1.15185,1.15376,0.45675,0.36404,0.36248,0.21066,1.06117,1.13668,1.15336,0.000959289,0.000959289,0.000959289
28,2415.23,1.08468,1.14393,1.15368,0.45187,0.36159,0.36069,0.21014,1.05631,1.13457,1.15207,0.000956145,0.000956145,0.000956145
29,2500.29,1.08711,1.14453,1.15432,0.45796,0.36634,0.36452,0.21174,1.05717,1.1345,1.15169,0.000952889,0.000952889,0.000952889
30,2583.28,1.08432,1.14267,1.14947,0.45307,0.36391,0.35979,0.20723,1.05656,1.13352,1.15063,0.000949524,0.000949524,0.000949524
31,2667.07,1.08204,1.14689,1.15222,0.45817,0.36262,0.3632,0.21039,1.05774,1.13195,1.15218,0.000946048,0.000946048,0.000946048
32,2751.38,1.08175,1.14446,1.15176,0.46833,0.35716,0.36477,0.21194,1.05604,1.13443,1.1507,0.000942464,0.000942464,0.000942464
33,2834.7,1.07995,1.14356,1.15263,0.4464,0.36437,0.36249,0.21099,1.05513,1.13367,1.15001,0.000938772,0.000938772,0.000938772
34,2918.21,1.086,1.14807,1.15573,0.46568,0.36149,0.3633,0.21124,1.05506,1.13207,1.14912,0.000934973,0.000934973,0.000934973
35,3001.61,1.07795,1.13923,1.15162,0.45491,0.36416,0.36345,0.21212,1.0551,1.13084,1.14994,0.000931067,0.000931067,0.000931067
36,3084.22,1.07767,1.14031,1.15313,0.44987,0.36559,0.36412,0.21331,1.05089,1.13126,1.14868,0.000927057,0.000927057,0.000927057
37,3169.59,1.08206,1.13934,1.14803,0.45423,0.35973,0.35918,0.20879,1.05209,1.13113,1.14845,0.000922942,0.000922942,0.000922942
38,3256.15,1.07655,1.14124,1.15114,0.4471,0.36717,0.36224,0.21138,1.05461,1.13032,1.14876,0.000918725,0.000918725,0.000918725
39,3341.67,1.0823,1.14403,1.15081,0.45431,0.36346,0.36474,0.21352,1.05352,1.13202,1.14945,0.000914405,0.000914405,0.000914405
40,3425.39,1.07928,1.13627,1.15321,0.46135,0.36263,0.3658,0.21407,1.05247,1.12893,1.14767,0.000909984,0.000909984,0.000909984
41,3509.23,1.08297,1.14254,1.15666,0.45965,0.36429,0.36365,0.21229,1.053,1.1287,1.14812,0.000905463,0.000905463,0.000905463
42,3594.58,1.0845,1.14252,1.15062,0.46714,0.36246,0.36681,0.21194,1.04931,1.12569,1.14525,0.000900844,0.000900844,0.000900844
43,3677.75,1.08192,1.14257,1.14857,0.46364,0.36471,0.36646,0.21414,1.04954,1.12614,1.14696,0.000896127,0.000896127,0.000896127
44,3761.6,1.07773,1.13884,1.15315,0.4599,0.36464,0.36617,0.21395,1.04889,1.12668,1.1456,0.000891313,0.000891313,0.000891313
45,3847.66,1.07545,1.13513,1.14851,0.46576,0.36463,0.36781,0.21486,1.05259,1.12456,1.14724,0.000886404,0.000886404,0.000886404
46,3931.86,1.08152,1.13752,1.14995,0.46112,0.36091,0.36399,0.21129,1.05307,1.12595,1.149,0.000881401,0.000881401,0.000881401
47,4017.43,1.0809,1.1406,1.15228,0.45666,0.36234,0.36301,0.21059,1.05227,1.12654,1.14715,0.000876305,0.000876305,0.000876305
48,4103.87,1.08012,1.13701,1.15002,0.46185,0.36626,0.36875,0.21602,1.04858,1.12379,1.14533,0.000871117,0.000871117,0.000871117
49,4187.63,1.07745,1.13405,1.14711,0.46274,0.36421,0.3675,0.21362,1.05039,1.12285,1.14668,0.000865839,0.000865839,0.000865839
50,4274.91,1.07779,1.13495,1.15403,0.46489,0.36594,0.36925,0.21438,1.05098,1.1229,1.14675,0.000860473,0.000860473,0.000860473
51,4359.63,1.07654,1.13719,1.15125,0.46439,0.36567,0.36914,0.21497,1.049,1.12059,1.14612,0.000855018,0.000855018,0.000855018
52,4445.15,1.07539,1.13264,1.15044,0.45325,0.36603,0.36336,0.21126,1.04782,1.12212,1.14507,0.000849477,0.000849477,0.000849477
53,4528.79,1.07716,1.13332,1.15094,0.46141,0.36495,0.36905,0.21515,1.04731,1.1186,1.14566,0.000843851,0.000843851,0.000843851
54,4611.46,1.07473,1.13026,1.15059,0.46317,0.36654,0.37018,0.21666,1.04629,1.11946,1.14478,0.000838141,0.000838141,0.000838141
55,4695.83,1.0777,1.13504,1.15112,0.4635,0.3649,0.36963,0.21591,1.04729,1.11979,1.14547,0.000832349,0.000832349,0.000832349
56,4782.6,1.07949,1.132,1.14699,0.45256,0.36637,0.36711,0.2139,1.04605,1.11939,1.14477,0.000826477,0.000826477,0.000826477
57,4869.31,1.07679,1.13194,1.14431,0.46136,0.36633,0.36931,0.21506,1.04728,1.12034,1.14554,0.000820525,0.000820525,0.000820525
58,4952.83,1.07186,1.1278,1.1491,0.46856,0.36928,0.37301,0.21765,1.04706,1.11865,1.14479,0.000814495,0.000814495,0.000814495
59,5036.68,1.06983,1.12978,1.15076,0.46105,0.36638,0.36871,0.21463,1.04714,1.11985,1.14393,0.000808389,0.000808389,0.000808389
60,5120.45,1.07895,1.13238,1.14806,0.47437,0.36203,0.36893,0.21461,1.04548,1.11754,1.14397,0.000802208,0.000802208,0.000802208
61,5203.95,1.0712,1.12228,1.14406,0.4685,0.36564,0.37065,0.2164,1.04484,1.11547,1.1435,0.000795954,0.000795954,0.000795954
62,5287.4,1.07168,1.12415,1.14549,0.46806,0.36221,0.36834,0.21453,1.04255,1.11587,1.14241,0.000789628,0.000789628,0.000789628
63,5374.89,1.07052,1.12149,1.14442,0.46301,0.36429,0.36778,0.21427,1.04464,1.11701,1.14294,0.000783231,0.000783231,0.000783231
64,5464.14,1.07125,1.12843,1.14947,0.46117,0.36538,0.36793,0.21448,1.04391,1.11635,1.14287,0.000776766,0.000776766,0.000776766
65,5550.43,1.07279,1.12529,1.15125,0.46731,0.36491,0.37214,0.21767,1.04395,1.11559,1.14261,0.000770234,0.000770234,0.000770234
66,5638.75,1.0723,1.12557,1.14431,0.46309,0.36927,0.37129,0.21667,1.04532,1.11638,1.14307,0.000763637,0.000763637,0.000763637
67,5724.29,1.07227,1.12256,1.14562,0.46768,0.36495,0.369,0.21534,1.04535,1.11574,1.14321,0.000756976,0.000756976,0.000756976
