model,Precision(%),Recall(%),mAP@50(%),mAP@50:95(%),params,GFLOPS
yolov11n,45.1,34.4,34.2,19.8,2584102,6.3
RFD(-1),46.2,34.7,35.0,20.3,2483590,6.2
RFD,47.2,35.1,35.8,20.7,2483822,6.4
SACSP,48.3,35.2,36.4,21.4,2806550,8.5
P2,46.3,37.4,37.4,22.4,1933518,9.6
SFPN3,46.0,34.6,35.3,20.4,2595718,7.9
SDCIOU,46.4,34.5,35.1,20.2


SFPN160_1,49.9,38.4,39.3,23.4,2006398,12.2
SFPN160_2,51.3,39.3,41.2,25.0,2208574,15.2
SFPN160_3,53.4,39.6,42.3,25.6,2410750,18.2
SFPN160_4,53.7,41.8,43.7,26.5,2612926,21.2
SFPN160_5,54.0,43.3,44.7,27.2,2815102,24.2



RFD+SACSP,48.1,36.4,37.2,21.7,2706270,8.5
RFD+SACSP+P2,51.4,38.7,40.2,24.1,2091462,12.0
RFD+SACSP+P2+SFPN3,56.8,41.1,44.5,27.1,2568694 ,20.4
RFD+SACSP+P2+SFPN3+SDCIOU,54.0,42.6,44.8,27.5,2568694,20.4
RFD+SACSP+P2+SFPN2+SDCIOU,53.7,39.2,42.0,25.4,2366518,17.4
RFD+SACSP+P2+SFPN1+SDCIOU,53.1,38.6,40.8,24.5,2164342,14.4
