epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,245.367,3.25337,4.26081,3.30776,0.02733,0.06691,0.02297,0.00753,2.35221,2.96483,2.30292,0.00332921,0.00332921,0.0700371
2,461.959,2.10964,2.89635,1.97755,0.36819,0.09677,0.06065,0.02674,1.94999,2.39832,1.76786,0.00666244,0.00666244,0.040037
3,688.715,1.82277,2.47743,1.69921,0.50133,0.11404,0.09083,0.04379,1.66904,2.04041,1.56721,0.00999527,0.00999527,0.0100365
4,912.479,1.6747,2.23448,1.56249,0.24103,0.14527,0.10437,0.05256,1.57417,1.92004,1.48841,0.00999863,0.00999863,0.00999863
5,1127.91,1.57798,2.05622,1.48214,0.15388,0.17036,0.12123,0.06286,1.48814,1.80313,1.43659,0.00999756,0.00999756,0.00999756
6,1344.7,1.52084,1.9285,1.43374,0.19458,0.19356,0.1481,0.07833,1.42646,1.67176,1.378,0.00999618,0.00999618,0.00999618
7,1565.78,1.46981,1.83591,1.39881,0.22065,0.20302,0.1631,0.08878,1.37282,1.60691,1.35151,0.0099945,0.0099945,0.0099945
8,1785.27,1.43527,1.76718,1.37955,0.23655,0.23052,0.18465,0.09871,1.36408,1.53664,1.33246,0.00999252,0.00999252,0.00999252
9,2007.66,1.41011,1.7081,1.35321,0.23206,0.22053,0.18118,0.09718,1.34294,1.52574,1.32263,0.00999023,0.00999023,0.00999023
10,2224.25,1.37978,1.65815,1.34135,0.27579,0.24001,0.20783,0.11436,1.33555,1.48841,1.30953,0.00998764,0.00998764,0.00998764
11,2444.49,1.37144,1.61877,1.33228,0.29161,0.25446,0.22078,0.12085,1.29691,1.4228,1.28721,0.00998474,0.00998474,0.00998474
12,2663.01,1.35462,1.5992,1.31811,0.28713,0.25447,0.22718,0.1258,1.29504,1.41086,1.2827,0.00998154,0.00998154,0.00998154
13,2882.05,1.33315,1.5554,1.30676,0.30826,0.25621,0.23423,0.12957,1.26165,1.37887,1.27366,0.00997803,0.00997803,0.00997803
14,3097.69,1.32557,1.53825,1.29807,0.32492,0.26062,0.24391,0.13659,1.23921,1.36333,1.25744,0.00997422,0.00997422,0.00997422
15,3315.47,1.31511,1.51201,1.29367,0.34313,0.27682,0.25893,0.14493,1.24758,1.3386,1.25721,0.00997011,0.00997011,0.00997011
16,3536.52,1.29994,1.48557,1.28345,0.346,0.28651,0.26371,0.14664,1.24088,1.32891,1.25039,0.00996569,0.00996569,0.00996569
17,3749.77,1.292,1.46839,1.27541,0.33284,0.28535,0.26556,0.14907,1.22324,1.32232,1.24737,0.00996097,0.00996097,0.00996097
18,3964.01,1.28063,1.44887,1.27016,0.35327,0.28811,0.27625,0.15329,1.21723,1.29275,1.23902,0.00995594,0.00995594,0.00995594
19,4186.95,1.2765,1.43984,1.26182,0.37673,0.29353,0.28412,0.15983,1.21523,1.28194,1.23698,0.00995062,0.00995062,0.00995062
20,4405.38,1.26916,1.416,1.25845,0.39124,0.29402,0.28449,0.16094,1.1992,1.27383,1.22437,0.00994499,0.00994499,0.00994499
21,4621.25,1.2633,1.40331,1.2535,0.37439,0.30262,0.29224,0.16555,1.19778,1.26151,1.22447,0.00993906,0.00993906,0.00993906
22,4837.17,1.25435,1.38545,1.25003,0.38679,0.30757,0.29908,0.16854,1.19804,1.24659,1.2261,0.00993282,0.00993282,0.00993282
23,5050.74,1.24845,1.37291,1.24539,0.38662,0.30605,0.3009,0.17032,1.18427,1.24095,1.21615,0.00992629,0.00992629,0.00992629
24,5265.78,1.24869,1.36393,1.24184,0.40386,0.31401,0.30634,0.17494,1.18565,1.22575,1.20855,0.00991946,0.00991946,0.00991946
25,5484.07,1.26245,1.35754,1.2356,0.41186,0.31959,0.3065,0.17415,1.21334,1.22843,1.21179,0.00991232,0.00991232,0.00991232
26,5699.63,1.29015,1.3534,1.23836,0.41053,0.31525,0.30981,0.17766,1.23776,1.22275,1.20737,0.00990489,0.00990489,0.00990489
27,5912.47,1.30742,1.35179,1.22999,0.40467,0.3167,0.30968,0.17794,1.24768,1.22292,1.2061,0.00989715,0.00989715,0.00989715
28,6127.1,1.31678,1.3381,1.22535,0.40852,0.32402,0.31375,0.18073,1.2562,1.21711,1.19622,0.00988912,0.00988912,0.00988912
29,6340.84,1.33124,1.33537,1.22361,0.43267,0.32216,0.31873,0.18339,1.2706,1.21915,1.19269,0.00988079,0.00988079,0.00988079
30,6552.32,1.33131,1.32656,1.21561,0.41691,0.3242,0.32062,0.18431,1.27675,1.21343,1.19371,0.00987216,0.00987216,0.00987216
31,6767.79,1.33012,1.32519,1.21522,0.43754,0.323,0.32655,0.18855,1.2698,1.20834,1.18876,0.00986323,0.00986323,0.00986323
