epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,276.305,4.18031,4.30403,3.33385,0.02615,0.06671,0.01993,0.00667,3.05967,3.18297,2.3612,0.00332921,0.00332921,0.0700371
2,520.38,2.73108,2.90852,2.004,0.27804,0.08901,0.06019,0.02673,2.44188,2.37444,1.74825,0.00666244,0.00666244,0.040037
3,772.31,2.37239,2.50435,1.71152,0.19481,0.10968,0.08381,0.041,2.14236,2.08726,1.58463,0.00999527,0.00999527,0.0100365
4,1020.23,2.17024,2.25182,1.56832,0.21959,0.15865,0.10739,0.05368,1.98377,1.91464,1.48571,0.00999863,0.00999863,0.00999863
5,1261.24,2.04168,2.07285,1.48316,0.25136,0.15669,0.11723,0.06125,1.95923,1.84026,1.44067,0.00999756,0.00999756,0.00999756
6,1513.5,1.96855,1.94688,1.43289,0.18502,0.19217,0.14669,0.0795,1.80517,1.6756,1.37223,0.00999618,0.00999618,0.00999618
7,1767.36,1.90238,1.85235,1.3982,0.20868,0.20108,0.15784,0.08582,1.78139,1.6169,1.35701,0.0099945,0.0099945,0.0099945
8,2015.58,1.85858,1.78246,1.37798,0.23533,0.21671,0.1734,0.09303,1.74447,1.59038,1.33346,0.00999252,0.00999252,0.00999252
9,2268.79,1.8328,1.72037,1.35304,0.24505,0.21816,0.17982,0.09766,1.72688,1.55154,1.3179,0.00999023,0.00999023,0.00999023
10,2516.78,1.79,1.67225,1.33865,0.28641,0.23959,0.20597,0.11328,1.68855,1.48131,1.30136,0.00998764,0.00998764,0.00998764
11,2767.64,1.77771,1.63081,1.32912,0.28018,0.24934,0.2135,0.11722,1.67923,1.46023,1.28917,0.00998474,0.00998474,0.00998474
12,3017.58,1.75893,1.6065,1.31429,0.31457,0.25581,0.23079,0.12821,1.6379,1.41561,1.27464,0.00998154,0.00998154,0.00998154
13,3265.23,1.73036,1.56445,1.30114,0.28434,0.25524,0.22693,0.12557,1.64284,1.41125,1.27445,0.00997803,0.00997803,0.00997803
14,3513.73,1.72226,1.54276,1.29352,0.30154,0.26033,0.23662,0.13474,1.61116,1.39117,1.25867,0.00997422,0.00997422,0.00997422
15,3760.1,1.70215,1.5163,1.28719,0.32607,0.27779,0.2518,0.14158,1.59582,1.3502,1.25196,0.00997011,0.00997011,0.00997011
16,4007.61,1.68825,1.49193,1.27802,0.33695,0.28265,0.25836,0.14592,1.5762,1.33088,1.24255,0.00996569,0.00996569,0.00996569
17,4255.89,1.67961,1.47051,1.27135,0.32655,0.27658,0.25414,0.14389,1.56677,1.32652,1.23809,0.00996097,0.00996097,0.00996097
