epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.016,3.25907,4.19787,3.12954,0.14725,0.05314,0.02755,0.00935,2.3737,2.93353,2.16768,0.00332921,0.00332921,0.0700371
2,234.711,2.11292,2.85786,1.92366,0.38636,0.09994,0.06874,0.03016,1.89706,2.30528,1.71262,0.00666244,0.00666244,0.040037
3,355.114,1.81956,2.44894,1.66822,0.29391,0.12432,0.08456,0.03909,1.74329,2.10998,1.59201,0.00999527,0.00999527,0.0100365
4,467.727,1.66529,2.21248,1.53959,0.32905,0.14734,0.10577,0.05343,1.55506,1.9658,1.47344,0.00999863,0.00999863,0.00999863
5,577.571,1.57147,2.0389,1.46468,0.25926,0.16915,0.12212,0.06391,1.52222,1.83381,1.43658,0.00999756,0.00999756,0.00999756
6,688.453,1.51706,1.91191,1.41747,0.20823,0.19468,0.16163,0.08665,1.41084,1.67747,1.36193,0.00999618,0.00999618,0.00999618
7,802.089,1.46414,1.81582,1.38392,0.2503,0.21759,0.17769,0.09665,1.35911,1.57766,1.33113,0.0099945,0.0099945,0.0099945
8,909.508,1.42951,1.74343,1.36689,0.2766,0.21807,0.19426,0.10534,1.35542,1.53648,1.32693,0.00999252,0.00999252,0.00999252
9,1021.74,1.40516,1.6814,1.34369,0.27494,0.22551,0.20207,0.10994,1.33349,1.50132,1.31197,0.00999023,0.00999023,0.00999023
10,1125.19,1.37945,1.63996,1.33417,0.31333,0.24395,0.22585,0.12441,1.29982,1.45179,1.28997,0.00998764,0.00998764,0.00998764
11,1233.11,1.37545,1.61171,1.33168,0.30323,0.24309,0.22923,0.12712,1.29718,1.43284,1.28975,0.00998474,0.00998474,0.00998474
12,1337.86,1.36634,1.60454,1.32452,0.31899,0.23867,0.22729,0.12604,1.28773,1.47803,1.29034,0.00998154,0.00998154,0.00998154
13,1445.21,1.35583,1.58609,1.32238,0.30822,0.24559,0.22688,0.12632,1.27337,1.4342,1.28395,0.00997803,0.00997803,0.00997803
14,1553,1.3581,1.60388,1.32589,0.32839,0.24397,0.23203,0.12959,1.26599,1.42575,1.28044,0.00997422,0.00997422,0.00997422
15,1663.39,1.35503,1.60546,1.33074,0.30509,0.24677,0.22601,0.12528,1.31975,1.44573,1.30467,0.00997011,0.00997011,0.00997011
16,1779.52,1.34915,1.58857,1.32617,0.31967,0.25657,0.2339,0.1303,1.27576,1.39169,1.27745,0.00996569,0.00996569,0.00996569
17,1887.93,1.34478,1.57972,1.3221,0.34355,0.25574,0.24336,0.13573,1.25709,1.37434,1.27845,0.00996097,0.00996097,0.00996097
18,1992.81,1.33361,1.56286,1.31812,0.32091,0.27042,0.24315,0.13472,1.24842,1.371,1.27211,0.00995594,0.00995594,0.00995594
19,2105.55,1.33052,1.55783,1.31001,0.3379,0.26573,0.24689,0.13755,1.24843,1.36386,1.26501,0.00995062,0.00995062,0.00995062
20,2215.65,1.32265,1.54078,1.31014,0.34296,0.27301,0.25384,0.14116,1.23551,1.34258,1.25896,0.00994499,0.00994499,0.00994499
21,2324.46,1.31479,1.52625,1.30532,0.36056,0.26197,0.25413,0.14223,1.23528,1.34981,1.26145,0.00993906,0.00993906,0.00993906
22,2432.8,1.30902,1.51336,1.30313,0.34313,0.2679,0.25821,0.14425,1.22442,1.33741,1.25731,0.00993282,0.00993282,0.00993282
23,2537.85,1.30407,1.50405,1.29995,0.35886,0.28048,0.26353,0.14736,1.2289,1.32729,1.25208,0.00992629,0.00992629,0.00992629
24,2647.57,1.30121,1.49866,1.29705,0.37089,0.27691,0.26866,0.15148,1.22165,1.31016,1.24518,0.00991946,0.00991946,0.00991946
25,2762.54,1.29468,1.48696,1.29093,0.35755,0.26738,0.25602,0.14411,1.20538,1.32502,1.24869,0.00991232,0.00991232,0.00991232
26,2873.22,1.29872,1.48973,1.29694,0.37631,0.26041,0.26523,0.15004,1.21776,1.33325,1.24505,0.00990489,0.00990489,0.00990489
27,2983.64,1.29258,1.48273,1.28781,0.35498,0.28477,0.27051,0.15245,1.21599,1.29984,1.24454,0.00989715,0.00989715,0.00989715
28,3094.36,1.28299,1.46389,1.28529,0.36825,0.27976,0.27012,0.15287,1.20764,1.29426,1.24076,0.00988912,0.00988912,0.00988912
29,3203.38,1.28628,1.46178,1.28442,0.37684,0.28482,0.27311,0.15454,1.21249,1.28494,1.23324,0.00988079,0.00988079,0.00988079
30,3306.54,1.27995,1.45246,1.27779,0.39073,0.28535,0.27461,0.15502,1.19485,1.27879,1.23181,0.00987216,0.00987216,0.00987216
31,3415.68,1.2771,1.4519,1.27923,0.38825,0.29321,0.2839,0.15875,1.19395,1.26279,1.22885,0.00986323,0.00986323,0.00986323
32,3530.03,1.27159,1.44556,1.27579,0.39368,0.27973,0.27693,0.15672,1.19407,1.27472,1.22928,0.00985401,0.00985401,0.00985401
33,3636.31,1.26768,1.44062,1.27548,0.37908,0.28182,0.27669,0.15629,1.21014,1.28256,1.23264,0.00984449,0.00984449,0.00984449
34,3748.59,1.27518,1.44201,1.27736,0.4013,0.29108,0.28592,0.16176,1.18727,1.25802,1.22351,0.00983467,0.00983467,0.00983467
35,3857.62,1.26175,1.42408,1.26962,0.39628,0.29227,0.28518,0.16214,1.18664,1.26131,1.22227,0.00982456,0.00982456,0.00982456
36,3963.13,1.26134,1.42268,1.27088,0.3914,0.29298,0.28619,0.16323,1.18298,1.26916,1.21826,0.00981415,0.00981415,0.00981415
37,4068.56,1.25855,1.41878,1.2616,0.4004,0.29305,0.28892,0.16448,1.18533,1.2592,1.21913,0.00980345,0.00980345,0.00980345
38,4175.46,1.25395,1.41604,1.26665,0.39114,0.29626,0.28961,0.16445,1.181,1.24584,1.2168,0.00979246,0.00979246,0.00979246
39,4285.23,1.25675,1.41096,1.26472,0.40351,0.29445,0.2904,0.16483,1.19943,1.26973,1.22608,0.00978118,0.00978118,0.00978118
40,4391.91,1.25558,1.40373,1.26546,0.40483,0.30048,0.29587,0.16815,1.16914,1.23635,1.21091,0.0097696,0.0097696,0.0097696
41,4503.73,1.25647,1.40599,1.26812,0.39865,0.2981,0.29178,0.16525,1.16674,1.24822,1.21504,0.00975773,0.00975773,0.00975773
42,4616.17,1.25377,1.40437,1.26038,0.40287,0.29903,0.29278,0.16637,1.16873,1.24679,1.21173,0.00974557,0.00974557,0.00974557
43,4720.23,1.24961,1.40419,1.25783,0.39915,0.29767,0.29451,0.16777,1.1675,1.2303,1.21112,0.00973312,0.00973312,0.00973312
44,4826.8,1.24935,1.40008,1.26436,0.41293,0.29924,0.2998,0.17218,1.17512,1.23119,1.21006,0.00972039,0.00972039,0.00972039
45,4936.45,1.23976,1.38945,1.25566,0.40713,0.29729,0.29549,0.16785,1.16454,1.22366,1.20831,0.00970736,0.00970736,0.00970736
46,5043.04,1.24676,1.38636,1.25532,0.40922,0.30428,0.29714,0.16851,1.16344,1.22279,1.20677,0.00969405,0.00969405,0.00969405
47,5153.96,1.24622,1.39085,1.25839,0.41684,0.30203,0.2989,0.17009,1.15867,1.21815,1.20545,0.00968045,0.00968045,0.00968045
48,5262.68,1.24107,1.3856,1.25486,0.41568,0.30371,0.30246,0.17219,1.15514,1.21195,1.2046,0.00966656,0.00966656,0.00966656
49,5370.28,1.23648,1.37161,1.24912,0.42156,0.30577,0.30552,0.1748,1.16333,1.20094,1.20165,0.00965239,0.00965239,0.00965239
50,5481.56,1.24116,1.38048,1.25836,0.41205,0.30528,0.3012,0.17121,1.16737,1.21482,1.20469,0.00963794,0.00963794,0.00963794
51,5591.52,1.23936,1.37916,1.25439,0.40942,0.31235,0.30574,0.17376,1.16869,1.21039,1.20614,0.0096232,0.0096232,0.0096232
52,5700.88,1.23456,1.37066,1.25233,0.40181,0.31649,0.30766,0.17436,1.15762,1.2034,1.20319,0.00960819,0.00960819,0.00960819
53,5814.74,1.23726,1.37191,1.25245,0.42094,0.31443,0.31055,0.17512,1.15899,1.20123,1.19969,0.00959289,0.00959289,0.00959289
54,5922.58,1.22974,1.36429,1.25097,0.4226,0.31056,0.31028,0.17836,1.16215,1.20077,1.20177,0.00957731,0.00957731,0.00957731
