epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.1759,4.24544,3.87014,2.51855,0.24347,0.04702,0.02731,0.00866,3.22862,2.74014,1.62231,0.00332921,0.00332921,0.0700371
2,83.3216,2.9939,2.66423,1.51015,0.06027,0.09316,0.05058,0.01995,2.79367,2.20317,1.34128,0.00666244,0.00666244,0.040037
3,122.003,2.5627,2.24154,1.32889,0.28146,0.1229,0.07295,0.03151,2.37191,1.90338,1.22761,0.00999527,0.00999527,0.0100365
4,159.904,2.33775,2.01892,1.23771,0.21975,0.14632,0.10028,0.04741,2.10277,1.71967,1.15738,0.00999863,0.00999863,0.00999863
5,199.414,2.20303,1.87639,1.18563,0.34451,0.16066,0.10878,0.05226,2.03217,1.64177,1.11726,0.00999756,0.00999756,0.00999756
6,238.081,2.12184,1.77302,1.1525,0.17858,0.17391,0.1287,0.06718,1.89256,1.51022,1.09084,0.00999618,0.00999618,0.00999618
7,276.792,2.04698,1.69734,1.13017,0.21299,0.19038,0.14737,0.07638,1.86448,1.45205,1.07466,0.0099945,0.0099945,0.0099945
8,314.999,1.994,1.63623,1.1161,0.1959,0.19336,0.14773,0.07591,1.8474,1.43045,1.06316,0.00999252,0.00999252,0.00999252
9,353.428,1.96025,1.58239,1.09666,0.2259,0.20667,0.1645,0.08537,1.79208,1.38231,1.05452,0.00999023,0.00999023,0.00999023
10,390.589,1.91636,1.54674,1.08936,0.25052,0.2228,0.1785,0.09377,1.75023,1.35459,1.04047,0.00998764,0.00998764,0.00998764
11,428.105,1.89881,1.5169,1.0826,0.2488,0.21416,0.17867,0.09502,1.77061,1.3586,1.04194,0.00998474,0.00998474,0.00998474
12,465.698,1.88414,1.50094,1.07477,0.26827,0.22654,0.19263,0.10233,1.72582,1.31552,1.02935,0.00998154,0.00998154,0.00998154
13,507.082,1.85237,1.46423,1.06685,0.26944,0.22423,0.18985,0.10085,1.71401,1.30072,1.02451,0.00997803,0.00997803,0.00997803
14,547.998,1.84557,1.45013,1.06122,0.28888,0.24024,0.20093,0.10842,1.69041,1.29151,1.01726,0.00997422,0.00997422,0.00997422
15,589.417,1.82247,1.42925,1.05968,0.28421,0.24429,0.20837,0.11216,1.68266,1.27001,1.01665,0.00997011,0.00997011,0.00997011
16,630.549,1.80703,1.40747,1.0514,0.27548,0.24979,0.21126,0.11352,1.67223,1.26957,1.01178,0.00996569,0.00996569,0.00996569
17,673.219,1.79477,1.39393,1.04619,0.28994,0.24218,0.21366,0.11495,1.64926,1.251,1.00616,0.00996097,0.00996097,0.00996097
18,714.066,1.77794,1.38102,1.04135,0.30175,0.25942,0.22606,0.12049,1.64021,1.22687,1.00324,0.00995594,0.00995594,0.00995594
19,755.264,1.78468,1.37877,1.03769,0.3062,0.25547,0.2223,0.12048,1.63737,1.2266,1.00173,0.00995062,0.00995062,0.00995062
20,796.594,1.76132,1.35458,1.03545,0.32325,0.25928,0.23434,0.12621,1.63087,1.2104,1.0008,0.00994499,0.00994499,0.00994499
21,837.452,1.74962,1.34271,1.03222,0.30983,0.25498,0.23218,0.12584,1.61942,1.21583,0.99754,0.00993906,0.00993906,0.00993906
22,878.346,1.73397,1.33064,1.02811,0.32871,0.26344,0.23871,0.12915,1.60971,1.20043,0.99509,0.00993282,0.00993282,0.00993282
23,919.305,1.72608,1.31806,1.0261,0.32815,0.26018,0.23834,0.13142,1.61106,1.19316,0.99111,0.00992629,0.00992629,0.00992629
