epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.2437,4.29948,3.835,2.47383,0.23976,0.04883,0.02491,0.00858,3.26537,2.72372,1.59194,0.00332921,0.00332921,0.0700371
2,87.8236,3.02276,2.6458,1.48749,0.06507,0.0948,0.05481,0.02275,2.67015,2.1416,1.32333,0.00666244,0.00666244,0.040037
3,127.849,2.60204,2.23859,1.32208,0.18331,0.12101,0.07273,0.03178,2.40737,1.92414,1.22745,0.00999527,0.00999527,0.0100365
4,169.398,2.37072,2.01206,1.23165,0.12571,0.15113,0.10127,0.04831,2.14174,1.70687,1.15931,0.00999863,0.00999863,0.00999863
5,210.654,2.23248,1.86651,1.17981,0.20634,0.1623,0.11377,0.05529,2.03211,1.60338,1.10922,0.00999756,0.00999756,0.00999756
6,251.965,2.14741,1.76889,1.14685,0.17816,0.18354,0.13617,0.06935,1.89628,1.50193,1.08005,0.00999618,0.00999618,0.00999618
7,293.727,2.07296,1.69099,1.12618,0.22951,0.18696,0.14984,0.0788,1.87405,1.45125,1.06944,0.0099945,0.0099945,0.0099945
8,333.793,2.01845,1.63333,1.11237,0.22621,0.19801,0.15905,0.08161,1.82879,1.41833,1.05424,0.00999252,0.00999252,0.00999252
9,373.674,1.98598,1.58351,1.09322,0.22898,0.20355,0.16608,0.08705,1.79931,1.37353,1.04809,0.00999023,0.00999023,0.00999023
10,412.233,1.9395,1.54888,1.08722,0.32631,0.21256,0.17462,0.09135,1.7705,1.35867,1.04115,0.00998764,0.00998764,0.00998764
11,451.225,1.92137,1.51889,1.08044,0.24386,0.22061,0.18255,0.0977,1.76417,1.33223,1.02866,0.00998474,0.00998474,0.00998474
12,490.569,1.90547,1.50499,1.07166,0.24852,0.2189,0.1832,0.0972,1.72898,1.3135,1.02631,0.00998154,0.00998154,0.00998154
13,529.973,1.87551,1.46595,1.06511,0.2652,0.22493,0.18758,0.09955,1.73162,1.2965,1.02286,0.00997803,0.00997803,0.00997803
14,568.979,1.86666,1.45246,1.05868,0.26376,0.23447,0.19794,0.10637,1.70624,1.28987,1.01377,0.00997422,0.00997422,0.00997422
15,608.339,1.84372,1.43346,1.05661,0.29544,0.23678,0.20424,0.10955,1.70006,1.27512,1.01489,0.00997011,0.00997011,0.00997011
16,647.538,1.82952,1.40961,1.04964,0.28791,0.23799,0.20689,0.11119,1.68375,1.26008,1.00698,0.00996569,0.00996569,0.00996569
17,686.259,1.816,1.39671,1.04474,0.29968,0.24191,0.21078,0.11246,1.67005,1.24258,1.00641,0.00996097,0.00996097,0.00996097
18,725.852,1.80041,1.38237,1.03978,0.30711,0.2499,0.22081,0.11818,1.64812,1.21808,1.00298,0.00995594,0.00995594,0.00995594
19,765.266,1.80469,1.37994,1.03577,0.32607,0.25288,0.22785,0.12426,1.64678,1.21688,0.99833,0.00995062,0.00995062,0.00995062
20,804.174,1.78275,1.35627,1.03406,0.33186,0.25337,0.23001,0.12386,1.63968,1.20457,0.99698,0.00994499,0.00994499,0.00994499
21,842.712,1.77288,1.34325,1.03068,0.31379,0.25858,0.23277,0.12686,1.63658,1.20014,0.99447,0.00993906,0.00993906,0.00993906
22,881.925,1.75388,1.3273,1.02696,0.33448,0.26031,0.23643,0.1279,1.62348,1.19083,0.9926,0.00993282,0.00993282,0.00993282
23,920.677,1.74569,1.31675,1.0252,0.33394,0.26012,0.23936,0.13124,1.62174,1.17798,0.98848,0.00992629,0.00992629,0.00992629
24,959.075,1.74461,1.31062,1.02253,0.3454,0.26254,0.24573,0.13435,1.60468,1.17161,0.98898,0.00991946,0.00991946,0.00991946
25,998.149,1.73904,1.29996,1.01811,0.34823,0.25882,0.24447,0.13376,1.59814,1.16915,0.98502,0.00991232,0.00991232,0.00991232
26,1037.2,1.73591,1.30199,1.0217,0.354,0.26376,0.2482,0.13562,1.60178,1.17587,0.98436,0.00990489,0.00990489,0.00990489
27,1076.17,1.74866,1.30187,1.01661,0.35329,0.268,0.24849,0.13575,1.60446,1.17474,0.98074,0.00989715,0.00989715,0.00989715
28,1115.27,1.74155,1.29427,1.01238,0.35763,0.27133,0.25359,0.13867,1.60347,1.18101,0.9769,0.00988912,0.00988912,0.00988912
