epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.0063,3.31538,3.83948,2.49332,0.03898,0.04838,0.02488,0.00776,2.49412,2.73945,1.60608,0.00332921,0.00332921,0.0700371
2,87.6787,2.266,2.63672,1.47777,0.06138,0.11986,0.05914,0.0239,2.03302,2.11537,1.31222,0.00666244,0.00666244,0.040037
3,127.167,1.94044,2.21031,1.31381,0.18745,0.12329,0.07123,0.02749,1.91077,2.01275,1.25074,0.00999527,0.00999527,0.0100365
4,167.042,1.76714,1.98936,1.22952,0.13991,0.15726,0.10964,0.05031,1.58709,1.70886,1.1609,0.00999863,0.00999863,0.00999863
5,206.355,1.66347,1.84436,1.18027,0.27933,0.16058,0.12405,0.05994,1.49888,1.57749,1.11075,0.00999756,0.00999756,0.00999756
6,247.849,1.59783,1.75041,1.14915,0.18396,0.18196,0.13287,0.066,1.42756,1.50723,1.08659,0.00999618,0.00999618,0.00999618
7,287.108,1.53404,1.67378,1.12559,0.31972,0.18995,0.15632,0.07811,1.39258,1.43411,1.07303,0.0099945,0.0099945,0.0099945
8,326.078,1.49082,1.61781,1.11389,0.22613,0.19537,0.16276,0.08023,1.38464,1.42837,1.06519,0.00999252,0.00999252,0.00999252
9,368.71,1.47036,1.56995,1.09554,0.24274,0.20822,0.17232,0.08657,1.3449,1.37769,1.05453,0.00999023,0.00999023,0.00999023
10,410.586,1.43194,1.53507,1.09039,0.26184,0.21294,0.18091,0.0919,1.31831,1.3628,1.04455,0.00998764,0.00998764,0.00998764
11,453.47,1.4157,1.50375,1.0821,0.27759,0.2227,0.194,0.10016,1.30179,1.33218,1.03288,0.00998474,0.00998474,0.00998474
12,496.151,1.40406,1.48915,1.07499,0.28572,0.23096,0.19636,0.09979,1.28899,1.31358,1.02984,0.00998154,0.00998154,0.00998154
13,537.9,1.37595,1.45297,1.06916,0.27856,0.23384,0.19802,0.10186,1.26834,1.30079,1.02374,0.00997803,0.00997803,0.00997803
14,580.619,1.37095,1.44275,1.06303,0.30869,0.23684,0.21238,0.11031,1.25418,1.27569,1.01721,0.00997422,0.00997422,0.00997422
15,623.65,1.35409,1.42322,1.06184,0.30487,0.24427,0.21718,0.11396,1.2476,1.26877,1.01543,0.00997011,0.00997011,0.00997011
16,666.058,1.34313,1.40237,1.05442,0.30397,0.24977,0.22156,0.11492,1.24482,1.26285,1.01122,0.00996569,0.00996569,0.00996569
17,708.469,1.33273,1.38884,1.04988,0.3258,0.24147,0.21799,0.11356,1.22431,1.24815,1.00853,0.00996097,0.00996097,0.00996097
18,751.725,1.32049,1.37543,1.04436,0.31743,0.2546,0.22638,0.11766,1.22744,1.23845,1.0054,0.00995594,0.00995594,0.00995594
19,792.362,1.3397,1.37874,1.03982,0.32526,0.25862,0.23042,0.12123,1.27012,1.24984,1.00759,0.00995062,0.00995062,0.00995062
20,834.397,1.36745,1.36973,1.0378,0.35151,0.26272,0.24439,0.12853,1.28691,1.24763,0.99609,0.00994499,0.00994499,0.00994499
21,875.895,1.39167,1.36372,1.03329,0.32694,0.26231,0.24197,0.12798,1.31432,1.24597,0.99581,0.00993906,0.00993906,0.00993906
22,917.234,1.40588,1.35819,1.02819,0.34978,0.26454,0.24648,0.12884,1.33619,1.24093,0.99431,0.00993282,0.00993282,0.00993282
23,959.055,1.4112,1.35132,1.02461,0.34383,0.26909,0.24811,0.13256,1.32287,1.22607,0.98548,0.00992629,0.00992629,0.00992629
24,1002.24,1.41469,1.34565,1.01905,0.33336,0.27129,0.25244,0.13347,1.32843,1.22551,0.9848,0.00991946,0.00991946,0.00991946
25,1044.28,1.4169,1.34294,1.01476,0.32759,0.26754,0.25443,0.1343,1.32006,1.21751,0.98319,0.00991232,0.00991232,0.00991232
26,1086.08,1.41452,1.3384,1.01746,0.36148,0.26866,0.25691,0.13766,1.31992,1.21288,0.97881,0.00990489,0.00990489,0.00990489
27,1127.88,1.41653,1.33316,1.01078,0.35664,0.26865,0.25557,0.1365,1.30846,1.20803,0.97566,0.00989715,0.00989715,0.00989715
28,1170.75,1.40562,1.31658,1.00724,0.36197,0.27748,0.26267,0.13999,1.30885,1.20043,0.97419,0.00988912,0.00988912,0.00988912
29,1212.55,1.40756,1.31225,1.00534,0.36697,0.27687,0.26594,0.14309,1.30082,1.1988,0.97323,0.00988079,0.00988079,0.00988079
30,1256.48,1.40006,1.30766,1.00034,0.36593,0.27616,0.26455,0.14236,1.30389,1.19529,0.97199,0.00987216,0.00987216,0.00987216
31,1298.78,1.38956,1.30123,1.00082,0.35864,0.2858,0.26687,0.14262,1.29351,1.1842,0.9695,0.00986323,0.00986323,0.00986323
32,1341.57,1.38849,1.29788,0.99948,0.35469,0.28814,0.2697,0.14507,1.28891,1.18608,0.96803,0.00985401,0.00985401,0.00985401
33,1384.77,1.37518,1.29097,0.99882,0.36282,0.28318,0.26726,0.14402,1.29334,1.18409,0.96819,0.00984449,0.00984449,0.00984449
34,1428.04,1.3816,1.29023,0.99925,0.37391,0.28634,0.27127,0.14666,1.28213,1.16902,0.96659,0.00983467,0.00983467,0.00983467
35,1470.72,1.36792,1.27787,0.99525,0.37094,0.28731,0.27361,0.14598,1.27736,1.17108,0.96444,0.00982456,0.00982456,0.00982456
36,1512.46,1.36395,1.27347,0.99456,0.36214,0.29309,0.27424,0.14843,1.27279,1.16789,0.96225,0.00981415,0.00981415,0.00981415
