epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.1428,3.20461,3.85088,2.5155,0.13525,0.05326,0.02434,0.00806,2.45513,2.75662,1.56261,0.00332921,0.00332921,0.0700371
2,92.9382,2.22202,2.63555,1.47338,0.1698,0.09534,0.05788,0.02313,2.04307,2.14794,1.33436,0.00666244,0.00666244,0.040037
3,134.266,1.91096,2.22845,1.31666,0.31249,0.1281,0.08631,0.03674,1.69644,1.85027,1.20421,0.00999527,0.00999527,0.0100365
4,174.333,1.73403,2.00282,1.2326,0.2656,0.14701,0.10828,0.05032,1.57839,1.7018,1.17659,0.00999863,0.00999863,0.00999863
5,216.684,1.62673,1.85633,1.18146,0.1873,0.16164,0.11714,0.0551,1.50154,1.6212,1.11661,0.00999756,0.00999756,0.00999756
6,256.948,1.55886,1.75666,1.14818,0.21192,0.1865,0.14397,0.07023,1.40482,1.50473,1.08357,0.00999618,0.00999618,0.00999618
7,297.677,1.50023,1.67826,1.12575,0.23561,0.20066,0.15696,0.07886,1.37078,1.46178,1.07317,0.0099945,0.0099945,0.0099945
8,340.221,1.45652,1.62077,1.11284,0.22791,0.1958,0.16523,0.08309,1.34554,1.4192,1.06117,0.00999252,0.00999252,0.00999252
9,381.794,1.42971,1.57282,1.09288,0.25408,0.20462,0.17504,0.0895,1.3229,1.38588,1.05267,0.00999023,0.00999023,0.00999023
10,423.086,1.39199,1.53788,1.0871,0.26274,0.21073,0.17854,0.09144,1.30676,1.37233,1.05177,0.00998764,0.00998764,0.00998764
11,464.63,1.37652,1.50864,1.07922,0.26915,0.2159,0.18742,0.09647,1.27989,1.33919,1.0357,0.00998474,0.00998474,0.00998474
12,508.058,1.36749,1.49461,1.07249,0.28418,0.21961,0.19993,0.10319,1.24721,1.33127,1.02798,0.00998154,0.00998154,0.00998154
13,550.962,1.33871,1.45523,1.06511,0.29921,0.22465,0.20057,0.10268,1.24978,1.3055,1.02357,0.00997803,0.00997803,0.00997803
14,592.695,1.33332,1.44514,1.05953,0.29523,0.23491,0.2128,0.11024,1.21473,1.28378,1.01366,0.00997422,0.00997422,0.00997422
15,633.747,1.31323,1.4226,1.05759,0.3102,0.24127,0.21924,0.11385,1.22174,1.27245,1.01184,0.00997011,0.00997011,0.00997011
16,674.367,1.30418,1.40077,1.05051,0.30542,0.24455,0.22013,0.11416,1.20914,1.25992,1.00805,0.00996569,0.00996569,0.00996569
17,712.458,1.29375,1.3899,1.04621,0.307,0.24223,0.22328,0.11713,1.18432,1.24584,1.00519,0.00996097,0.00996097,0.00996097
