epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.2502,3.23893,3.83122,2.50248,0.23473,0.04904,0.02471,0.00807,2.53947,2.71596,1.58255,0.00332921,0.00332921,0.0700371
2,92.2861,2.28943,2.63563,1.47516,0.07106,0.11341,0.0596,0.02475,2.00145,2.1064,1.30682,0.00666244,0.00666244,0.040037
3,134.993,1.9707,2.22719,1.31293,0.20715,0.12735,0.08375,0.03684,1.74725,1.86909,1.20363,0.00999527,0.00999527,0.0100365
4,178.683,1.78767,2.00235,1.22763,0.24954,0.14168,0.10599,0.04887,1.68736,1.71563,1.18649,0.00999863,0.00999863,0.00999863
5,220.794,1.67837,1.85369,1.17644,0.25043,0.16288,0.11853,0.05633,1.55625,1.60984,1.11522,0.00999756,0.00999756,0.00999756
6,263.684,1.61847,1.75982,1.14612,0.2082,0.18708,0.14193,0.0724,1.44865,1.50816,1.07502,0.00999618,0.00999618,0.00999618
7,307.38,1.55727,1.68366,1.12516,0.20219,0.19518,0.15271,0.07727,1.40991,1.46592,1.07074,0.0099945,0.0099945,0.0099945
8,350.495,1.5141,1.62427,1.11233,0.21537,0.20658,0.16515,0.08332,1.40394,1.41888,1.05952,0.00999252,0.00999252,0.00999252
9,394.317,1.49038,1.57808,1.09415,0.231,0.20762,0.16964,0.08553,1.38149,1.40556,1.05589,0.00999023,0.00999023,0.00999023
10,437.218,1.45385,1.54009,1.08755,0.35877,0.21853,0.18565,0.09421,1.33608,1.35268,1.04052,0.00998764,0.00998764,0.00998764
11,479.99,1.4341,1.50879,1.0794,0.26955,0.21949,0.19132,0.09925,1.33383,1.33481,1.031,0.00998474,0.00998474,0.00998474
12,520.657,1.42737,1.49482,1.07284,0.3592,0.22866,0.19836,0.10048,1.30131,1.31696,1.02839,0.00998154,0.00998154,0.00998154
13,563.762,1.39505,1.45797,1.06556,0.28165,0.22977,0.20114,0.10426,1.28142,1.29882,1.02142,0.00997803,0.00997803,0.00997803
14,606.99,1.39122,1.44642,1.05935,0.38555,0.23227,0.20991,0.11001,1.27597,1.2808,1.01819,0.00997422,0.00997422,0.00997422
15,651.102,1.37401,1.42459,1.05806,0.30456,0.238,0.21609,0.11298,1.28662,1.28006,1.01565,0.00997011,0.00997011,0.00997011
16,694.455,1.36077,1.4003,1.05029,0.3142,0.24669,0.22208,0.11485,1.26524,1.26606,1.00876,0.00996569,0.00996569,0.00996569
17,736.531,1.35133,1.3882,1.04524,0.31666,0.2401,0.22146,0.11636,1.2505,1.25577,1.00694,0.00996097,0.00996097,0.00996097
18,777.923,1.36408,1.38133,1.04176,0.30196,0.25228,0.23,0.12106,1.31279,1.24368,1.00445,0.00995594,0.00995594,0.00995594
19,823.774,1.42624,1.39152,1.03695,0.32272,0.25545,0.23234,0.12251,1.39574,1.25694,1.00272,0.00995062,0.00995062,0.00995062
20,870.464,1.45776,1.37757,1.03307,0.31043,0.25504,0.23872,0.12563,1.39496,1.25091,0.99378,0.00994499,0.00994499,0.00994499
21,916.148,1.47426,1.37089,1.02961,0.32955,0.25293,0.24065,0.12692,1.38786,1.2457,0.9912,0.00993906,0.00993906,0.00993906
22,961.199,1.47735,1.36251,1.024,0.33638,0.26069,0.24772,0.13211,1.40404,1.23713,0.98752,0.00993282,0.00993282,0.00993282
23,1006.65,1.48391,1.35386,1.02156,0.33656,0.26492,0.25014,0.13268,1.39458,1.22227,0.98415,0.00992629,0.00992629,0.00992629
24,1052.29,1.48372,1.34818,1.01688,0.32677,0.2684,0.25049,0.13373,1.40487,1.22349,0.98248,0.00991946,0.00991946,0.00991946
25,1096.67,1.48734,1.3411,1.01273,0.33742,0.26661,0.24878,0.13399,1.38773,1.21995,0.97933,0.00991232,0.00991232,0.00991232
26,1141.74,1.48146,1.33667,1.01396,0.34019,0.27246,0.25424,0.13415,1.39116,1.21169,0.97814,0.00990489,0.00990489,0.00990489
27,1188.85,1.48556,1.33238,1.00871,0.3491,0.27056,0.25873,0.13832,1.37619,1.19857,0.97287,0.00989715,0.00989715,0.00989715
28,1233.74,1.47485,1.31558,1.00548,0.36583,0.2697,0.25933,0.13808,1.38016,1.20341,0.97398,0.00988912,0.00988912,0.00988912
29,1280.27,1.47494,1.31101,1.00361,0.35287,0.2776,0.26277,0.14101,1.37327,1.19508,0.96746,0.00988079,0.00988079,0.00988079
30,1325.61,1.46812,1.30661,0.99816,0.35385,0.28065,0.2596,0.1398,1.36632,1.19041,0.9691,0.00987216,0.00987216,0.00987216
31,1371.48,1.46082,1.29837,0.99934,0.34815,0.28064,0.26068,0.14042,1.35302,1.17906,0.96494,0.00986323,0.00986323,0.00986323
32,1417.48,1.45571,1.29676,0.99801,0.35526,0.28865,0.26922,0.14442,1.36013,1.17839,0.96685,0.00985401,0.00985401,0.00985401
33,1464.95,1.4457,1.28926,0.99678,0.36085,0.28596,0.26717,0.14403,1.36075,1.17881,0.96468,0.00984449,0.00984449,0.00984449
34,1511.54,1.45422,1.28893,0.99768,0.37515,0.28145,0.26912,0.14504,1.35803,1.16915,0.96462,0.00983467,0.00983467,0.00983467
35,1557.07,1.43961,1.27492,0.99417,0.37247,0.28157,0.2713,0.14632,1.349,1.16934,0.96245,0.00982456,0.00982456,0.00982456
36,1602.97,1.43426,1.27144,0.99315,0.36702,0.28722,0.27495,0.14872,1.35064,1.16521,0.96049,0.00981415,0.00981415,0.00981415
37,1649.5,1.43849,1.26585,0.98754,0.38377,0.2914,0.27963,0.15126,1.33893,1.15516,0.95691,0.00980345,0.00980345,0.00980345
38,1694.6,1.43144,1.26667,0.99012,0.37113,0.28935,0.2759,0.14908,1.34681,1.1572,0.95942,0.00979246,0.00979246,0.00979246
39,1740.5,1.43447,1.25925,0.98741,0.3704,0.29312,0.2797,0.15224,1.34152,1.15238,0.95879,0.00978118,0.00978118,0.00978118
40,1786.29,1.4256,1.24887,0.98756,0.37311,0.29526,0.28274,0.15387,1.33512,1.14413,0.95628,0.0097696,0.0097696,0.0097696
41,1831.41,1.42713,1.24795,0.98885,0.37685,0.29683,0.28299,0.1524,1.33532,1.1433,0.95561,0.00975773,0.00975773,0.00975773
42,1876.4,1.43042,1.24855,0.98525,0.3818,0.29389,0.28149,0.15282,1.33327,1.14109,0.95424,0.00974557,0.00974557,0.00974557
43,1923.25,1.42578,1.24864,0.98377,0.37099,0.29871,0.28414,0.15471,1.32089,1.13579,0.95357,0.00973312,0.00973312,0.00973312
44,1967.61,1.41228,1.2362,0.98564,0.37679,0.29855,0.2824,0.15436,1.32327,1.13586,0.95197,0.00972039,0.00972039,0.00972039
45,2011.07,1.41203,1.23304,0.98108,0.3891,0.29495,0.28614,0.15586,1.32841,1.13231,0.95213,0.00970736,0.00970736,0.00970736
46,2055.42,1.41688,1.231,0.97972,0.38362,0.29654,0.28692,0.1548,1.32546,1.13072,0.95215,0.00969405,0.00969405,0.00969405
47,2100.52,1.41205,1.23176,0.98221,0.38547,0.29673,0.28804,0.15622,1.3176,1.12716,0.95185,0.00968045,0.00968045,0.00968045
48,2145.61,1.41,1.22489,0.98037,0.38162,0.3032,0.28877,0.1576,1.31825,1.1202,0.95189,0.00966656,0.00966656,0.00966656
49,2190.1,1.40721,1.21912,0.97825,0.39584,0.30568,0.29401,0.16058,1.31209,1.11389,0.94896,0.00965239,0.00965239,0.00965239
