epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.9595,4.4461,3.83593,2.43918,0.03153,0.03487,0.01697,0.00551,3.6077,2.87617,1.60424,0.00332921,0.00332921,0.0700371
2,93.4474,3.07732,2.66578,1.4859,0.1738,0.09737,0.06277,0.02665,2.57737,2.09775,1.29432,0.00666244,0.00666244,0.040037
3,137.289,2.59544,2.23746,1.31761,0.28356,0.1065,0.06924,0.02868,2.46818,1.95599,1.23727,0.00999527,0.00999527,0.0100365
4,180.028,2.34231,2.01297,1.23104,0.14029,0.15234,0.10928,0.05121,2.07437,1.67467,1.15055,0.00999863,0.00999863,0.00999863
5,223.444,2.19638,1.86908,1.1809,0.26085,0.16233,0.11148,0.05366,2.0267,1.61073,1.11623,0.00999756,0.00999756,0.00999756
6,266.841,2.10653,1.77125,1.14942,0.1751,0.17983,0.13242,0.06618,1.88014,1.51666,1.08617,0.00999618,0.00999618,0.00999618
7,309.784,2.02414,1.69473,1.12834,0.21224,0.18704,0.14823,0.076,1.84703,1.45139,1.07586,0.0099945,0.0099945,0.0099945
8,352.072,1.96671,1.63688,1.11568,0.22757,0.19459,0.1559,0.0788,1.82618,1.43448,1.06455,0.00999252,0.00999252,0.00999252
9,395.693,1.93389,1.58755,1.09692,0.25061,0.20373,0.1751,0.0897,1.77001,1.39033,1.05477,0.00999023,0.00999023,0.00999023
10,438.562,1.884,1.55089,1.08931,0.28401,0.21841,0.18103,0.09372,1.74441,1.36374,1.04668,0.00998764,0.00998764,0.00998764
11,482.792,1.86305,1.51955,1.08177,0.25967,0.21856,0.18269,0.09449,1.73858,1.34452,1.03524,0.00998474,0.00998474,0.00998474
12,526.596,1.85117,1.50457,1.07524,0.29156,0.22462,0.19443,0.10158,1.69713,1.31819,1.03345,0.00998154,0.00998154,0.00998154
13,568.76,1.81217,1.46781,1.06801,0.28283,0.22721,0.19828,0.10434,1.67678,1.30657,1.02522,0.00997803,0.00997803,0.00997803
14,611.179,1.81223,1.45361,1.06256,0.3891,0.22724,0.20407,0.10887,1.66098,1.28753,1.01809,0.00997422,0.00997422,0.00997422
15,655.126,1.79273,1.435,1.06056,0.29763,0.23714,0.2062,0.11052,1.6816,1.30082,1.01711,0.00997011,0.00997011,0.00997011
16,697.519,1.80449,1.42161,1.05264,0.29847,0.24089,0.21052,0.11213,1.70658,1.29359,1.00701,0.00996569,0.00996569,0.00996569
17,741.071,1.82966,1.42065,1.04752,0.30585,0.24113,0.2148,0.11418,1.71446,1.2906,1.00827,0.00996097,0.00996097,0.00996097
18,783.753,1.83533,1.41517,1.03987,0.31191,0.2426,0.21832,0.1159,1.72707,1.28142,1.00328,0.00995594,0.00995594,0.00995594
19,826.179,1.85458,1.41798,1.03493,0.33062,0.25087,0.22368,0.11841,1.74273,1.27238,1.00416,0.00995062,0.00995062,0.00995062
20,868.964,1.83924,1.39643,1.03063,0.32948,0.2563,0.23291,0.12541,1.71698,1.26204,0.99236,0.00994499,0.00994499,0.00994499
21,911.845,1.83157,1.38449,1.02681,0.305,0.2498,0.23091,0.12421,1.71977,1.26135,0.99061,0.00993906,0.00993906,0.00993906
22,955.172,1.81785,1.37244,1.02191,0.3466,0.25274,0.24038,0.1299,1.69172,1.23919,0.98423,0.00993282,0.00993282,0.00993282
23,997.46,1.80902,1.36201,1.01868,0.33817,0.25647,0.24086,0.13038,1.68942,1.23437,0.9833,0.00992629,0.00992629,0.00992629
24,1039.92,1.80736,1.3558,1.01502,0.34328,0.25791,0.24489,0.13332,1.69191,1.22842,0.98088,0.00991946,0.00991946,0.00991946
25,1080.31,1.80284,1.34637,1.0111,0.33337,0.26714,0.24201,0.13243,1.67981,1.22764,0.97895,0.00991232,0.00991232,0.00991232
26,1123.34,1.79642,1.34528,1.01363,0.35148,0.26243,0.24934,0.13539,1.67213,1.21737,0.9764,0.00990489,0.00990489,0.00990489
27,1166.36,1.80087,1.3382,1.00877,0.34818,0.26934,0.25195,0.13595,1.66253,1.21099,0.97516,0.00989715,0.00989715,0.00989715
28,1209.63,1.78405,1.32262,1.00488,0.35591,0.26953,0.25426,0.13782,1.64618,1.20142,0.97054,0.00988912,0.00988912,0.00988912
29,1253.05,1.78135,1.31769,1.00294,0.35268,0.27442,0.25651,0.13898,1.64703,1.20216,0.96868,0.00988079,0.00988079,0.00988079
30,1294.45,1.77495,1.30954,0.99802,0.36166,0.2796,0.26074,0.14105,1.63675,1.18743,0.96679,0.00987216,0.00987216,0.00987216
31,1336.12,1.76407,1.30325,0.99916,0.36537,0.27634,0.25927,0.14008,1.63397,1.18527,0.96665,0.00986323,0.00986323,0.00986323
32,1378.81,1.75744,1.29868,0.99736,0.36382,0.2777,0.26637,0.14621,1.62039,1.16856,0.9641,0.00985401,0.00985401,0.00985401
33,1421.29,1.74294,1.29227,0.99622,0.38457,0.28519,0.26781,0.14515,1.63159,1.17212,0.96647,0.00984449,0.00984449,0.00984449
34,1464.06,1.75452,1.29366,0.99732,0.3696,0.28463,0.27093,0.14761,1.61692,1.16225,0.9638,0.00983467,0.00983467,0.00983467
35,1507.19,1.7355,1.27522,0.99338,0.3665,0.28326,0.26833,0.14545,1.6166,1.16287,0.96132,0.00982456,0.00982456,0.00982456
36,1548,1.73034,1.27339,0.99262,0.36533,0.28566,0.26972,0.14734,1.61003,1.1626,0.96108,0.00981415,0.00981415,0.00981415
37,1591.34,1.73455,1.26799,0.98763,0.36343,0.29066,0.2738,0.14971,1.60151,1.15426,0.95832,0.00980345,0.00980345,0.00980345
38,1633.9,1.72198,1.2663,0.98904,0.38449,0.2831,0.2745,0.15192,1.60166,1.14682,0.95749,0.00979246,0.00979246,0.00979246
39,1675.6,1.72911,1.26085,0.98722,0.38923,0.28516,0.27575,0.15112,1.59763,1.14985,0.95723,0.00978118,0.00978118,0.00978118
