epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.221,4.20746,4.30413,3.25174,0.03116,0.05406,0.01942,0.00643,3.11463,3.10752,2.2636,0.00332921,0.00332921,0.0700371
2,213.219,2.81659,2.97016,1.97631,0.06912,0.10507,0.06404,0.02815,2.45992,2.3988,1.73287,0.00666244,0.00666244,0.040037
3,320.628,2.40505,2.49833,1.69224,0.32187,0.11551,0.08798,0.04156,2.14342,2.09712,1.56054,0.00999527,0.00999527,0.0100365
4,425.356,2.20122,2.23503,1.55807,0.14988,0.16385,0.11166,0.05368,2.04232,1.93325,1.50152,0.00999863,0.00999863,0.00999863
5,530.5,2.07381,2.06999,1.4752,0.16638,0.15519,0.12419,0.06257,2.00276,1.85182,1.43359,0.00999756,0.00999756,0.00999756
6,633.134,2.00032,1.94966,1.42663,0.19598,0.20675,0.15632,0.08132,1.83423,1.68512,1.37161,0.00999618,0.00999618,0.00999618
7,739.785,1.93357,1.8563,1.39116,0.23197,0.20306,0.16535,0.08909,1.80426,1.63579,1.33851,0.0099945,0.0099945,0.0099945
8,839.974,1.88716,1.78139,1.37122,0.2525,0.22767,0.19148,0.10294,1.76344,1.56788,1.32471,0.00999252,0.00999252,0.00999252
9,941.115,1.8584,1.72333,1.34535,0.25125,0.22814,0.19269,0.10439,1.73929,1.55919,1.30988,0.00999023,0.00999023,0.00999023
10,1038.13,1.81303,1.67273,1.32946,0.279,0.24167,0.21076,0.11609,1.70731,1.48793,1.28859,0.00998764,0.00998764,0.00998764
11,1137.38,1.7986,1.63069,1.31898,0.29535,0.24389,0.21825,0.11964,1.70154,1.47126,1.28034,0.00998474,0.00998474,0.00998474
12,1233.8,1.78014,1.6114,1.30447,0.30834,0.26319,0.23338,0.12962,1.67009,1.43199,1.26797,0.00998154,0.00998154,0.00998154
13,1333.83,1.75313,1.56589,1.29138,0.31665,0.26144,0.23738,0.13204,1.65076,1.41887,1.26008,0.00997803,0.00997803,0.00997803
14,1433.34,1.74699,1.54798,1.28358,0.42373,0.26331,0.24795,0.13976,1.6376,1.40264,1.25151,0.00997422,0.00997422,0.00997422
15,1533,1.73037,1.52817,1.27657,0.36038,0.27237,0.25559,0.14436,1.63155,1.38465,1.24719,0.00997011,0.00997011,0.00997011
16,1637.54,1.71837,1.50725,1.26387,0.34581,0.28383,0.26305,0.1481,1.61747,1.37219,1.22809,0.00996569,0.00996569,0.00996569
17,1737.49,1.71514,1.49395,1.25568,0.34525,0.2805,0.26221,0.14986,1.62593,1.36466,1.22844,0.00996097,0.00996097,0.00996097
18,1836.51,1.70364,1.48232,1.24703,0.35862,0.29086,0.27276,0.15537,1.61092,1.35569,1.21492,0.00995594,0.00995594,0.00995594
19,1941.06,1.70003,1.47129,1.23573,0.37747,0.29802,0.28289,0.16154,1.59676,1.34172,1.20583,0.00995062,0.00995062,0.00995062
20,2042.44,1.68576,1.4463,1.23088,0.38205,0.29723,0.28605,0.16457,1.57758,1.32193,1.19748,0.00994499,0.00994499,0.00994499
21,2143.19,1.67516,1.43277,1.22366,0.37543,0.30705,0.28833,0.16577,1.57359,1.31322,1.19574,0.00993906,0.00993906,0.00993906
22,2245.22,1.66298,1.41648,1.21981,0.39383,0.30537,0.29603,0.16919,1.57685,1.30851,1.19429,0.00993282,0.00993282,0.00993282
23,2342.58,1.65538,1.4048,1.214,0.39832,0.31337,0.30005,0.1738,1.56728,1.3056,1.18848,0.00992629,0.00992629,0.00992629
24,2442.54,1.65248,1.39609,1.21083,0.40686,0.31245,0.30614,0.17606,1.55337,1.28147,1.1804,0.00991946,0.00991946,0.00991946
25,2548.48,1.64776,1.38411,1.20362,0.39983,0.32437,0.31228,0.17982,1.54867,1.2792,1.17779,0.00991232,0.00991232,0.00991232
26,2650.33,1.6394,1.37808,1.20524,0.41028,0.31223,0.3071,0.17904,1.54605,1.28045,1.17635,0.00990489,0.00990489,0.00990489
27,2749.85,1.63867,1.37147,1.19863,0.42079,0.31781,0.31769,0.18437,1.54632,1.2674,1.17348,0.00989715,0.00989715,0.00989715
28,2851.01,1.62815,1.35417,1.19401,0.41962,0.32438,0.31749,0.18432,1.53287,1.26193,1.16786,0.00988912,0.00988912,0.00988912
29,2949.22,1.62502,1.3467,1.19185,0.41152,0.32354,0.31979,0.18544,1.53584,1.25552,1.16586,0.00988079,0.00988079,0.00988079
30,3043.37,1.61847,1.33597,1.18539,0.42594,0.31651,0.31864,0.18605,1.51825,1.25141,1.16021,0.00987216,0.00987216,0.00987216
31,3145.44,1.60975,1.33271,1.18656,0.42993,0.32624,0.32467,0.18908,1.5206,1.24291,1.16053,0.00986323,0.00986323,0.00986323
32,3250.91,1.60449,1.32509,1.18167,0.42738,0.32876,0.32962,0.19409,1.51241,1.23841,1.1574,0.00985401,0.00985401,0.00985401
33,3351.59,1.59669,1.31603,1.18108,0.42383,0.33734,0.32994,0.19344,1.51172,1.22839,1.15802,0.00984449,0.00984449,0.00984449
34,3456.78,1.6008,1.31499,1.18163,0.42167,0.34335,0.33308,0.19446,1.50422,1.22333,1.1546,0.00983467,0.00983467,0.00983467
35,3561.75,1.58634,1.29836,1.17484,0.4244,0.34069,0.33427,0.19585,1.50068,1.21913,1.14899,0.00982456,0.00982456,0.00982456
36,3660.57,1.5824,1.29372,1.17535,0.42484,0.33676,0.33137,0.19514,1.49874,1.21677,1.14827,0.00981415,0.00981415,0.00981415
37,3760.9,1.58476,1.28708,1.16757,0.43739,0.34058,0.34127,0.20142,1.48997,1.21012,1.14512,0.00980345,0.00980345,0.00980345
38,3855.9,1.57404,1.2835,1.168,0.43409,0.3354,0.33554,0.19889,1.493,1.2122,1.14385,0.00979246,0.00979246,0.00979246
39,3958.07,1.57867,1.27806,1.16658,0.42735,0.34031,0.33586,0.19838,1.48887,1.20826,1.14626,0.00978118,0.00978118,0.00978118
40,4056.42,1.56964,1.26621,1.16619,0.4373,0.33581,0.34112,0.2018,1.49072,1.20119,1.14489,0.0097696,0.0097696,0.0097696
41,4158.47,1.56987,1.26775,1.16784,0.44209,0.34731,0.34573,0.20359,1.48487,1.19397,1.14135,0.00975773,0.00975773,0.00975773
42,4263.15,1.57293,1.26476,1.16207,0.44251,0.35238,0.34996,0.20586,1.48167,1.19102,1.13832,0.00974557,0.00974557,0.00974557
43,4360.23,1.5658,1.2612,1.15802,0.44126,0.34861,0.34825,0.20681,1.47586,1.18916,1.13734,0.00973312,0.00973312,0.00973312
44,4460.16,1.55616,1.25198,1.15997,0.44427,0.35005,0.35066,0.20747,1.47544,1.18667,1.13595,0.00972039,0.00972039,0.00972039
45,4559.12,1.54756,1.24215,1.15329,0.44379,0.35768,0.35405,0.20952,1.47404,1.17738,1.134,0.00970736,0.00970736,0.00970736
46,4658.79,1.55558,1.24146,1.15419,0.45581,0.3499,0.35342,0.20932,1.47176,1.18195,1.13479,0.00969405,0.00969405,0.00969405
47,4760.73,1.55247,1.24052,1.15508,0.45132,0.35718,0.35545,0.20973,1.46782,1.17205,1.13219,0.00968045,0.00968045,0.00968045
48,4866.46,1.54891,1.23392,1.15193,0.46113,0.35571,0.35858,0.21174,1.46622,1.1691,1.13248,0.00966656,0.00966656,0.00966656
49,4965.87,1.54347,1.22621,1.14872,0.46014,0.35672,0.35895,0.21231,1.45967,1.16576,1.12768,0.00965239,0.00965239,0.00965239
50,5067.58,1.54116,1.22587,1.15398,0.46602,0.36057,0.36485,0.21583,1.46357,1.16114,1.13066,0.00963794,0.00963794,0.00963794
51,5168.46,1.53981,1.22479,1.15139,0.46708,0.35834,0.36316,0.21474,1.46029,1.1604,1.13099,0.0096232,0.0096232,0.0096232
52,5269.17,1.53437,1.21619,1.14911,0.45846,0.3583,0.36075,0.2126,1.46033,1.16251,1.12786,0.00960819,0.00960819,0.00960819
53,5373.8,1.53516,1.21244,1.14875,0.4732,0.35759,0.36708,0.2166,1.45444,1.15153,1.12762,0.00959289,0.00959289,0.00959289
54,5474.27,1.52863,1.20944,1.14635,0.47981,0.36129,0.37024,0.22017,1.45331,1.14643,1.12502,0.00957731,0.00957731,0.00957731
55,5574,1.52952,1.20895,1.14398,0.46876,0.36533,0.36758,0.21839,1.45156,1.15014,1.12234,0.00956145,0.00956145,0.00956145
56,5676.5,1.5315,1.20257,1.1411,0.46912,0.36644,0.36895,0.21997,1.4527,1.14854,1.12521,0.00954531,0.00954531,0.00954531
57,5773.69,1.52566,1.20085,1.13704,0.47789,0.3649,0.37083,0.22026,1.44918,1.14511,1.12205,0.00952889,0.00952889,0.00952889
58,5876.37,1.51722,1.19231,1.14114,0.4732,0.36448,0.36872,0.21932,1.44776,1.14248,1.12175,0.0095122,0.0095122,0.0095122
59,5973.38,1.51229,1.19215,1.14093,0.46808,0.36713,0.37095,0.22086,1.4479,1.14062,1.12212,0.00949524,0.00949524,0.00949524
60,6078.37,1.52474,1.19479,1.13822,0.48274,0.3622,0.3736,0.22248,1.44233,1.13436,1.11847,0.009478,0.009478,0.009478
61,6183.51,1.51239,1.18104,1.13267,0.47459,0.36923,0.3739,0.22203,1.44177,1.13105,1.11836,0.00946048,0.00946048,0.00946048
62,6287.85,1.51255,1.17863,1.13383,0.47476,0.3637,0.37364,0.22273,1.43647,1.13191,1.11565,0.0094427,0.0094427,0.0094427
63,6387.29,1.50733,1.17471,1.13319,0.48815,0.3682,0.37948,0.22618,1.43794,1.12903,1.11693,0.00942464,0.00942464,0.00942464
64,6486.92,1.50726,1.17937,1.13608,0.48845,0.36499,0.37607,0.22413,1.43576,1.1305,1.11602,0.00940631,0.00940631,0.00940631
65,6588.06,1.50785,1.174,1.13672,0.48662,0.36686,0.37991,0.22697,1.43166,1.12428,1.11389,0.00938772,0.00938772,0.00938772
66,6684.32,1.50511,1.1723,1.13019,0.48034,0.36836,0.38072,0.22683,1.43298,1.12585,1.1141,0.00936886,0.00936886,0.00936886
67,6782.46,1.50473,1.16642,1.13029,0.47464,0.37499,0.38151,0.2275,1.43131,1.12244,1.11385,0.00934973,0.00934973,0.00934973
68,6887.02,1.49442,1.16096,1.13055,0.4952,0.37124,0.38276,0.22773,1.42758,1.11809,1.11211,0.00933033,0.00933033,0.00933033
69,6987.96,1.49902,1.15896,1.12723,0.48154,0.37364,0.38296,0.22841,1.42865,1.11786,1.11212,0.00931067,0.00931067,0.00931067
70,7085.81,1.49567,1.15687,1.12913,0.48996,0.3754,0.3848,0.2291,1.42893,1.11959,1.1117,0.00929075,0.00929075,0.00929075
71,7183.8,1.50219,1.15855,1.13146,0.48231,0.37388,0.38273,0.22843,1.42648,1.11547,1.11138,0.00927057,0.00927057,0.00927057
72,7283.69,1.49732,1.15646,1.12782,0.48823,0.37443,0.38592,0.23022,1.42804,1.11581,1.11165,0.00925013,0.00925013,0.00925013
73,7381.4,1.48863,1.14714,1.12556,0.48276,0.37634,0.38329,0.2293,1.42561,1.11157,1.1102,0.00922942,0.00922942,0.00922942
74,7480.01,1.49349,1.1448,1.12622,0.49702,0.36891,0.38187,0.22842,1.42548,1.11208,1.10896,0.00920846,0.00920846,0.00920846
75,7581.13,1.4795,1.14309,1.12717,0.48459,0.37496,0.38529,0.23035,1.42576,1.11244,1.11004,0.00918725,0.00918725,0.00918725
76,7681.59,1.48721,1.14571,1.12391,0.4858,0.37468,0.38484,0.23032,1.42412,1.11103,1.1089,0.00916577,0.00916577,0.00916577
77,7780.94,1.48731,1.13988,1.12357,0.49398,0.37147,0.38817,0.23207,1.42031,1.10566,1.10725,0.00914405,0.00914405,0.00914405
78,7878.27,1.48577,1.13693,1.12291,0.48389,0.3788,0.38778,0.23314,1.42078,1.10455,1.10753,0.00912207,0.00912207,0.00912207
79,7973.35,1.47694,1.13269,1.11857,0.49784,0.37559,0.39004,0.23352,1.42065,1.10281,1.10714,0.00909984,0.00909984,0.00909984
80,8071.72,1.47811,1.1315,1.12194,0.49053,0.379,0.38738,0.23168,1.41885,1.10475,1.10702,0.00907736,0.00907736,0.00907736
81,8172.54,1.47475,1.128,1.1217,0.49816,0.37745,0.38873,0.23267,1.41655,1.1028,1.10643,0.00905463,0.00905463,0.00905463
82,8274.09,1.47804,1.12934,1.11715,0.49992,0.38145,0.39077,0.23391,1.41634,1.10091,1.10594,0.00903166,0.00903166,0.00903166
83,8372.5,1.47754,1.12886,1.11853,0.49255,0.38402,0.39115,0.2344,1.41659,1.09895,1.10572,0.00900844,0.00900844,0.00900844
84,8476.04,1.47573,1.12346,1.11802,0.50323,0.37765,0.39135,0.23435,1.41581,1.09742,1.10458,0.00898497,0.00898497,0.00898497
85,8575.59,1.47166,1.12305,1.11564,0.50331,0.37791,0.39281,0.23484,1.41243,1.09443,1.10359,0.00896127,0.00896127,0.00896127
86,8673.57,1.4707,1.12224,1.11983,0.50457,0.37818,0.39162,0.23418,1.41103,1.09451,1.10306,0.00893732,0.00893732,0.00893732
87,8770.91,1.47077,1.11769,1.11336,0.50391,0.37884,0.39109,0.23477,1.41247,1.09538,1.10327,0.00891313,0.00891313,0.00891313
88,8865.63,1.47704,1.1245,1.11475,0.51106,0.37766,0.39364,0.23599,1.41234,1.09407,1.10313,0.0088887,0.0088887,0.0088887
89,8968.41,1.47673,1.1226,1.11738,0.51107,0.38143,0.39565,0.23689,1.41106,1.09289,1.10244,0.00886404,0.00886404,0.00886404
90,9069.57,1.47111,1.11336,1.11594,0.51015,0.38411,0.39747,0.23776,1.4116,1.0899,1.10302,0.00883914,0.00883914,0.00883914
91,9172.65,1.47891,1.125,1.11334,0.51485,0.3831,0.3982,0.23879,1.4113,1.08829,1.10245,0.00881401,0.00881401,0.00881401
