epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.6533,4.85144,4.32955,2.9924,0.10873,0.0126,0.00432,0.00101,4.10126,3.4477,2.19531,0.00332921,0.00332921,0.0700371
2,101.88,3.33715,2.95515,1.65435,0.04725,0.11243,0.05053,0.02059,2.69066,2.25315,1.35802,0.00666244,0.00666244,0.040037
3,147.476,2.64057,2.34737,1.36704,0.2776,0.09826,0.06723,0.03063,2.30106,1.93052,1.24294,0.00999527,0.00999527,0.0100365
4,193.652,2.38226,2.09041,1.25697,0.19966,0.12992,0.08477,0.03955,2.17431,1.81113,1.1831,0.00999863,0.00999863,0.00999863
5,239.693,2.23018,1.9332,1.19667,0.25099,0.14903,0.1042,0.05015,2.02884,1.64532,1.12145,0.00999756,0.00999756,0.00999756
6,285.543,2.14217,1.82356,1.1613,0.17673,0.16392,0.11685,0.06039,1.94779,1.57765,1.0958,0.00999618,0.00999618,0.00999618
7,330.625,2.06444,1.73722,1.13646,0.17928,0.17479,0.13312,0.06816,1.87831,1.4812,1.07748,0.0099945,0.0099945,0.0099945
8,376.577,2.01027,1.67226,1.12257,0.20963,0.18002,0.14025,0.07149,1.85166,1.46715,1.06719,0.00999252,0.00999252,0.00999252
9,422.319,1.97935,1.61989,1.10423,0.2045,0.1924,0.14973,0.07823,1.82355,1.41326,1.06046,0.00999023,0.00999023,0.00999023
10,468.478,1.93169,1.57583,1.09597,0.2351,0.19576,0.16375,0.08707,1.78444,1.3847,1.04801,0.00998764,0.00998764,0.00998764
11,515.004,1.91301,1.54472,1.08831,0.24416,0.2029,0.17004,0.08961,1.77144,1.34744,1.04063,0.00998474,0.00998474,0.00998474
12,560.11,1.89661,1.52681,1.07996,0.26245,0.20644,0.17513,0.09165,1.74185,1.33882,1.03645,0.00998154,0.00998154,0.00998154
13,604.529,1.86544,1.48494,1.07374,0.25652,0.21246,0.1799,0.09576,1.7343,1.32723,1.03321,0.00997803,0.00997803,0.00997803
14,650.782,1.85543,1.4725,1.06568,0.2617,0.22304,0.19005,0.10187,1.71022,1.30501,1.02433,0.00997422,0.00997422,0.00997422
15,697.109,1.83108,1.44826,1.06292,0.2748,0.22838,0.19747,0.10555,1.7056,1.29603,1.02469,0.00997011,0.00997011,0.00997011
16,742.261,1.81703,1.42504,1.05612,0.27041,0.22302,0.1961,0.10436,1.69096,1.27412,1.0175,0.00996569,0.00996569,0.00996569
17,788.736,1.80189,1.40745,1.05107,0.28273,0.22774,0.19996,0.10672,1.6744,1.25556,1.01235,0.00996097,0.00996097,0.00996097
18,835.22,1.78444,1.3919,1.04475,0.30618,0.23285,0.20989,0.11277,1.65111,1.22895,1.00838,0.00995594,0.00995594,0.00995594
