epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.933,4.04684,4.21967,3.13119,0.24377,0.06077,0.02665,0.00888,2.93959,2.93624,2.23289,0.00332921,0.00332921,0.0700371
2,205.232,2.68429,2.84585,1.93887,0.174,0.10867,0.06616,0.02964,2.39378,2.31085,1.70442,0.00666244,0.00666244,0.040037
3,312.52,2.3402,2.45366,1.67234,0.40271,0.10688,0.08716,0.04246,2.16735,2.10651,1.55512,0.00999527,0.00999527,0.0100365
4,414.907,2.15063,2.22003,1.54134,0.22497,0.14678,0.10778,0.05491,2.01877,1.97603,1.46809,0.00999863,0.00999863,0.00999863
5,513.247,2.03157,2.06451,1.46281,0.35964,0.17597,0.12956,0.06709,1.90397,1.78822,1.41164,0.00999756,0.00999756,0.00999756
6,611.652,1.96545,1.95066,1.41974,0.18298,0.19843,0.14742,0.07765,1.8018,1.6872,1.36884,0.00999618,0.00999618,0.00999618
7,716.554,1.90572,1.8677,1.3867,0.22702,0.20012,0.16323,0.08778,1.77004,1.62488,1.34678,0.0099945,0.0099945,0.0099945
8,813.915,1.86553,1.80124,1.37076,0.24757,0.21798,0.1808,0.09796,1.75294,1.57601,1.33769,0.00999252,0.00999252,0.00999252
9,913.544,1.83966,1.73832,1.34679,0.22441,0.21152,0.17028,0.09091,1.76765,1.59203,1.33213,0.00999023,0.00999023,0.00999023
10,1008.43,1.80038,1.69105,1.33454,0.25412,0.22913,0.1922,0.10607,1.70323,1.51235,1.30136,0.00998764,0.00998764,0.00998764
11,1105.4,1.78901,1.65465,1.32632,0.28224,0.24844,0.21443,0.11729,1.67812,1.45409,1.28593,0.00998474,0.00998474,0.00998474
12,1200.68,1.77344,1.63341,1.31366,0.29846,0.2501,0.22502,0.1251,1.65202,1.43657,1.2762,0.00998154,0.00998154,0.00998154
13,1299.06,1.74524,1.58981,1.30144,0.29272,0.24267,0.22131,0.12332,1.64455,1.43699,1.27082,0.00997803,0.00997803,0.00997803
14,1397.73,1.73789,1.56849,1.29343,0.41695,0.25876,0.23987,0.13672,1.61113,1.40248,1.25664,0.00997422,0.00997422,0.00997422
15,1496.4,1.72066,1.5463,1.28994,0.31629,0.27625,0.24708,0.13987,1.6122,1.38103,1.25615,0.00997011,0.00997011,0.00997011
16,1599.14,1.70662,1.51788,1.28043,0.34533,0.27566,0.25308,0.14259,1.59689,1.35622,1.2449,0.00996569,0.00996569,0.00996569
