epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.442,4.22471,3.8501,2.4947,0.24073,0.04052,0.02171,0.00726,3.24191,2.7502,1.63029,0.00332921,0.00332921,0.0700371
2,86.1624,2.9738,2.65725,1.50143,0.07286,0.1035,0.06133,0.02669,2.50664,2.11866,1.29862,0.00666244,0.00666244,0.040037
3,125.66,2.54764,2.22899,1.32224,0.21721,0.12462,0.07668,0.03328,2.29722,1.89969,1.21005,0.00999527,0.00999527,0.0100365
4,165.032,2.32247,2.00653,1.23191,0.25017,0.14083,0.0994,0.04646,2.13111,1.69156,1.17335,0.00999863,0.00999863,0.00999863
5,203.949,2.18878,1.86029,1.17982,0.24796,0.16058,0.1107,0.05341,2.02032,1.61875,1.11605,0.00999756,0.00999756,0.00999756
6,243.012,2.11053,1.76161,1.14771,0.18838,0.17552,0.13228,0.06608,1.89663,1.51577,1.08758,0.00999618,0.00999618,0.00999618
7,282.211,2.04001,1.68614,1.12687,0.23192,0.1853,0.14966,0.07777,1.85141,1.44788,1.07187,0.0099945,0.0099945,0.0099945
8,321.34,1.9872,1.62677,1.11406,0.22261,0.19168,0.15914,0.08301,1.81195,1.40868,1.05606,0.00999252,0.00999252,0.00999252
9,360.815,1.95556,1.57846,1.09503,0.24324,0.20095,0.16649,0.08842,1.77813,1.37197,1.04554,0.00999023,0.00999023,0.00999023
10,399.551,1.91233,1.54178,1.08864,0.25195,0.21003,0.17752,0.09358,1.75938,1.3503,1.03943,0.00998764,0.00998764,0.00998764
11,439.674,1.89778,1.51055,1.08218,0.2574,0.21144,0.17804,0.09333,1.76132,1.34585,1.03765,0.00998474,0.00998474,0.00998474
12,479.066,1.88403,1.49853,1.07482,0.26597,0.21443,0.19002,0.10028,1.71925,1.31435,1.03188,0.00998154,0.00998154,0.00998154
