epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.94,3.86034,4.05397,2.93416,0.03363,0.0716,0.02575,0.00883,2.93014,2.94358,2.11051,0.00332921,0.00332921,0.0700371
2,205.262,2.75756,2.99267,1.92512,0.05829,0.11149,0.05673,0.02405,2.5584,2.55283,1.72666,0.00666244,0.00666244,0.040037
3,313.606,2.4319,2.57741,1.66663,0.30901,0.11805,0.08224,0.039,2.18878,2.15431,1.53694,0.00999527,0.00999527,0.0100365
4,414.539,2.24042,2.31269,1.53508,0.22899,0.14105,0.10508,0.05303,2.0335,1.97126,1.45017,0.00999863,0.00999863,0.00999863
5,511.247,2.12111,2.16279,1.45959,0.24591,0.17005,0.11983,0.06032,1.98934,1.89522,1.39665,0.00999756,0.00999756,0.00999756
6,606.204,2.05172,2.04718,1.41326,0.17285,0.18162,0.13965,0.07181,1.86454,1.78383,1.34843,0.00999618,0.00999618,0.00999618
7,708.6,1.98681,1.96387,1.37784,0.21071,0.18079,0.14926,0.07957,1.83528,1.71146,1.32587,0.0099945,0.0099945,0.0099945
8,802.952,1.94881,1.90356,1.35956,0.23726,0.207,0.16994,0.0888,1.81728,1.66942,1.3141,0.00999252,0.00999252,0.00999252
9,901.315,1.92075,1.84896,1.33461,0.22694,0.21961,0.17083,0.09055,1.79581,1.63244,1.29846,0.00999023,0.00999023,0.00999023
10,993.337,1.88433,1.80288,1.3208,0.26568,0.22295,0.18874,0.1015,1.7574,1.59312,1.27942,0.00998764,0.00998764,0.00998764
11,1086.08,1.87527,1.7703,1.30956,0.23839,0.22642,0.18548,0.10059,1.75701,1.58464,1.26277,0.00998474,0.00998474,0.00998474
12,1179.49,1.86086,1.75535,1.29337,0.26098,0.22917,0.19381,0.10485,1.72637,1.55758,1.25397,0.00998154,0.00998154,0.00998154
13,1272.19,1.83788,1.71758,1.27688,0.25923,0.23435,0.19557,0.10679,1.73487,1.54782,1.23992,0.00997803,0.00997803,0.00997803
14,1368.94,1.83366,1.70462,1.26833,0.28726,0.23567,0.20922,0.11599,1.69562,1.51033,1.22193,0.00997422,0.00997422,0.00997422
15,1464.77,1.81691,1.68019,1.2605,0.28437,0.253,0.2177,0.12042,1.70462,1.5146,1.23248,0.00997011,0.00997011,0.00997011
16,1565.82,1.8061,1.65505,1.24892,0.29243,0.25739,0.22314,0.12323,1.67908,1.4865,1.2079,0.00996569,0.00996569,0.00996569
17,1660.13,1.79744,1.63873,1.23918,0.29791,0.24679,0.2215,0.12195,1.6669,1.48546,1.19739,0.00996097,0.00996097,0.00996097
18,1751.2,1.78439,1.62279,1.23181,0.31355,0.2571,0.23341,0.12916,1.66651,1.45762,1.19695,0.00995594,0.00995594,0.00995594
19,1852.71,1.78304,1.61302,1.22434,0.31207,0.26541,0.23458,0.13162,1.66605,1.4501,1.19068,0.00995062,0.00995062,0.00995062
