epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.7476,4.34257,3.98553,2.62915,0.2317,0.03301,0.01719,0.00603,3.30493,2.85082,1.7495,0.00332921,0.00332921,0.0700371
2,106.266,3.03794,2.7203,1.53636,0.10983,0.08296,0.05311,0.02099,2.77104,2.24008,1.35086,0.00666244,0.00666244,0.040037
3,152.801,2.55564,2.24727,1.32421,0.20048,0.11846,0.07706,0.03442,2.25045,1.84909,1.21744,0.00999527,0.00999527,0.0100365
4,198.769,2.30895,1.9913,1.22576,0.25302,0.14188,0.1033,0.0496,2.08147,1.66704,1.15751,0.00999863,0.00999863,0.00999863
5,245.35,2.16784,1.83059,1.17176,0.18254,0.1656,0.12705,0.06294,1.96,1.56089,1.10154,0.00999756,0.00999756,0.00999756
6,291.33,2.07842,1.72918,1.13766,0.19171,0.183,0.13976,0.07108,1.86803,1.47851,1.07629,0.00999618,0.00999618,0.00999618
7,338.207,2.0015,1.64695,1.1148,0.21458,0.19918,0.1573,0.08134,1.81512,1.41725,1.05734,0.0099945,0.0099945,0.0099945
8,384.65,1.94626,1.58653,1.10115,0.23466,0.20196,0.16529,0.0854,1.79043,1.38531,1.04983,0.00999252,0.00999252,0.00999252
9,430.971,1.91216,1.53466,1.08077,0.24663,0.21594,0.17836,0.09314,1.74771,1.33922,1.04047,0.00999023,0.00999023,0.00999023
10,479.109,1.8664,1.49652,1.0733,0.27404,0.21736,0.18724,0.09914,1.71531,1.3199,1.03619,0.00998764,0.00998764,0.00998764
11,524.606,1.84886,1.46414,1.06641,0.27949,0.22887,0.19654,0.10463,1.70007,1.2886,1.01923,0.00998474,0.00998474,0.00998474
12,570.96,1.83684,1.45181,1.05987,0.28865,0.23318,0.20614,0.10977,1.66829,1.26755,1.01421,0.00998154,0.00998154,0.00998154
13,617.726,1.80286,1.40855,1.05178,0.29047,0.237,0.20849,0.11086,1.67304,1.25621,1.01348,0.00997803,0.00997803,0.00997803
14,663.419,1.79566,1.39437,1.04521,0.33268,0.23832,0.2193,0.11921,1.64042,1.2394,1.00455,0.00997422,0.00997422,0.00997422
15,708.972,1.77042,1.37486,1.04282,0.3156,0.24874,0.22113,0.1189,1.64667,1.23698,1.00629,0.00997011,0.00997011,0.00997011
16,755.794,1.75624,1.34974,1.03588,0.31856,0.25275,0.23024,0.12413,1.61613,1.21175,0.99656,0.00996569,0.00996569,0.00996569
17,801.862,1.74508,1.33454,1.03087,0.32197,0.25407,0.23055,0.12565,1.6088,1.2064,0.99694,0.00996097,0.00996097,0.00996097
18,847.84,1.72979,1.32411,1.02646,0.33856,0.25362,0.2417,0.13075,1.5996,1.18745,0.99405,0.00995594,0.00995594,0.00995594
19,893.646,1.73231,1.31865,1.02283,0.34414,0.26432,0.24536,0.13373,1.59631,1.1818,0.99103,0.00995062,0.00995062,0.00995062
20,939.422,1.71017,1.29621,1.02028,0.34,0.26829,0.2517,0.13751,1.58244,1.16744,0.9859,0.00994499,0.00994499,0.00994499
21,986.104,1.69949,1.28357,1.01748,0.34173,0.26581,0.25097,0.13939,1.57095,1.16491,0.98199,0.00993906,0.00993906,0.00993906
22,1032.75,1.68231,1.26843,1.01337,0.35605,0.27048,0.25658,0.14101,1.56187,1.1447,0.9827,0.00993282,0.00993282,0.00993282
23,1079.14,1.67556,1.25698,1.01083,0.3617,0.27712,0.26007,0.14243,1.55473,1.13868,0.97923,0.00992629,0.00992629,0.00992629
24,1125.58,1.66946,1.25141,1.00762,0.36374,0.27715,0.26229,0.14458,1.54209,1.13293,0.97784,0.00991946,0.00991946,0.00991946
25,1172.67,1.66889,1.24108,1.00466,0.36323,0.28175,0.26255,0.14517,1.54107,1.13072,0.97462,0.00991232,0.00991232,0.00991232
26,1219.04,1.66038,1.23991,1.00703,0.37004,0.27715,0.26583,0.14743,1.535,1.1264,0.97234,0.00990489,0.00990489,0.00990489
27,1266.13,1.66467,1.2333,1.00207,0.36332,0.28693,0.26652,0.14736,1.53116,1.11939,0.97101,0.00989715,0.00989715,0.00989715
28,1311.77,1.64941,1.21761,0.99891,0.38543,0.28225,0.27366,0.15251,1.52236,1.10276,0.96879,0.00988912,0.00988912,0.00988912
