epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.3721,4.4121,3.9508,2.5705,0.13569,0.03301,0.01965,0.00655,3.30824,2.88357,1.6886,0.00332921,0.00332921,0.0700371
2,111.607,3.06753,2.71773,1.53028,0.07316,0.07994,0.05464,0.02207,2.72987,2.18688,1.33621,0.00666244,0.00666244,0.040037
3,162.439,2.58507,2.26589,1.32706,0.18821,0.11863,0.07502,0.03276,2.31866,1.9425,1.21866,0.00999527,0.00999527,0.0100365
4,212.197,2.34239,2.02519,1.23093,0.13631,0.14712,0.10045,0.04791,2.09719,1.72948,1.15181,0.00999863,0.00999863,0.00999863
5,261.288,2.19196,1.86682,1.17414,0.27408,0.16667,0.1205,0.05874,1.99146,1.58031,1.11521,0.00999756,0.00999756,0.00999756
6,311.306,2.10555,1.75769,1.13757,0.1878,0.17366,0.1297,0.06682,1.89647,1.50483,1.08618,0.00999618,0.00999618,0.00999618
7,361.751,2.02303,1.6772,1.11298,0.2238,0.19236,0.15237,0.07788,1.83763,1.44062,1.06448,0.0099945,0.0099945,0.0099945
8,411.502,1.96491,1.61406,1.09732,0.24207,0.20132,0.16146,0.0826,1.81236,1.42726,1.05616,0.00999252,0.00999252,0.00999252
9,461.315,1.93355,1.56133,1.07879,0.24293,0.21902,0.17812,0.09267,1.75792,1.35599,1.04197,0.00999023,0.00999023,0.00999023
10,511.509,1.88394,1.51939,1.07065,0.2596,0.22306,0.18482,0.09803,1.73706,1.33245,1.03408,0.00998764,0.00998764,0.00998764
11,561.747,1.86586,1.48794,1.06269,0.26449,0.22874,0.19615,0.10358,1.71854,1.30127,1.01933,0.00998474,0.00998474,0.00998474
12,611.593,1.85169,1.47225,1.05488,0.27287,0.23403,0.20298,0.1074,1.69313,1.28312,1.01402,0.00998154,0.00998154,0.00998154
13,661.596,1.8187,1.43329,1.04797,0.28448,0.24519,0.2118,0.11188,1.67182,1.26721,1.00872,0.00997803,0.00997803,0.00997803
14,711.549,1.80878,1.4185,1.04025,0.30921,0.24361,0.21583,0.11748,1.66011,1.25978,1.00409,0.00997422,0.00997422,0.00997422
15,761.446,1.78577,1.39598,1.03806,0.29807,0.25373,0.22398,0.12061,1.65303,1.2527,1.00379,0.00997011,0.00997011,0.00997011
16,811.176,1.77252,1.37295,1.03104,0.30746,0.2499,0.22569,0.11948,1.63305,1.24043,0.99511,0.00996569,0.00996569,0.00996569
17,860.767,1.75884,1.36015,1.02628,0.31274,0.25038,0.22931,0.12378,1.62363,1.22257,0.99578,0.00996097,0.00996097,0.00996097
18,910.17,1.74591,1.34576,1.02217,0.30418,0.26152,0.23276,0.12559,1.61649,1.21313,0.9923,0.00995594,0.00995594,0.00995594
19,959.53,1.75599,1.35301,1.01705,0.33423,0.26061,0.23749,0.12892,1.63367,1.21634,0.98857,0.00995062,0.00995062,0.00995062
20,1009.83,1.7427,1.33617,1.0141,0.32961,0.26708,0.24467,0.13303,1.62472,1.21609,0.98735,0.00994499,0.00994499,0.00994499
21,1058.31,1.73702,1.32811,1.01003,0.33793,0.26243,0.24468,0.13535,1.61657,1.20991,0.97915,0.00993906,0.00993906,0.00993906
22,1107.65,1.72585,1.31991,1.00572,0.34166,0.26639,0.25112,0.13629,1.61048,1.19812,0.97688,0.00993282,0.00993282,0.00993282
23,1157.9,1.71881,1.31367,1.00193,0.34589,0.27042,0.25369,0.14032,1.59369,1.19062,0.9709,0.00992629,0.00992629,0.00992629
24,1208.12,1.71685,1.30891,0.99711,0.35558,0.28251,0.26108,0.14485,1.59339,1.18704,0.96831,0.00991946,0.00991946,0.00991946
