epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.92,3.86461,4.06065,2.95074,0.13732,0.06927,0.02599,0.00924,2.92509,2.9382,2.12754,0.00332921,0.00332921,0.0700371
2,242.597,2.73395,2.95739,1.91463,0.05855,0.12484,0.06052,0.02614,2.47686,2.47995,1.68848,0.00666244,0.00666244,0.040037
3,374.248,2.41842,2.55267,1.66115,0.19045,0.1275,0.08429,0.04064,2.17472,2.15102,1.52232,0.00999527,0.00999527,0.0100365
4,494.54,2.23269,2.31561,1.53564,0.22477,0.14663,0.10692,0.05407,2.02343,1.94611,1.43923,0.00999863,0.00999863,0.00999863
5,605.725,2.12352,2.15454,1.46586,0.24175,0.16582,0.11649,0.05898,1.99854,1.90705,1.40544,0.00999756,0.00999756,0.00999756
6,727.655,2.05411,2.03964,1.41955,0.22264,0.18615,0.13789,0.0728,1.87334,1.78078,1.35754,0.00999618,0.00999618,0.00999618
7,850.659,1.9916,1.95444,1.38452,0.22165,0.19628,0.15226,0.07937,1.83328,1.704,1.34138,0.0099945,0.0099945,0.0099945
8,965.827,1.95114,1.89159,1.36709,0.20112,0.20752,0.15798,0.0835,1.84499,1.70126,1.3189,0.00999252,0.00999252,0.00999252
9,1082.93,1.92658,1.84118,1.34206,0.23535,0.22117,0.17322,0.09096,1.80372,1.63134,1.30373,0.00999023,0.00999023,0.00999023
10,1194.77,1.88675,1.79709,1.32826,0.23013,0.23306,0.17906,0.09647,1.7618,1.5833,1.28605,0.00998764,0.00998764,0.00998764
11,1306.65,1.88092,1.76331,1.31698,0.24381,0.23029,0.19197,0.10342,1.77157,1.57683,1.26799,0.00998474,0.00998474,0.00998474
12,1421.6,1.8675,1.74714,1.30225,0.27083,0.24177,0.19634,0.10718,1.72011,1.54194,1.25172,0.00998154,0.00998154,0.00998154
13,1537.47,1.84205,1.70929,1.28388,0.27054,0.24458,0.20366,0.11159,1.72461,1.52958,1.25035,0.00997803,0.00997803,0.00997803
14,1657.26,1.83923,1.69925,1.27443,0.28124,0.25149,0.2083,0.11484,1.69301,1.51678,1.22628,0.00997422,0.00997422,0.00997422
15,1775.72,1.82278,1.67589,1.26653,0.28368,0.25204,0.2164,0.11962,1.70007,1.50741,1.2226,0.00997011,0.00997011,0.00997011
16,1897.72,1.80998,1.64945,1.25442,0.29579,0.25518,0.22375,0.12318,1.67055,1.47356,1.20705,0.00996569,0.00996569,0.00996569
17,2015.4,1.802,1.63759,1.2459,0.29361,0.25369,0.22235,0.12298,1.67279,1.46926,1.20528,0.00996097,0.00996097,0.00996097
18,2131.3,1.78888,1.61933,1.23726,0.29711,0.26417,0.23205,0.12842,1.66417,1.45216,1.20005,0.00995594,0.00995594,0.00995594
19,2249.84,1.78601,1.60804,1.22904,0.30922,0.26618,0.23617,0.13255,1.66741,1.43772,1.19795,0.00995062,0.00995062,0.00995062
20,2365.25,1.77064,1.58582,1.22115,0.32901,0.26007,0.24287,0.13651,1.64834,1.42646,1.1833,0.00994499,0.00994499,0.00994499
21,2486.15,1.75931,1.56951,1.21455,0.3251,0.26835,0.24637,0.13865,1.63201,1.41736,1.17316,0.00993906,0.00993906,0.00993906
22,2605.74,1.74777,1.55156,1.21048,0.33595,0.27027,0.25321,0.14174,1.6299,1.40262,1.17212,0.00993282,0.00993282,0.00993282
23,2722.77,1.73975,1.54362,1.20337,0.3241,0.27994,0.25632,0.14306,1.62967,1.39423,1.17143,0.00992629,0.00992629,0.00992629
24,2839.29,1.73872,1.53326,1.19922,0.32798,0.28069,0.25522,0.14443,1.61278,1.38667,1.15967,0.00991946,0.00991946,0.00991946
25,2961.87,1.73196,1.52266,1.19154,0.36236,0.27807,0.2595,0.14774,1.60631,1.38581,1.15508,0.00991232,0.00991232,0.00991232
26,3073.3,1.72612,1.5126,1.19174,0.35195,0.27641,0.26331,0.15037,1.6068,1.38051,1.15474,0.00990489,0.00990489,0.00990489
27,3192.29,1.72708,1.5059,1.18599,0.34292,0.28213,0.26525,0.1499,1.60713,1.36674,1.15296,0.00989715,0.00989715,0.00989715
28,3309.52,1.7143,1.48732,1.17983,0.34028,0.28716,0.26866,0.15357,1.59118,1.3562,1.14709,0.00988912,0.00988912,0.00988912
29,3425.4,1.71328,1.48286,1.17801,0.37066,0.28499,0.27275,0.15543,1.58893,1.35354,1.14287,0.00988079,0.00988079,0.00988079
30,3536.03,1.70603,1.47052,1.17022,0.36428,0.28378,0.26903,0.15431,1.58473,1.34297,1.13974,0.00987216,0.00987216,0.00987216
31,3655.06,1.6982,1.46808,1.16996,0.3653,0.29443,0.28017,0.16091,1.57225,1.33477,1.13444,0.00986323,0.00986323,0.00986323
32,3781.37,1.69285,1.46082,1.16523,0.36911,0.29448,0.28134,0.16103,1.57663,1.33246,1.13012,0.00985401,0.00985401,0.00985401
33,3900.15,1.68503,1.45314,1.16247,0.36034,0.29898,0.28279,0.16336,1.57102,1.32032,1.13113,0.00984449,0.00984449,0.00984449
34,4017.41,1.69141,1.45164,1.16255,0.37218,0.29842,0.2854,0.16316,1.56663,1.31852,1.1244,0.00983467,0.00983467,0.00983467
35,4137.83,1.67605,1.43559,1.15663,0.37995,0.3054,0.28956,0.16537,1.56086,1.31342,1.12618,0.00982456,0.00982456,0.00982456
36,4251.32,1.67208,1.43136,1.15659,0.3692,0.3053,0.29007,0.16695,1.5605,1.3067,1.12639,0.00981415,0.00981415,0.00981415
37,4366.09,1.67618,1.42413,1.14874,0.374,0.31208,0.29599,0.16999,1.54972,1.29827,1.11786,0.00980345,0.00980345,0.00980345
38,4479.41,1.66348,1.42117,1.14691,0.38034,0.30626,0.29232,0.16723,1.55615,1.3023,1.11863,0.00979246,0.00979246,0.00979246
39,4598.76,1.66795,1.4153,1.14502,0.37324,0.31223,0.2917,0.16772,1.54978,1.29557,1.11538,0.00978118,0.00978118,0.00978118
40,4713.81,1.66074,1.40395,1.14508,0.37839,0.30982,0.29585,0.1705,1.54302,1.28969,1.11246,0.0097696,0.0097696,0.0097696
41,4831.89,1.66016,1.40422,1.14377,0.37899,0.31213,0.29919,0.17138,1.5408,1.28482,1.10991,0.00975773,0.00975773,0.00975773
42,4950.78,1.66197,1.40248,1.13994,0.37003,0.31953,0.29968,0.1709,1.53896,1.28696,1.11028,0.00974557,0.00974557,0.00974557
43,5064.19,1.65643,1.39555,1.13583,0.38234,0.31685,0.30174,0.17395,1.53467,1.2759,1.10389,0.00973312,0.00973312,0.00973312
44,5180.43,1.64743,1.39354,1.13597,0.37667,0.3131,0.2993,0.17199,1.53237,1.27895,1.10426,0.00972039,0.00972039,0.00972039
45,5302.02,1.64069,1.38161,1.12969,0.39214,0.32028,0.30411,0.17476,1.52938,1.26943,1.10271,0.00970736,0.00970736,0.00970736
46,5417.99,1.64616,1.37895,1.12992,0.38663,0.32044,0.30448,0.17469,1.53533,1.2687,1.10299,0.00969405,0.00969405,0.00969405
47,5535.62,1.64446,1.38101,1.13052,0.38106,0.32007,0.30382,0.17474,1.52745,1.26584,1.09923,0.00968045,0.00968045,0.00968045
48,5649.7,1.63964,1.37203,1.12502,0.39605,0.32742,0.31075,0.17918,1.51868,1.2546,1.0981,0.00966656,0.00966656,0.00966656
49,5768.54,1.634,1.36369,1.12168,0.3986,0.32091,0.30896,0.17831,1.5219,1.25254,1.09389,0.00965239,0.00965239,0.00965239
50,5885.94,1.63396,1.36622,1.12666,0.39658,0.32742,0.31146,0.17957,1.52502,1.25403,1.09628,0.00963794,0.00963794,0.00963794
51,6002.66,1.6299,1.36321,1.12323,0.39988,0.325,0.3131,0.18028,1.52259,1.24837,1.09642,0.0096232,0.0096232,0.0096232
52,6120.88,1.626,1.35198,1.11958,0.39741,0.32341,0.31163,0.17941,1.51731,1.24488,1.09293,0.00960819,0.00960819,0.00960819
53,6241.71,1.62499,1.35104,1.11917,0.39982,0.32702,0.31367,0.18114,1.51303,1.24119,1.09006,0.00959289,0.00959289,0.00959289
54,6362.31,1.6194,1.3467,1.11682,0.40092,0.3276,0.31643,0.18306,1.50952,1.23933,1.08925,0.00957731,0.00957731,0.00957731
55,6480.69,1.62236,1.35001,1.11581,0.40078,0.32922,0.31669,0.18326,1.5094,1.2401,1.08843,0.00956145,0.00956145,0.00956145
56,6601.84,1.62369,1.3437,1.11216,0.40041,0.3275,0.31674,0.18366,1.5073,1.23649,1.08751,0.00954531,0.00954531,0.00954531
57,6715.61,1.61889,1.34375,1.10892,0.39452,0.33465,0.31974,0.18416,1.50682,1.23341,1.08762,0.00952889,0.00952889,0.00952889
58,6837.07,1.61074,1.33205,1.11201,0.40763,0.32858,0.31903,0.18497,1.50358,1.22952,1.08519,0.0095122,0.0095122,0.0095122
59,6955.58,1.60504,1.33388,1.11012,0.40949,0.33264,0.31973,0.18586,1.50547,1.22699,1.0853,0.00949524,0.00949524,0.00949524
60,7073.17,1.61722,1.33076,1.10903,0.39869,0.33868,0.32281,0.18624,1.50077,1.22374,1.08359,0.009478,0.009478,0.009478
61,7199.18,1.60677,1.31914,1.10406,0.41439,0.33478,0.32395,0.18717,1.49642,1.22047,1.08134,0.00946048,0.00946048,0.00946048
62,7322.19,1.60435,1.31861,1.10335,0.398,0.33008,0.32004,0.1854,1.49333,1.2202,1.08001,0.0094427,0.0094427,0.0094427
63,7439.68,1.60157,1.31711,1.10276,0.41196,0.3345,0.32126,0.18615,1.4958,1.22157,1.08074,0.00942464,0.00942464,0.00942464
64,7555.73,1.60124,1.32273,1.10451,0.40329,0.33879,0.32111,0.18635,1.49562,1.21937,1.07997,0.00940631,0.00940631,0.00940631
65,7674.43,1.60186,1.31382,1.10608,0.40999,0.33717,0.32278,0.18681,1.49256,1.21758,1.0787,0.00938772,0.00938772,0.00938772
66,7789.43,1.60079,1.3129,1.10018,0.41415,0.33698,0.32538,0.18816,1.4933,1.21392,1.07804,0.00936886,0.00936886,0.00936886
67,7909.77,1.59645,1.30412,1.09809,0.4122,0.34052,0.32849,0.19046,1.48937,1.20781,1.07668,0.00934973,0.00934973,0.00934973
68,8028.62,1.58744,1.30319,1.09797,0.41042,0.34031,0.3274,0.19088,1.48499,1.20844,1.07423,0.00933033,0.00933033,0.00933033
69,8143.01,1.59098,1.30261,1.09502,0.42305,0.33508,0.32813,0.19014,1.48732,1.20858,1.07553,0.00931067,0.00931067,0.00931067
70,8260.61,1.58955,1.29771,1.09573,0.41573,0.34171,0.33039,0.1912,1.48623,1.20567,1.07422,0.00929075,0.00929075,0.00929075
71,8376.74,1.59505,1.29814,1.0987,0.40833,0.34224,0.3304,0.19134,1.48576,1.20306,1.07363,0.00927057,0.00927057,0.00927057
72,8495.59,1.59187,1.30137,1.09523,0.42014,0.34546,0.33181,0.19279,1.48822,1.20281,1.07529,0.00925013,0.00925013,0.00925013
73,8612.26,1.58501,1.28835,1.09332,0.41827,0.34186,0.33094,0.19263,1.48335,1.20137,1.07217,0.00922942,0.00922942,0.00922942
74,8729.35,1.58808,1.28863,1.09492,0.41868,0.34152,0.33024,0.19208,1.48439,1.20033,1.07208,0.00920846,0.00920846,0.00920846
75,8846.45,1.57357,1.28683,1.09361,0.41878,0.33905,0.33177,0.19245,1.48103,1.20106,1.07134,0.00918725,0.00918725,0.00918725
76,8969.72,1.58475,1.28784,1.09177,0.41636,0.3407,0.32991,0.19242,1.48138,1.19945,1.07087,0.00916577,0.00916577,0.00916577
77,9086.35,1.58086,1.28239,1.09127,0.42314,0.33953,0.33144,0.19294,1.47964,1.19886,1.07024,0.00914405,0.00914405,0.00914405
78,9200.26,1.58173,1.28106,1.09121,0.41849,0.34649,0.33257,0.19365,1.4785,1.19678,1.06867,0.00912207,0.00912207,0.00912207
79,9310.97,1.57281,1.27511,1.08704,0.4192,0.3446,0.33334,0.19424,1.47627,1.19293,1.06789,0.00909984,0.00909984,0.00909984
80,9424.02,1.57308,1.2744,1.08778,0.42385,0.34639,0.33526,0.19527,1.47591,1.1919,1.06734,0.00907736,0.00907736,0.00907736
81,9542.24,1.56973,1.26897,1.08871,0.41997,0.34575,0.33529,0.19576,1.47241,1.18974,1.06682,0.00905463,0.00905463,0.00905463
82,9661.37,1.57468,1.27428,1.0844,0.41357,0.35007,0.33668,0.19604,1.47331,1.1881,1.06641,0.00903166,0.00903166,0.00903166
83,9781.05,1.57257,1.27328,1.08605,0.42017,0.35106,0.33709,0.19637,1.47177,1.18774,1.06606,0.00900844,0.00900844,0.00900844
84,9903.61,1.57168,1.26729,1.08494,0.43164,0.34586,0.33889,0.19747,1.47075,1.18598,1.06566,0.00898497,0.00898497,0.00898497
85,10023.3,1.56951,1.26997,1.08377,0.42976,0.34428,0.33746,0.19739,1.47055,1.18559,1.06479,0.00896127,0.00896127,0.00896127
86,10138.1,1.56838,1.26881,1.0873,0.42516,0.3486,0.33886,0.19801,1.47111,1.18429,1.06484,0.00893732,0.00893732,0.00893732
87,10255.3,1.56837,1.2634,1.08126,0.42801,0.34432,0.33755,0.19746,1.46832,1.18423,1.06364,0.00891313,0.00891313,0.00891313
88,10371.9,1.57437,1.27023,1.08339,0.43671,0.34049,0.33864,0.19858,1.46966,1.18332,1.06394,0.0088887,0.0088887,0.0088887
89,10494.8,1.57338,1.26991,1.08479,0.43397,0.34518,0.34098,0.19981,1.46933,1.18012,1.06357,0.00886404,0.00886404,0.00886404
90,10609.7,1.56968,1.2596,1.08287,0.42964,0.35006,0.3429,0.20015,1.46834,1.17937,1.06294,0.00883914,0.00883914,0.00883914
91,10728.7,1.5778,1.27198,1.08102,0.43038,0.35052,0.342,0.19982,1.46706,1.17791,1.06216,0.00881401,0.00881401,0.00881401
92,10849.5,1.56299,1.25472,1.07763,0.43123,0.34849,0.34272,0.20129,1.46499,1.17595,1.06054,0.00878864,0.00878864,0.00878864
93,10966,1.57202,1.26225,1.08035,0.43245,0.34848,0.34316,0.20098,1.46543,1.17613,1.0606,0.00876305,0.00876305,0.00876305
94,11092.4,1.56923,1.25524,1.07762,0.4329,0.35014,0.3439,0.20176,1.46587,1.17601,1.06098,0.00873723,0.00873723,0.00873723
95,11210.7,1.56398,1.25106,1.08034,0.43356,0.34966,0.34529,0.202,1.46579,1.17457,1.06095,0.00871117,0.00871117,0.00871117
96,11331.6,1.55741,1.25486,1.07945,0.43572,0.35117,0.34581,0.20192,1.46538,1.1733,1.06087,0.0086849,0.0086849,0.0086849
97,11450.6,1.55858,1.24922,1.07931,0.43495,0.35191,0.34653,0.20212,1.46504,1.17355,1.0601,0.00865839,0.00865839,0.00865839
98,11564.7,1.55498,1.24493,1.07768,0.44139,0.34805,0.34583,0.20166,1.46369,1.17267,1.05937,0.00863167,0.00863167,0.00863167
99,11683.4,1.55637,1.25026,1.07672,0.43732,0.35183,0.34575,0.20195,1.46142,1.17081,1.05862,0.00860473,0.00860473,0.00860473
100,11799.6,1.55322,1.23745,1.07301,0.44661,0.35051,0.34588,0.2021,1.46122,1.1694,1.0583,0.00857756,0.00857756,0.00857756
101,11915.5,1.55592,1.23915,1.07271,0.44246,0.35016,0.34522,0.20134,1.46171,1.16992,1.05802,0.00855018,0.00855018,0.00855018
102,12035.8,1.54986,1.24032,1.07499,0.4367,0.35439,0.34586,0.20224,1.4596,1.16838,1.05717,0.00852258,0.00852258,0.00852258
103,12153.4,1.55312,1.2427,1.07456,0.44262,0.35064,0.34646,0.20313,1.45927,1.16828,1.05727,0.00849477,0.00849477,0.00849477
104,12276.6,1.55134,1.23595,1.07086,0.44301,0.34992,0.34699,0.20362,1.46013,1.16764,1.05756,0.00846674,0.00846674,0.00846674
105,12390.3,1.54616,1.23419,1.07288,0.4415,0.35157,0.34747,0.20473,1.45898,1.16646,1.05674,0.00843851,0.00843851,0.00843851
106,12512.7,1.55378,1.23886,1.0726,0.44248,0.35294,0.34861,0.2046,1.45909,1.16577,1.05653,0.00841006,0.00841006,0.00841006
107,12635.5,1.55398,1.23777,1.07245,0.4453,0.35339,0.34944,0.20479,1.45893,1.16592,1.05663,0.00838141,0.00838141,0.00838141
108,12752.7,1.55227,1.23548,1.0705,0.44268,0.35437,0.34902,0.20436,1.45879,1.16486,1.05659,0.00835255,0.00835255,0.00835255
109,12867.5,1.54792,1.23141,1.07269,0.44883,0.35189,0.34785,0.20439,1.4591,1.16461,1.05645,0.00832349,0.00832349,0.00832349
110,12987.7,1.54906,1.23515,1.07159,0.44533,0.35438,0.34892,0.20429,1.45786,1.16301,1.05587,0.00829423,0.00829423,0.00829423
111,13114.2,1.55032,1.2327,1.07166,0.44124,0.35639,0.34983,0.20511,1.45761,1.16196,1.05559,0.00826477,0.00826477,0.00826477
112,13230.1,1.54615,1.23209,1.06872,0.43997,0.35707,0.34999,0.2055,1.45691,1.16128,1.05516,0.00823511,0.00823511,0.00823511
113,13347.9,1.54229,1.22521,1.06645,0.44755,0.35413,0.35086,0.20589,1.45755,1.16088,1.05531,0.00820525,0.00820525,0.00820525
