epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.344,4.40098,4.5778,3.66611,0.00642,0.01328,0.00439,0.00108,3.76492,4.12286,2.89634,0.00332921,0.00332921,0.0700371
2,266.416,3.00073,3.14657,2.22623,0.0931,0.10407,0.06421,0.02754,2.43074,2.38143,1.75215,0.00666244,0.00666244,0.040037
3,400.509,2.38462,2.46958,1.71893,0.3033,0.10994,0.08385,0.03931,2.2417,2.16388,1.59734,0.00999527,0.00999527,0.0100365
4,526.722,2.1541,2.2018,1.56304,0.22937,0.16135,0.1127,0.05872,1.94343,1.85545,1.45954,0.00999863,0.00999863,0.00999863
5,651.677,2.02635,2.03002,1.47744,0.17383,0.17638,0.12712,0.0645,1.91874,1.7652,1.42832,0.00999756,0.00999756,0.00999756
6,777.159,1.951,1.90685,1.42615,0.19719,0.20132,0.15378,0.08128,1.77811,1.63778,1.36136,0.00999618,0.00999618,0.00999618
7,904.578,1.88017,1.81012,1.38871,0.21604,0.21065,0.17001,0.091,1.74198,1.57134,1.34478,0.0099945,0.0099945,0.0099945
8,1028.8,1.8355,1.74409,1.36809,0.24158,0.23765,0.19118,0.10191,1.71901,1.51447,1.32577,0.00999252,0.00999252,0.00999252
9,1153.5,1.80529,1.6804,1.34082,0.25508,0.24538,0.19836,0.10776,1.6939,1.50178,1.30978,0.00999023,0.00999023,0.00999023
10,1273.71,1.76564,1.63219,1.32813,0.27957,0.25008,0.21413,0.11678,1.66772,1.44415,1.29341,0.00998764,0.00998764,0.00998764
11,1397.27,1.75083,1.58837,1.31719,0.28619,0.25997,0.22525,0.12433,1.63522,1.41072,1.27216,0.00998474,0.00998474,0.00998474
12,1519.4,1.73352,1.56617,1.30364,0.30294,0.26505,0.23737,0.13002,1.61248,1.38185,1.2656,0.00998154,0.00998154,0.00998154
13,1643.66,1.70798,1.52246,1.2918,0.30338,0.26213,0.23577,0.13292,1.60938,1.36861,1.2602,0.00997803,0.00997803,0.00997803
14,1768.68,1.69686,1.50488,1.28204,0.36169,0.27193,0.25235,0.14257,1.57985,1.35324,1.24704,0.00997422,0.00997422,0.00997422
15,1890.98,1.67866,1.4743,1.27821,0.33372,0.28407,0.26422,0.15045,1.57391,1.32945,1.24018,0.00997011,0.00997011,0.00997011
16,2020.45,1.66706,1.45342,1.26951,0.34207,0.2934,0.27278,0.15478,1.55645,1.30185,1.23422,0.00996569,0.00996569,0.00996569
17,2144.63,1.65822,1.43509,1.26165,0.33401,0.28497,0.26616,0.15227,1.56132,1.30824,1.23676,0.00996097,0.00996097,0.00996097
18,2267.87,1.64232,1.41521,1.25515,0.36879,0.30651,0.29041,0.16541,1.53629,1.26514,1.22396,0.00995594,0.00995594,0.00995594
19,2394.24,1.63776,1.40515,1.24585,0.36776,0.30532,0.28836,0.16366,1.5335,1.26222,1.21948,0.00995062,0.00995062,0.00995062
20,2517.58,1.62311,1.38089,1.24292,0.38298,0.31317,0.29763,0.17212,1.51538,1.2481,1.21061,0.00994499,0.00994499,0.00994499
21,2642.29,1.61328,1.36719,1.23858,0.37384,0.31157,0.29407,0.17052,1.51049,1.2454,1.20837,0.00993906,0.00993906,0.00993906
22,2768.12,1.60112,1.34939,1.23432,0.38711,0.30769,0.3005,0.17243,1.50819,1.23547,1.20808,0.00993282,0.00993282,0.00993282
23,2887.35,1.59295,1.33812,1.22982,0.40095,0.31428,0.30602,0.17603,1.50092,1.21956,1.20078,0.00992629,0.00992629,0.00992629
24,3011.03,1.58959,1.32903,1.22622,0.40323,0.31966,0.31036,0.18111,1.49112,1.21396,1.19866,0.00991946,0.00991946,0.00991946
25,3140.58,1.58519,1.31974,1.21992,0.39622,0.3292,0.31648,0.18297,1.48515,1.20736,1.19421,0.00991232,0.00991232,0.00991232
26,3265.21,1.57716,1.31549,1.22279,0.41591,0.32346,0.31937,0.18716,1.48255,1.19131,1.19339,0.00990489,0.00990489,0.00990489
27,3390.87,1.57703,1.30412,1.21522,0.41375,0.32524,0.3226,0.18769,1.479,1.18991,1.18922,0.00989715,0.00989715,0.00989715
28,3515.96,1.5669,1.28769,1.2133,0.42654,0.32564,0.3242,0.19036,1.47109,1.17527,1.18631,0.00988912,0.00988912,0.00988912
29,3639.04,1.56513,1.28035,1.21079,0.42113,0.33277,0.32708,0.19236,1.46942,1.17673,1.18239,0.00988079,0.00988079,0.00988079
30,3758.1,1.55827,1.27075,1.20304,0.42223,0.34022,0.33154,0.19355,1.46242,1.16852,1.17999,0.00987216,0.00987216,0.00987216
31,3881.81,1.5485,1.26717,1.20428,0.43446,0.33865,0.33543,0.19625,1.46141,1.16221,1.18045,0.00986323,0.00986323,0.00986323
32,4011.3,1.54521,1.26268,1.20154,0.43541,0.33977,0.33851,0.19921,1.45151,1.15261,1.17484,0.00985401,0.00985401,0.00985401
33,4135.24,1.53577,1.25335,1.19918,0.42189,0.33893,0.33643,0.19592,1.45715,1.15118,1.17793,0.00984449,0.00984449,0.00984449
34,4260.23,1.54372,1.25368,1.20154,0.44304,0.33983,0.34361,0.20246,1.44465,1.13825,1.17108,0.00983467,0.00983467,0.00983467
35,4387.72,1.5291,1.2352,1.19538,0.42907,0.34587,0.34269,0.20166,1.44229,1.13943,1.1696,0.00982456,0.00982456,0.00982456
36,4510.38,1.52355,1.2292,1.19405,0.4315,0.34418,0.34029,0.20126,1.4387,1.13651,1.16833,0.00981415,0.00981415,0.00981415
37,4635.06,1.52591,1.22463,1.18689,0.44038,0.34344,0.34842,0.20487,1.43664,1.1332,1.16603,0.00980345,0.00980345,0.00980345
38,4755.76,1.51608,1.2223,1.18892,0.43344,0.3452,0.3462,0.20455,1.4343,1.12782,1.16403,0.00979246,0.00979246,0.00979246
39,4883.9,1.52109,1.21504,1.18677,0.43557,0.34753,0.34881,0.2062,1.43002,1.12518,1.16425,0.00978118,0.00978118,0.00978118
40,5006.07,1.51276,1.20259,1.18743,0.44749,0.34882,0.35657,0.21025,1.42614,1.11349,1.16032,0.0097696,0.0097696,0.0097696
41,5130.43,1.51234,1.20415,1.18928,0.44904,0.35297,0.35128,0.2072,1.42745,1.1163,1.15954,0.00975773,0.00975773,0.00975773
42,5258.35,1.51357,1.19995,1.1816,0.45272,0.352,0.35875,0.21218,1.42271,1.11225,1.15834,0.00974557,0.00974557,0.00974557
43,5379.51,1.50872,1.19949,1.17931,0.45099,0.35955,0.36201,0.21492,1.42152,1.10711,1.15908,0.00973312,0.00973312,0.00973312
44,5503,1.4993,1.19278,1.18212,0.4545,0.35949,0.36354,0.21422,1.41715,1.09978,1.1551,0.00972039,0.00972039,0.00972039
45,5626.93,1.4923,1.18081,1.17467,0.46992,0.35105,0.36318,0.21604,1.417,1.09613,1.1546,0.00970736,0.00970736,0.00970736
46,5750.49,1.49822,1.17761,1.17523,0.4615,0.36146,0.36603,0.2165,1.41885,1.09606,1.15733,0.00969405,0.00969405,0.00969405
47,5877.45,1.49571,1.18085,1.17656,0.45946,0.36305,0.36751,0.21732,1.41127,1.094,1.15173,0.00968045,0.00968045,0.00968045
48,6001.72,1.49167,1.17287,1.17334,0.45829,0.37359,0.37335,0.22224,1.40536,1.08484,1.15044,0.00966656,0.00966656,0.00966656
49,6124.47,1.48731,1.1646,1.16906,0.46987,0.36802,0.37245,0.22215,1.40566,1.07985,1.14814,0.00965239,0.00965239,0.00965239
50,6248.36,1.4865,1.1634,1.17668,0.46327,0.3681,0.37244,0.22197,1.40376,1.08179,1.14767,0.00963794,0.00963794,0.00963794
51,6373.33,1.48197,1.16457,1.17218,0.47428,0.37015,0.37796,0.22477,1.40597,1.08284,1.14944,0.0096232,0.0096232,0.0096232
52,6498.83,1.48333,1.15898,1.17088,0.4796,0.37049,0.37505,0.22272,1.40331,1.08449,1.14739,0.00960819,0.00960819,0.00960819
53,6626.86,1.48341,1.15925,1.16914,0.47126,0.37003,0.37819,0.22441,1.40471,1.08467,1.14514,0.00959289,0.00959289,0.00959289
54,6750.2,1.4804,1.15563,1.16639,0.47056,0.37362,0.3828,0.22852,1.40485,1.08273,1.14382,0.00957731,0.00957731,0.00957731
55,6875.42,1.48526,1.16263,1.16606,0.47376,0.37238,0.38148,0.2267,1.40308,1.08828,1.14232,0.00956145,0.00956145,0.00956145
56,7004.78,1.48878,1.15926,1.16103,0.48071,0.3714,0.38385,0.22783,1.40412,1.08311,1.14148,0.00954531,0.00954531,0.00954531
57,7125.98,1.4855,1.1598,1.15695,0.48039,0.37154,0.38356,0.22895,1.4044,1.08678,1.13978,0.00952889,0.00952889,0.00952889
58,7253.72,1.47792,1.15039,1.16022,0.49194,0.373,0.38704,0.23055,1.40078,1.08036,1.13746,0.0095122,0.0095122,0.0095122
59,7375.22,1.47526,1.15334,1.15966,0.4885,0.37302,0.38423,0.22858,1.40959,1.08526,1.13719,0.00949524,0.00949524,0.00949524
60,7504.36,1.48743,1.15723,1.15599,0.48735,0.37797,0.38718,0.23052,1.40551,1.07849,1.13597,0.009478,0.009478,0.009478
61,7632.76,1.47509,1.14503,1.15033,0.48813,0.37923,0.39059,0.2327,1.40262,1.07542,1.13384,0.00946048,0.00946048,0.00946048
62,7764.56,1.47932,1.14568,1.15174,0.49926,0.37996,0.39109,0.23455,1.40044,1.07692,1.13135,0.0094427,0.0094427,0.0094427
63,7888.26,1.47237,1.14216,1.14766,0.49245,0.38019,0.39147,0.23436,1.40132,1.07511,1.13138,0.00942464,0.00942464,0.00942464
64,8012.61,1.47418,1.14806,1.15211,0.49684,0.37899,0.39293,0.23525,1.40208,1.07441,1.12922,0.00940631,0.00940631,0.00940631
65,8139.78,1.47522,1.1408,1.15329,0.50055,0.37551,0.3929,0.2367,1.39864,1.07048,1.12893,0.00938772,0.00938772,0.00938772
66,8260.47,1.47446,1.13881,1.14498,0.49555,0.38384,0.39468,0.23607,1.39801,1.06988,1.12704,0.00936886,0.00936886,0.00936886
67,8387.06,1.47177,1.13328,1.14462,0.49386,0.38437,0.39539,0.23611,1.39475,1.06762,1.12512,0.00934973,0.00934973,0.00934973
68,8515,1.46209,1.13325,1.14425,0.48628,0.38321,0.39516,0.23661,1.39564,1.0675,1.12475,0.00933033,0.00933033,0.00933033
69,8641.06,1.46668,1.12911,1.14057,0.49821,0.38183,0.3959,0.23686,1.39727,1.07101,1.12531,0.00931067,0.00931067,0.00931067
70,8766.71,1.4666,1.12675,1.14372,0.49827,0.38482,0.39708,0.23772,1.39402,1.06558,1.12399,0.00929075,0.00929075,0.00929075
71,8889.91,1.4707,1.12843,1.1461,0.50135,0.38569,0.3987,0.23784,1.39316,1.0626,1.12375,0.00927057,0.00927057,0.00927057
72,9017.82,1.46604,1.12784,1.14092,0.49,0.39248,0.39983,0.23856,1.39429,1.06097,1.12336,0.00925013,0.00925013,0.00925013
73,9139.63,1.46011,1.1188,1.13939,0.49796,0.38806,0.39964,0.24018,1.3945,1.06033,1.12272,0.00922942,0.00922942,0.00922942
74,9263.76,1.46353,1.11736,1.13968,0.49879,0.38624,0.40165,0.24098,1.39272,1.0612,1.12195,0.00920846,0.00920846,0.00920846
75,9386.7,1.44998,1.11434,1.14115,0.49605,0.39252,0.40308,0.24187,1.39323,1.05815,1.1225,0.00918725,0.00918725,0.00918725
76,9512.09,1.46152,1.11971,1.13932,0.50287,0.38497,0.4028,0.24053,1.39263,1.06043,1.1216,0.00916577,0.00916577,0.00916577
77,9636.59,1.45877,1.11182,1.13738,0.50184,0.38918,0.40306,0.24156,1.39185,1.05898,1.12055,0.00914405,0.00914405,0.00914405
78,9759.54,1.45647,1.10747,1.13633,0.49838,0.39307,0.40409,0.24277,1.38798,1.05301,1.11888,0.00912207,0.00912207,0.00912207
79,9880.4,1.45046,1.1089,1.13204,0.50089,0.39132,0.40557,0.24461,1.38576,1.05265,1.11734,0.00909984,0.00909984,0.00909984
80,10001.8,1.45045,1.10591,1.13505,0.50492,0.3924,0.40583,0.24329,1.38545,1.05291,1.11692,0.00907736,0.00907736,0.00907736
81,10127.2,1.44661,1.10143,1.13444,0.50674,0.39427,0.40824,0.24402,1.38319,1.04845,1.11619,0.00905463,0.00905463,0.00905463
82,10252.7,1.45191,1.10408,1.13009,0.50506,0.39686,0.4098,0.2451,1.38438,1.04931,1.11593,0.00903166,0.00903166,0.00903166
83,10377.5,1.4502,1.10288,1.13101,0.50031,0.39933,0.40953,0.24523,1.38652,1.0492,1.11706,0.00900844,0.00900844,0.00900844
84,10505,1.44971,1.09989,1.13225,0.50147,0.40193,0.41069,0.24651,1.38367,1.0485,1.11584,0.00898497,0.00898497,0.00898497
85,10630.6,1.44513,1.09857,1.12866,0.50567,0.39746,0.41094,0.24705,1.38394,1.04606,1.11583,0.00896127,0.00896127,0.00896127
86,10753.8,1.44689,1.10035,1.13467,0.50628,0.39673,0.41204,0.24757,1.38248,1.04444,1.11498,0.00893732,0.00893732,0.00893732
87,10878.4,1.44436,1.09243,1.12611,0.50543,0.39808,0.41124,0.24727,1.38365,1.04487,1.11555,0.00891313,0.00891313,0.00891313
88,11001,1.45152,1.10066,1.12843,0.50703,0.40415,0.41452,0.24805,1.38324,1.04412,1.11502,0.0088887,0.0088887,0.0088887
89,11126.3,1.44967,1.09891,1.13023,0.51449,0.39622,0.41438,0.2478,1.38219,1.04233,1.1139,0.00886404,0.00886404,0.00886404
90,11251.9,1.44366,1.08897,1.12843,0.51417,0.39751,0.41463,0.24921,1.38099,1.0392,1.11308,0.00883914,0.00883914,0.00883914
91,11379.7,1.45578,1.10143,1.12749,0.51935,0.39456,0.41369,0.24888,1.38055,1.03786,1.11272,0.00881401,0.00881401,0.00881401
92,11506.3,1.43886,1.08521,1.12287,0.52118,0.39173,0.4128,0.24925,1.37797,1.03735,1.11199,0.00878864,0.00878864,0.00878864
93,11637.4,1.45007,1.09227,1.12619,0.51875,0.39619,0.41501,0.25101,1.37762,1.03563,1.11162,0.00876305,0.00876305,0.00876305
94,11766.6,1.44716,1.08758,1.12435,0.51141,0.40274,0.41545,0.2511,1.37774,1.03533,1.11061,0.00873723,0.00873723,0.00873723
95,11890.1,1.4398,1.08294,1.12672,0.51205,0.40477,0.41626,0.25115,1.37773,1.03387,1.11054,0.00871117,0.00871117,0.00871117
96,12018.4,1.43385,1.08499,1.12572,0.51088,0.40332,0.41647,0.25147,1.37652,1.03295,1.10968,0.0086849,0.0086849,0.0086849
97,12144.4,1.43483,1.08116,1.12508,0.50874,0.40644,0.41708,0.25107,1.37518,1.03187,1.1098,0.00865839,0.00865839,0.00865839
98,12265.9,1.43332,1.07676,1.12345,0.50751,0.40737,0.41855,0.25234,1.37281,1.03087,1.10888,0.00863167,0.00863167,0.00863167
99,12388.3,1.43223,1.07967,1.12093,0.50713,0.40887,0.4191,0.25238,1.37269,1.03062,1.10828,0.00860473,0.00860473,0.00860473
100,12511.9,1.43027,1.0692,1.11764,0.51234,0.40516,0.41999,0.25366,1.37302,1.02948,1.10818,0.00857756,0.00857756,0.00857756
101,12635.3,1.4333,1.07218,1.11737,0.51,0.40967,0.4214,0.25431,1.37334,1.02791,1.10785,0.00855018,0.00855018,0.00855018
102,12764.4,1.43004,1.07418,1.12147,0.50955,0.40874,0.42196,0.25441,1.37278,1.02799,1.10765,0.00852258,0.00852258,0.00852258
103,12890.1,1.4318,1.07434,1.12023,0.51411,0.40925,0.42153,0.25422,1.37197,1.02791,1.10742,0.00849477,0.00849477,0.00849477
104,13019.8,1.42858,1.06775,1.11585,0.51377,0.40689,0.42189,0.25447,1.37202,1.02685,1.10714,0.00846674,0.00846674,0.00846674
105,13144.2,1.42413,1.06604,1.11779,0.51074,0.41037,0.42148,0.25417,1.37066,1.02538,1.10665,0.00843851,0.00843851,0.00843851
106,13272.1,1.43083,1.07029,1.11824,0.50859,0.41185,0.42219,0.25478,1.36961,1.02449,1.10568,0.00841006,0.00841006,0.00841006
107,13400.8,1.43175,1.06871,1.11693,0.51049,0.40943,0.4217,0.25412,1.37012,1.0243,1.10596,0.00838141,0.00838141,0.00838141
108,13525.4,1.42778,1.06528,1.11523,0.50917,0.40851,0.42132,0.25434,1.3704,1.02458,1.1061,0.00835255,0.00835255,0.00835255
109,13650.3,1.42555,1.06112,1.11946,0.5209,0.40279,0.42206,0.2545,1.37057,1.02442,1.10593,0.00832349,0.00832349,0.00832349
110,13773.6,1.42676,1.0637,1.11708,0.52272,0.40486,0.423,0.2551,1.37031,1.02355,1.10595,0.00829423,0.00829423,0.00829423
111,13901.7,1.42709,1.06226,1.11608,0.52916,0.40309,0.42382,0.25507,1.37008,1.02317,1.10567,0.00826477,0.00826477,0.00826477
