epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.917,4.18307,4.3954,3.17257,0.0098,0.01191,0.00463,0.00131,3.4421,3.54266,2.51165,0.00332921,0.00332921,0.0700371
2,248.516,2.91788,3.11301,2.04437,0.17135,0.11082,0.06149,0.02618,2.50173,2.45337,1.72497,0.00666244,0.00666244,0.040037
3,377.156,2.4296,2.52624,1.67246,0.23359,0.1217,0.0864,0.03995,2.15109,2.12348,1.53094,0.00999527,0.00999527,0.0100365
4,499.882,2.20561,2.23932,1.52308,0.22299,0.17171,0.10767,0.05274,2.04609,1.94484,1.43914,0.00999863,0.00999863,0.00999863
5,619.306,2.07561,2.07204,1.44061,0.17183,0.18308,0.12971,0.06666,1.91273,1.7972,1.37658,0.00999756,0.00999756,0.00999756
6,742.22,1.99977,1.95969,1.39079,0.19322,0.2007,0.14942,0.07976,1.81472,1.71568,1.33113,0.00999618,0.00999618,0.00999618
7,866.932,1.93056,1.87302,1.35258,0.20295,0.21109,0.16312,0.0883,1.78141,1.65441,1.30343,0.0099945,0.0099945,0.0099945
8,985.245,1.89038,1.80647,1.33356,0.21928,0.22545,0.18328,0.09775,1.76564,1.59995,1.29134,0.00999252,0.00999252,0.00999252
9,1103.99,1.86254,1.74778,1.30654,0.25443,0.23436,0.19519,0.10563,1.73216,1.55248,1.27507,0.00999023,0.00999023,0.00999023
10,1217.16,1.82133,1.70104,1.29145,0.26114,0.24684,0.20626,0.11337,1.70027,1.51723,1.25055,0.00998764,0.00998764,0.00998764
11,1332.02,1.81068,1.66327,1.28117,0.28829,0.2478,0.21371,0.11775,1.70573,1.50654,1.23496,0.00998474,0.00998474,0.00998474
12,1444.72,1.79821,1.64533,1.26737,0.28914,0.25159,0.2198,0.12169,1.67567,1.46751,1.22112,0.00998154,0.00998154,0.00998154
13,1563.55,1.77624,1.6085,1.25298,0.28926,0.26277,0.22459,0.1243,1.66251,1.46125,1.21624,0.00997803,0.00997803,0.00997803
14,1679.34,1.76958,1.59558,1.24339,0.30932,0.2672,0.23985,0.13393,1.64503,1.43404,1.20353,0.00997422,0.00997422,0.00997422
15,1794.3,1.75561,1.57321,1.23449,0.3204,0.26112,0.24052,0.13555,1.64529,1.45099,1.19597,0.00997011,0.00997011,0.00997011
16,1917.13,1.74472,1.55019,1.22216,0.33569,0.26166,0.25186,0.1397,1.64361,1.41884,1.19181,0.00996569,0.00996569,0.00996569
17,2033.05,1.73815,1.53665,1.21368,0.33848,0.26916,0.25213,0.14266,1.62209,1.41187,1.18012,0.00996097,0.00996097,0.00996097
18,2148.38,1.72549,1.51954,1.20439,0.33284,0.27733,0.25719,0.14528,1.62044,1.39347,1.16362,0.00995594,0.00995594,0.00995594
19,2269.02,1.72115,1.50803,1.19653,0.35276,0.28124,0.26515,0.1509,1.60814,1.37029,1.16568,0.00995062,0.00995062,0.00995062
20,2385.85,1.70744,1.48799,1.1902,0.35569,0.28851,0.27216,0.15553,1.60408,1.36851,1.15807,0.00994499,0.00994499,0.00994499
21,2504.69,1.69567,1.47225,1.18324,0.34091,0.28438,0.26839,0.15357,1.58893,1.35168,1.15056,0.00993906,0.00993906,0.00993906
22,2624.37,1.68532,1.45387,1.17924,0.3611,0.2785,0.27355,0.15647,1.58397,1.35014,1.15072,0.00993282,0.00993282,0.00993282
23,2734.89,1.67766,1.44223,1.17211,0.34831,0.29705,0.27187,0.15555,1.57972,1.33781,1.14647,0.00992629,0.00992629,0.00992629
24,2848.92,1.67544,1.43461,1.16747,0.3653,0.29788,0.28329,0.16299,1.56013,1.3136,1.13769,0.00991946,0.00991946,0.00991946
25,2974.28,1.67184,1.42581,1.16181,0.41362,0.29647,0.28538,0.16447,1.5637,1.32044,1.13604,0.00991232,0.00991232,0.00991232
26,3088.11,1.66503,1.42019,1.1625,0.37964,0.29741,0.28709,0.16651,1.56543,1.31189,1.13617,0.00990489,0.00990489,0.00990489
27,3201.27,1.66226,1.41137,1.15456,0.3769,0.29989,0.28975,0.16754,1.55298,1.30502,1.12801,0.00989715,0.00989715,0.00989715
28,3319.89,1.65491,1.39578,1.15086,0.39936,0.29579,0.29405,0.17076,1.5477,1.29038,1.12549,0.00988912,0.00988912,0.00988912
29,3432.61,1.65386,1.38987,1.14943,0.38251,0.3073,0.29464,0.17078,1.55255,1.29422,1.12207,0.00988079,0.00988079,0.00988079
30,3539.59,1.64548,1.37841,1.14179,0.40186,0.30481,0.29935,0.17346,1.54338,1.2821,1.11778,0.00987216,0.00987216,0.00987216
31,3657.92,1.63595,1.37446,1.14076,0.38531,0.30927,0.29885,0.17282,1.53483,1.27592,1.11676,0.00986323,0.00986323,0.00986323
32,3776.6,1.63366,1.36869,1.13717,0.37515,0.31184,0.29992,0.17497,1.52308,1.26955,1.11388,0.00985401,0.00985401,0.00985401
33,3891.38,1.62512,1.36225,1.13487,0.39013,0.31901,0.303,0.17529,1.52702,1.26066,1.11247,0.00984449,0.00984449,0.00984449
34,4005,1.63067,1.35946,1.13409,0.41393,0.30815,0.307,0.17764,1.51659,1.25655,1.10735,0.00983467,0.00983467,0.00983467
35,4122.52,1.61601,1.34228,1.12787,0.39476,0.32504,0.30936,0.17955,1.52083,1.24977,1.10609,0.00982456,0.00982456,0.00982456
36,4234.05,1.61222,1.33909,1.12722,0.3773,0.32875,0.31029,0.18157,1.51312,1.2469,1.1028,0.00981415,0.00981415,0.00981415
37,4346.88,1.61393,1.33467,1.12008,0.39115,0.32486,0.31501,0.18348,1.50865,1.24396,1.09939,0.00980345,0.00980345,0.00980345
38,4457.07,1.60628,1.33056,1.12062,0.40596,0.32337,0.31566,0.18458,1.50943,1.23771,1.09917,0.00979246,0.00979246,0.00979246
39,4571.42,1.60924,1.32277,1.11763,0.39974,0.33109,0.31751,0.18567,1.51165,1.23538,1.09622,0.00978118,0.00978118,0.00978118
40,4681.46,1.60103,1.31465,1.11731,0.39376,0.33838,0.32048,0.18772,1.50285,1.23098,1.09083,0.0097696,0.0097696,0.0097696
41,4796.36,1.60163,1.3148,1.11629,0.39593,0.33081,0.31875,0.1869,1.50237,1.22877,1.09105,0.00975773,0.00975773,0.00975773
42,4913.01,1.60371,1.31255,1.11204,0.40709,0.33734,0.32119,0.18794,1.49695,1.22596,1.09024,0.00974557,0.00974557,0.00974557
43,5021.5,1.59853,1.30771,1.10849,0.41421,0.33476,0.32258,0.18937,1.49386,1.21433,1.08512,0.00973312,0.00973312,0.00973312
