epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.2046,4.45037,4.12869,2.81499,0.32241,0.01931,0.01045,0.00283,3.52327,3.07611,1.88915,0.00332921,0.00332921,0.0700371
2,132.65,3.09469,2.76407,1.57741,0.07325,0.10132,0.05555,0.02262,2.62306,2.17957,1.32039,0.00666244,0.00666244,0.040037
3,196.312,2.539,2.20434,1.31741,0.20744,0.12731,0.08367,0.03781,2.25868,1.81941,1.19284,0.00999527,0.00999527,0.0100365
4,259.659,2.28879,1.95,1.21707,0.15007,0.15302,0.10647,0.05077,2.12005,1.66324,1.15832,0.00999863,0.00999863,0.00999863
5,322.797,2.1459,1.79827,1.16199,0.18406,0.19033,0.13359,0.0654,1.93922,1.53273,1.09531,0.00999756,0.00999756,0.00999756
6,384.682,2.06353,1.69388,1.12984,0.20483,0.19,0.14644,0.07471,1.82892,1.45721,1.06994,0.00999618,0.00999618,0.00999618
7,446.604,1.98673,1.61051,1.10697,0.23257,0.20821,0.16273,0.08394,1.79778,1.38518,1.04933,0.0099945,0.0099945,0.0099945
8,509.559,1.93365,1.55381,1.09574,0.24544,0.21104,0.17419,0.09097,1.77129,1.35738,1.04357,0.00999252,0.00999252,0.00999252
9,572.758,1.89757,1.49963,1.07563,0.25942,0.21537,0.18503,0.09682,1.74745,1.33478,1.03666,0.00999023,0.00999023,0.00999023
10,635.724,1.85368,1.46291,1.06841,0.28215,0.23247,0.19731,0.10382,1.69918,1.30149,1.02251,0.00998764,0.00998764,0.00998764
11,699.084,1.83648,1.43198,1.06165,0.28576,0.23815,0.20627,0.10883,1.70131,1.27832,1.01662,0.00998474,0.00998474,0.00998474
12,762.109,1.81998,1.41597,1.05382,0.30113,0.24258,0.21179,0.11422,1.65521,1.25559,1.00993,0.00998154,0.00998154,0.00998154
13,825.093,1.78716,1.37759,1.04732,0.28579,0.25102,0.21895,0.11763,1.64884,1.23742,1.00743,0.00997803,0.00997803,0.00997803
14,888.27,1.77847,1.36633,1.04116,0.32339,0.24893,0.22488,0.12202,1.63452,1.22055,1.00425,0.00997422,0.00997422,0.00997422
15,951.239,1.75463,1.34334,1.03813,0.31331,0.26287,0.23495,0.12721,1.62081,1.20759,0.99803,0.00997011,0.00997011,0.00997011
16,1012.39,1.74009,1.32236,1.03147,0.32054,0.26334,0.24081,0.12869,1.61073,1.19503,0.99383,0.00996569,0.00996569,0.00996569
17,1073.11,1.727,1.30766,1.02695,0.33337,0.26197,0.24166,0.131,1.58625,1.1809,0.99199,0.00996097,0.00996097,0.00996097
18,1133.49,1.71435,1.29511,1.02184,0.34119,0.27547,0.25062,0.13462,1.59216,1.17356,0.99135,0.00995594,0.00995594,0.00995594
19,1196.21,1.7147,1.29032,1.01874,0.33998,0.28313,0.25383,0.13916,1.57107,1.15217,0.98053,0.00995062,0.00995062,0.00995062
20,1259.07,1.69462,1.26872,1.0165,0.33272,0.27652,0.259,0.14252,1.55157,1.14183,0.97883,0.00994499,0.00994499,0.00994499
21,1322.11,1.68178,1.25515,1.01411,0.34971,0.28135,0.26165,0.14414,1.54832,1.13553,0.97854,0.00993906,0.00993906,0.00993906
22,1385.42,1.66642,1.24154,1.01031,0.3634,0.27821,0.26663,0.14658,1.54551,1.12897,0.97786,0.00993282,0.00993282,0.00993282
23,1448.75,1.65836,1.23324,1.00891,0.35953,0.28088,0.26347,0.14582,1.5386,1.11827,0.97467,0.00992629,0.00992629,0.00992629
24,1511.76,1.65453,1.22485,1.00564,0.35402,0.28265,0.26703,0.14782,1.53111,1.11659,0.97252,0.00991946,0.00991946,0.00991946
25,1575.12,1.6525,1.21591,1.00217,0.35855,0.28706,0.27093,0.14937,1.528,1.11716,0.97307,0.00991232,0.00991232,0.00991232
26,1637,1.64599,1.21164,1.00464,0.3594,0.29153,0.27323,0.15247,1.5159,1.09858,0.96843,0.00990489,0.00990489,0.00990489
27,1699.44,1.64622,1.2071,0.99977,0.3695,0.29536,0.27593,0.1523,1.51297,1.10575,0.96675,0.00989715,0.00989715,0.00989715
28,1762.57,1.63373,1.19288,0.99743,0.37709,0.29187,0.28297,0.15608,1.50405,1.08862,0.96562,0.00988912,0.00988912,0.00988912
29,1824.91,1.63278,1.18761,0.99602,0.37581,0.29806,0.28268,0.15787,1.49833,1.08558,0.96269,0.00988079,0.00988079,0.00988079
30,1886.03,1.62486,1.18222,0.99054,0.39,0.296,0.28459,0.15777,1.49946,1.07646,0.96383,0.00987216,0.00987216,0.00987216
31,1948.85,1.61354,1.17591,0.99145,0.38275,0.29464,0.2842,0.1587,1.49296,1.0785,0.95956,0.00986323,0.00986323,0.00986323
32,2011.47,1.60953,1.1717,0.99023,0.3715,0.30732,0.28885,0.16055,1.4853,1.06976,0.96072,0.00985401,0.00985401,0.00985401
33,2074.54,1.59818,1.16424,0.99067,0.37601,0.30408,0.28589,0.15902,1.48852,1.07098,0.95991,0.00984449,0.00984449,0.00984449
34,2136.5,1.60709,1.16625,0.99067,0.38434,0.29822,0.28766,0.16107,1.48247,1.06793,0.9581,0.00983467,0.00983467,0.00983467
35,2199.73,1.5929,1.15105,0.98723,0.38101,0.30761,0.29436,0.16371,1.47582,1.0576,0.95814,0.00982456,0.00982456,0.00982456
36,2261.77,1.58732,1.14918,0.98732,0.38734,0.30296,0.29326,0.1649,1.46926,1.05615,0.95724,0.00981415,0.00981415,0.00981415
37,2321.86,1.58897,1.14288,0.98171,0.39046,0.3097,0.29824,0.16789,1.46323,1.05181,0.95508,0.00980345,0.00980345,0.00980345
38,2383.6,1.58192,1.14147,0.98421,0.40205,0.31371,0.30081,0.168,1.45869,1.04585,0.95316,0.00979246,0.00979246,0.00979246
39,2444.52,1.58805,1.13788,0.98215,0.39675,0.3085,0.29961,0.16915,1.46184,1.04635,0.954,0.00978118,0.00978118,0.00978118
40,2506.83,1.57977,1.12851,0.98248,0.3904,0.31382,0.29703,0.16662,1.46077,1.04552,0.95437,0.0097696,0.0097696,0.0097696
41,2570.24,1.57436,1.12577,0.98324,0.39941,0.31852,0.30763,0.17111,1.45642,1.04196,0.95132,0.00975773,0.00975773,0.00975773
42,2633.27,1.57717,1.12708,0.97921,0.39408,0.31281,0.30386,0.17066,1.45244,1.03739,0.95261,0.00974557,0.00974557,0.00974557
43,2696.31,1.57767,1.1267,0.97884,0.39623,0.31725,0.30762,0.17354,1.44744,1.0339,0.95012,0.00973312,0.00973312,0.00973312
44,2758.21,1.55939,1.11647,0.97993,0.40058,0.3158,0.30849,0.1733,1.4494,1.03122,0.95072,0.00972039,0.00972039,0.00972039
45,2821.11,1.56001,1.11267,0.97608,0.41457,0.31582,0.31081,0.17415,1.44505,1.02474,0.9481,0.00970736,0.00970736,0.00970736
46,2884.02,1.5668,1.11088,0.97615,0.40663,0.31569,0.30903,0.17304,1.44534,1.02711,0.94875,0.00969405,0.00969405,0.00969405
47,2947.08,1.56104,1.11107,0.97706,0.40674,0.31652,0.31155,0.17571,1.44091,1.0253,0.94755,0.00968045,0.00968045,0.00968045
48,3007.58,1.55612,1.10418,0.97475,0.40187,0.32453,0.3139,0.17629,1.43788,1.0223,0.94744,0.00966656,0.00966656,0.00966656
49,3070.17,1.5526,1.09842,0.97253,0.42754,0.31704,0.31451,0.1775,1.43367,1.02007,0.94518,0.00965239,0.00965239,0.00965239
50,3133.03,1.5559,1.10595,0.97804,0.40592,0.32614,0.31731,0.17867,1.44181,1.02504,0.94521,0.00963794,0.00963794,0.00963794
51,3196.04,1.55702,1.11197,0.97356,0.41023,0.32345,0.31938,0.17996,1.4547,1.03563,0.9461,0.0096232,0.0096232,0.0096232
52,3259.04,1.56124,1.11067,0.97248,0.41608,0.3227,0.31864,0.17986,1.4518,1.03437,0.9407,0.00960819,0.00960819,0.00960819
53,3321.25,1.56603,1.11429,0.9703,0.41611,0.32755,0.31986,0.18037,1.45845,1.04204,0.94115,0.00959289,0.00959289,0.00959289
54,3384.16,1.56466,1.11455,0.9682,0.4225,0.32404,0.32115,0.18162,1.45907,1.04332,0.93921,0.00957731,0.00957731,0.00957731
55,3446.9,1.57139,1.12307,0.96651,0.41464,0.32676,0.32047,0.18162,1.45969,1.04486,0.93823,0.00956145,0.00956145,0.00956145
56,3509.94,1.57473,1.12476,0.96289,0.42178,0.32445,0.32396,0.18383,1.45468,1.042,0.93653,0.00954531,0.00954531,0.00954531
57,3572.9,1.57121,1.12199,0.9597,0.42633,0.32776,0.325,0.18573,1.45316,1.03784,0.93496,0.00952889,0.00952889,0.00952889
58,3636.28,1.55737,1.11284,0.96104,0.42194,0.32726,0.32526,0.18599,1.44946,1.03704,0.93356,0.0095122,0.0095122,0.0095122
59,3699.26,1.55343,1.11616,0.96139,0.43261,0.32232,0.32646,0.18649,1.44788,1.03737,0.93312,0.00949524,0.00949524,0.00949524
60,3762.65,1.56662,1.1162,0.95902,0.42476,0.33366,0.33077,0.18796,1.44527,1.02956,0.93183,0.009478,0.009478,0.009478
61,3825.79,1.55284,1.1038,0.95472,0.4426,0.3296,0.33096,0.18874,1.43994,1.02964,0.93109,0.00946048,0.00946048,0.00946048
62,3889.02,1.54931,1.10372,0.95439,0.42521,0.33595,0.32902,0.18682,1.44027,1.0294,0.93075,0.0094427,0.0094427,0.0094427
63,3951.79,1.54959,1.10016,0.9541,0.42737,0.33499,0.33306,0.18966,1.43652,1.02504,0.9302,0.00942464,0.00942464,0.00942464
64,4014.69,1.54596,1.10503,0.95625,0.42924,0.33564,0.33373,0.1908,1.43568,1.02367,0.93019,0.00940631,0.00940631,0.00940631
65,4077.69,1.54446,1.09596,0.95647,0.44577,0.33032,0.33359,0.19134,1.43078,1.02307,0.92868,0.00938772,0.00938772,0.00938772
66,4140.96,1.54451,1.09586,0.95087,0.42336,0.33525,0.33361,0.19069,1.43207,1.01941,0.92829,0.00936886,0.00936886,0.00936886
67,4202.51,1.54012,1.08956,0.95107,0.42968,0.33873,0.3356,0.19202,1.43021,1.01684,0.928,0.00934973,0.00934973,0.00934973
68,4263.06,1.52706,1.08886,0.95195,0.42757,0.33494,0.33482,0.19241,1.42872,1.01689,0.92711,0.00933033,0.00933033,0.00933033
69,4326,1.53713,1.0871,0.9489,0.4266,0.34069,0.33639,0.19272,1.42974,1.01631,0.9272,0.00931067,0.00931067,0.00931067
70,4389.24,1.53235,1.08423,0.95093,0.43396,0.33663,0.33663,0.19195,1.42642,1.01567,0.92694,0.00929075,0.00929075,0.00929075
71,4452.42,1.53958,1.08591,0.95249,0.42711,0.34394,0.33713,0.19234,1.42484,1.0125,0.92657,0.00927057,0.00927057,0.00927057
72,4514.63,1.53615,1.08567,0.94865,0.42652,0.34002,0.33658,0.19355,1.42425,1.01038,0.92609,0.00925013,0.00925013,0.00925013
73,4576.85,1.52434,1.07333,0.9473,0.42924,0.34184,0.33787,0.19354,1.42206,1.00873,0.92587,0.00922942,0.00922942,0.00922942
74,4639.94,1.53208,1.07447,0.94882,0.43882,0.33603,0.3367,0.19329,1.41943,1.00771,0.92533,0.00920846,0.00920846,0.00920846
75,4702.88,1.51424,1.07093,0.9507,0.42941,0.3412,0.33883,0.19477,1.41726,1.00652,0.92441,0.00918725,0.00918725,0.00918725
76,4765.96,1.52466,1.07485,0.94858,0.4335,0.3446,0.34101,0.19631,1.41704,1.00575,0.92482,0.00916577,0.00916577,0.00916577
77,4829.42,1.52211,1.06835,0.94771,0.43453,0.34268,0.34052,0.19593,1.41554,1.00403,0.92359,0.00914405,0.00914405,0.00914405
78,4892.65,1.52363,1.06675,0.94598,0.4286,0.3494,0.34353,0.19757,1.41266,1.00212,0.92367,0.00912207,0.00912207,0.00912207
79,4956.17,1.51365,1.06293,0.94403,0.44011,0.34618,0.34462,0.19854,1.41116,1.0005,0.92291,0.00909984,0.00909984,0.00909984
80,5019.39,1.51385,1.06146,0.94559,0.44379,0.34498,0.34384,0.19805,1.41192,1.00018,0.92332,0.00907736,0.00907736,0.00907736
81,5082.48,1.50838,1.05877,0.94661,0.44602,0.34481,0.34496,0.19825,1.40969,0.99834,0.92228,0.00905463,0.00905463,0.00905463
82,5145.58,1.5168,1.06227,0.9433,0.43689,0.34877,0.34284,0.19751,1.40821,0.99871,0.92198,0.00903166,0.00903166,0.00903166
83,5208.76,1.51366,1.06135,0.94431,0.4516,0.34596,0.34657,0.19932,1.4076,0.99827,0.92295,0.00900844,0.00900844,0.00900844
84,5269.42,1.51209,1.05671,0.94444,0.44523,0.34997,0.34769,0.20135,1.406,0.99494,0.92183,0.00898497,0.00898497,0.00898497
85,5332.53,1.50979,1.05491,0.94219,0.44053,0.34993,0.34727,0.20071,1.40464,0.9936,0.92121,0.00896127,0.00896127,0.00896127
86,5394.65,1.5084,1.05662,0.94547,0.44853,0.34465,0.34651,0.20041,1.40512,0.9938,0.92134,0.00893732,0.00893732,0.00893732
87,5457.9,1.51047,1.05439,0.94089,0.45639,0.34221,0.34789,0.20032,1.40397,0.99401,0.92159,0.00891313,0.00891313,0.00891313
88,5521.65,1.51621,1.05929,0.94329,0.45262,0.34363,0.34751,0.20065,1.40516,0.99314,0.92215,0.0088887,0.0088887,0.0088887
89,5584.03,1.51341,1.05798,0.94281,0.44637,0.34637,0.34754,0.20029,1.40272,0.99146,0.92143,0.00886404,0.00886404,0.00886404
90,5647.55,1.50663,1.04743,0.94165,0.45504,0.34707,0.34864,0.20112,1.40041,0.99107,0.92049,0.00883914,0.00883914,0.00883914
