epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.6982,4.49431,4.06051,2.75276,0.01553,0.03382,0.01074,0.00331,3.5284,3.13381,1.85895,0.00332921,0.00332921,0.0700371
2,128.937,3.09923,2.78131,1.56586,0.06197,0.1129,0.05685,0.02304,2.59423,2.1535,1.32876,0.00666244,0.00666244,0.040037
3,188.317,2.59261,2.26187,1.3304,0.20013,0.1232,0.07828,0.03376,2.29547,1.90994,1.20614,0.00999527,0.00999527,0.0100365
4,245.515,2.33865,2.00438,1.23213,0.23454,0.1501,0.10404,0.04917,2.10184,1.71817,1.15635,0.00999863,0.00999863,0.00999863
5,303.906,2.18759,1.85071,1.17528,0.16402,0.17318,0.11918,0.05817,1.98777,1.59439,1.10741,0.00999756,0.00999756,0.00999756
6,361.327,2.10869,1.75006,1.14387,0.18729,0.18525,0.13432,0.06909,1.88956,1.50293,1.08029,0.00999618,0.00999618,0.00999618
7,420.25,2.03117,1.67294,1.12127,0.23065,0.19887,0.15584,0.07962,1.85106,1.43451,1.07389,0.0099945,0.0099945,0.0099945
8,478.171,1.9786,1.6097,1.10763,0.21933,0.20012,0.1586,0.08105,1.82653,1.40655,1.06082,0.00999252,0.00999252,0.00999252
9,536.091,1.94408,1.56118,1.08803,0.24275,0.21453,0.16757,0.08661,1.80104,1.37874,1.05468,0.00999023,0.00999023,0.00999023
10,594.787,1.89799,1.51919,1.08074,0.26061,0.21827,0.17956,0.09335,1.7489,1.34672,1.03894,0.00998764,0.00998764,0.00998764
11,652.283,1.87977,1.49048,1.07396,0.25129,0.22323,0.18647,0.09857,1.7486,1.33058,1.03298,0.00998474,0.00998474,0.00998474
12,711.732,1.86464,1.47406,1.06693,0.25812,0.23,0.1944,0.10228,1.70189,1.30282,1.02123,0.00998154,0.00998154,0.00998154
13,770.121,1.83343,1.43334,1.05993,0.28064,0.23258,0.20265,0.10791,1.6904,1.27132,1.0191,0.00997803,0.00997803,0.00997803
14,830.105,1.82155,1.41838,1.05148,0.2843,0.24484,0.21342,0.11305,1.66976,1.25938,1.01387,0.00997422,0.00997422,0.00997422
15,887.721,1.7979,1.39755,1.04961,0.28839,0.24968,0.21646,0.11593,1.66521,1.24846,1.00875,0.00997011,0.00997011,0.00997011
16,944.905,1.78337,1.37309,1.04231,0.2978,0.24728,0.21825,0.11681,1.64612,1.24821,1.004,0.00996569,0.00996569,0.00996569
17,1003.8,1.76934,1.3591,1.03758,0.29612,0.24006,0.21437,0.11571,1.64033,1.23204,1.00346,0.00996097,0.00996097,0.00996097
18,1061.07,1.75772,1.34539,1.03306,0.30432,0.26318,0.22922,0.12201,1.62366,1.20079,0.99845,0.00995594,0.00995594,0.00995594
19,1116.22,1.75825,1.34038,1.02843,0.31891,0.26584,0.23257,0.12503,1.62844,1.20347,0.9992,0.00995062,0.00995062,0.00995062
20,1175.21,1.73492,1.31687,1.0262,0.33145,0.25603,0.23856,0.12917,1.6068,1.19286,0.9925,0.00994499,0.00994499,0.00994499
21,1232.85,1.72428,1.30636,1.02406,0.3261,0.26351,0.24326,0.13223,1.59574,1.17966,0.9873,0.00993906,0.00993906,0.00993906
22,1289.55,1.71003,1.28946,1.01949,0.33921,0.26282,0.24576,0.13337,1.59034,1.17626,0.98802,0.00993282,0.00993282,0.00993282
23,1346.13,1.70638,1.28563,1.01824,0.33051,0.27053,0.2453,0.13444,1.59718,1.1759,0.98363,0.00992629,0.00992629,0.00992629
24,1404.49,1.71121,1.28554,1.01507,0.33494,0.27442,0.25214,0.13661,1.59724,1.18095,0.98017,0.00991946,0.00991946,0.00991946
25,1461.23,1.71543,1.28569,1.0105,0.33794,0.2796,0.25164,0.13799,1.59149,1.18674,0.9769,0.00991232,0.00991232,0.00991232
26,1520.58,1.71488,1.28795,1.01272,0.34469,0.27029,0.24906,0.13645,1.60481,1.18812,0.97868,0.00990489,0.00990489,0.00990489
27,1577.46,1.71988,1.28786,1.00487,0.34216,0.27954,0.25617,0.13962,1.58715,1.17297,0.97122,0.00989715,0.00989715,0.00989715
28,1635.61,1.70796,1.27614,1.00028,0.34465,0.27824,0.258,0.14123,1.58491,1.17976,0.96917,0.00988912,0.00988912,0.00988912
29,1694.11,1.70719,1.27297,0.99818,0.34744,0.28228,0.25912,0.14208,1.58158,1.176,0.96676,0.00988079,0.00988079,0.00988079
30,1751.87,1.7001,1.26959,0.99139,0.35484,0.28702,0.26604,0.14726,1.56911,1.15944,0.96436,0.00987216,0.00987216,0.00987216
31,1808.22,1.69,1.26409,0.99106,0.36005,0.28471,0.26647,0.14802,1.56947,1.15944,0.96195,0.00986323,0.00986323,0.00986323
32,1866.42,1.68374,1.25995,0.99022,0.34833,0.29153,0.26704,0.1473,1.56582,1.15469,0.96052,0.00985401,0.00985401,0.00985401
33,1924.86,1.67294,1.25092,0.98869,0.35077,0.29038,0.26806,0.1478,1.56283,1.15156,0.95963,0.00984449,0.00984449,0.00984449
34,1983.01,1.68094,1.25109,0.98846,0.37847,0.2867,0.27456,0.15243,1.5548,1.13989,0.95781,0.00983467,0.00983467,0.00983467
35,2038.82,1.6662,1.23832,0.985,0.36861,0.28966,0.27265,0.15016,1.55135,1.13852,0.95624,0.00982456,0.00982456,0.00982456
36,2096.45,1.66072,1.23408,0.98394,0.36129,0.29255,0.27511,0.15347,1.53997,1.13569,0.95358,0.00981415,0.00981415,0.00981415
37,2154.28,1.66138,1.22757,0.9784,0.36485,0.29846,0.28113,0.15677,1.5389,1.12812,0.9515,0.00980345,0.00980345,0.00980345
38,2211.49,1.65377,1.22772,0.97998,0.37497,0.29562,0.28248,0.15716,1.53539,1.12451,0.95215,0.00979246,0.00979246,0.00979246
39,2268.61,1.65992,1.22316,0.97834,0.36471,0.30077,0.28195,0.15732,1.53548,1.12547,0.95093,0.00978118,0.00978118,0.00978118
40,2326.45,1.65078,1.21351,0.9774,0.38195,0.29897,0.28575,0.15972,1.52923,1.11724,0.94979,0.0097696,0.0097696,0.0097696
41,2383.67,1.64517,1.21004,0.97792,0.37201,0.29526,0.2832,0.15776,1.52457,1.11845,0.94768,0.00975773,0.00975773,0.00975773
42,2442.58,1.65092,1.21101,0.97484,0.37955,0.3013,0.28513,0.15861,1.52384,1.11772,0.94663,0.00974557,0.00974557,0.00974557
43,2499.85,1.64947,1.21098,0.9739,0.38055,0.30434,0.28915,0.16233,1.5155,1.10959,0.94597,0.00973312,0.00973312,0.00973312
44,2556.75,1.63072,1.19943,0.97546,0.36985,0.30487,0.28577,0.16072,1.51234,1.11239,0.94439,0.00972039,0.00972039,0.00972039
45,2614.64,1.62932,1.1957,0.9705,0.39025,0.29979,0.29107,0.16257,1.50854,1.10188,0.94242,0.00970736,0.00970736,0.00970736
46,2672.52,1.63666,1.19482,0.97051,0.37048,0.30645,0.29017,0.16213,1.50844,1.10533,0.94361,0.00969405,0.00969405,0.00969405
47,2730.36,1.63037,1.19442,0.97217,0.38586,0.30493,0.29226,0.16392,1.5078,1.10001,0.9431,0.00968045,0.00968045,0.00968045
48,2788.97,1.62487,1.18759,0.9694,0.38382,0.30697,0.29287,0.16402,1.50243,1.09249,0.94162,0.00966656,0.00966656,0.00966656
49,2846.7,1.624,1.18096,0.96737,0.38703,0.31351,0.29627,0.16667,1.49816,1.08959,0.93901,0.00965239,0.00965239,0.00965239
50,2903.89,1.62019,1.18324,0.97187,0.39646,0.30727,0.29479,0.16694,1.4991,1.08297,0.93896,0.00963794,0.00963794,0.00963794
51,2960.95,1.61217,1.17742,0.96826,0.39009,0.30967,0.3011,0.16857,1.49898,1.08539,0.93996,0.0096232,0.0096232,0.0096232
52,3019.64,1.61096,1.17177,0.9677,0.39264,0.30849,0.29895,0.16857,1.495,1.08246,0.93791,0.00960819,0.00960819,0.00960819
53,3077.4,1.61026,1.16947,0.96689,0.38991,0.31315,0.29646,0.16728,1.49316,1.08636,0.93834,0.00959289,0.00959289,0.00959289
54,3135.81,1.60332,1.16549,0.96568,0.40068,0.31051,0.30184,0.1703,1.489,1.07834,0.93707,0.00957731,0.00957731,0.00957731
55,3193.54,1.60752,1.16705,0.96536,0.40112,0.30524,0.29882,0.16892,1.49048,1.07831,0.93613,0.00956145,0.00956145,0.00956145
56,3253.06,1.61286,1.16793,0.96346,0.40071,0.30967,0.30406,0.17234,1.4852,1.07412,0.93714,0.00954531,0.00954531,0.00954531
57,3310.46,1.60889,1.16327,0.9607,0.39089,0.317,0.30515,0.17235,1.48471,1.07181,0.93669,0.00952889,0.00952889,0.00952889
58,3366.76,1.5952,1.15511,0.96315,0.40026,0.31015,0.306,0.17431,1.48381,1.07197,0.93567,0.0095122,0.0095122,0.0095122
59,3423.57,1.59026,1.15442,0.96397,0.39699,0.31217,0.30503,0.17247,1.4816,1.06928,0.93484,0.00949524,0.00949524,0.00949524
60,3480.5,1.60315,1.15497,0.96187,0.40696,0.31381,0.30806,0.17445,1.47704,1.06662,0.9338,0.009478,0.009478,0.009478
61,3538.96,1.59076,1.14451,0.95839,0.39851,0.31919,0.30853,0.17537,1.47807,1.06308,0.934,0.00946048,0.00946048,0.00946048
62,3598.05,1.58835,1.14195,0.95843,0.39195,0.31885,0.30711,0.17451,1.47445,1.06262,0.93338,0.0094427,0.0094427,0.0094427
63,3656.78,1.58772,1.14122,0.95811,0.39671,0.31868,0.30989,0.17607,1.47371,1.05992,0.93275,0.00942464,0.00942464,0.00942464
64,3714.33,1.58377,1.14419,0.9607,0.40413,0.31996,0.31062,0.17693,1.47281,1.05705,0.93263,0.00940631,0.00940631,0.00940631
65,3771.61,1.58385,1.13759,0.96115,0.40344,0.31966,0.31035,0.17723,1.46784,1.05375,0.9319,0.00938772,0.00938772,0.00938772
66,3828.63,1.58434,1.13684,0.95578,0.39741,0.3201,0.30983,0.17623,1.46424,1.05587,0.93212,0.00936886,0.00936886,0.00936886
67,3885.4,1.58044,1.12967,0.95654,0.40076,0.322,0.31246,0.17872,1.46444,1.05387,0.9314,0.00934973,0.00934973,0.00934973
