epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.133,1.45174,1.70624,0.00247,0.44062,0.36654,0.36066,0.20731,1.30111,1.50976,0.00304,0.00332921,0.00332921,0.0700371
2,217.651,1.37315,1.51534,0.00224,0.46844,0.37617,0.37099,0.2166,1.27848,1.49704,0.00296,0.00666244,0.00666244,0.040037
3,319.716,1.3699,1.50946,0.00222,0.46617,0.3741,0.37589,0.21884,1.28254,1.49508,0.00294,0.00999527,0.00999527,0.0100365
4,422.404,1.36928,1.51568,0.00223,0.46275,0.36698,0.36698,0.21126,1.29104,1.4975,0.00299,0.00999863,0.00999863,0.00999863
5,524.882,1.36481,1.51303,0.00222,0.4793,0.36279,0.37274,0.21773,1.29683,1.48487,0.00296,0.00999756,0.00999756,0.00999756
6,627.47,1.37006,1.51749,0.00221,0.46304,0.35922,0.36288,0.2116,1.28999,1.51895,0.00294,0.00999618,0.00999618,0.00999618
7,730.919,1.35829,1.5032,0.00219,0.47373,0.37238,0.37997,0.22255,1.27329,1.47404,0.00293,0.0099945,0.0099945,0.0099945
8,833.162,1.35479,1.50957,0.00222,0.48202,0.36716,0.38182,0.22439,1.27093,1.46895,0.00292,0.00999252,0.00999252,0.00999252
9,936.649,1.36056,1.50688,0.00219,0.48096,0.36094,0.36637,0.21448,1.28058,1.49156,0.00292,0.00999023,0.00999023,0.00999023
10,1038.28,1.35074,1.50247,0.0022,0.47679,0.37687,0.38145,0.22544,1.26876,1.46821,0.0029,0.00998764,0.00998764,0.00998764
11,1140.86,1.35409,1.50387,0.00221,0.47553,0.372,0.37724,0.22294,1.27003,1.49213,0.00289,0.00998474,0.00998474,0.00998474
12,1243.7,1.35432,1.51118,0.0022,0.48515,0.37367,0.38287,0.22611,1.26845,1.47346,0.0029,0.00998154,0.00998154,0.00998154
13,1346.92,1.35357,1.49968,0.00219,0.4826,0.37744,0.38511,0.22541,1.27393,1.46561,0.0029,0.00997803,0.00997803,0.00997803
14,1449.63,1.35324,1.51015,0.00219,0.48565,0.37742,0.38486,0.22727,1.26023,1.46907,0.00288,0.00997422,0.00997422,0.00997422
15,1552.61,1.34697,1.49856,0.00219,0.48234,0.37008,0.3795,0.22038,1.27837,1.47873,0.00291,0.00997011,0.00997011,0.00997011
16,1655.22,1.34676,1.502,0.00219,0.47378,0.38553,0.38751,0.22759,1.26661,1.44808,0.00289,0.00996569,0.00996569,0.00996569
17,1758.57,1.35401,1.50345,0.00219,0.48644,0.36447,0.37953,0.22554,1.26508,1.46978,0.00289,0.00996097,0.00996097,0.00996097
18,1860.94,1.35034,1.5022,0.00218,0.48128,0.3803,0.39002,0.23082,1.25535,1.45664,0.00285,0.00995594,0.00995594,0.00995594
19,1963.78,1.35326,1.50556,0.00216,0.4875,0.38042,0.38637,0.2275,1.26107,1.45779,0.00288,0.00995062,0.00995062,0.00995062
20,2066.44,1.34958,1.50104,0.00217,0.48029,0.38841,0.38664,0.22909,1.25575,1.4567,0.00286,0.00994499,0.00994499,0.00994499
21,2168.96,1.34988,1.50453,0.00217,0.48615,0.38177,0.38783,0.22874,1.25569,1.45198,0.00285,0.00993906,0.00993906,0.00993906
22,2271.02,1.34299,1.49602,0.00218,0.5103,0.38436,0.39652,0.23314,1.2618,1.45352,0.00287,0.00993282,0.00993282,0.00993282
23,2373.02,1.33849,1.49136,0.00217,0.47696,0.38,0.38731,0.23,1.26377,1.45669,0.00286,0.00992629,0.00992629,0.00992629
24,2475.66,1.3477,1.49749,0.00217,0.49462,0.38156,0.39388,0.23447,1.25446,1.45596,0.00285,0.00991946,0.00991946,0.00991946
25,2578.44,1.35178,1.50263,0.00215,0.48315,0.38447,0.39036,0.23152,1.2622,1.45816,0.00286,0.00991232,0.00991232,0.00991232
26,2681.23,1.34513,1.49101,0.00218,0.47825,0.38535,0.39221,0.23201,1.26025,1.45076,0.00286,0.00990489,0.00990489,0.00990489
