epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.721,2.89598,3.95953,2.96877,0.23942,0.0312,0.02985,0.0106,2.30459,2.94636,2.13599,0.00332921,0.00332921,0.0700371
2,243.614,1.92262,2.73201,1.88754,0.27273,0.10851,0.0672,0.02979,1.77607,2.31219,1.70707,0.00666244,0.00666244,0.040037
3,366.238,1.6824,2.37523,1.65111,0.29382,0.1307,0.09089,0.04416,1.56262,2.03169,1.52818,0.00999527,0.00999527,0.0100365
4,482.271,1.55153,2.14209,1.52668,0.2859,0.15714,0.12594,0.06467,1.39165,1.83799,1.43286,0.00999863,0.00999863,0.00999863
5,597.578,1.46128,1.97484,1.45063,0.17595,0.19603,0.13749,0.07153,1.38366,1.74335,1.40001,0.00999756,0.00999756,0.00999756
6,711.723,1.4091,1.8542,1.40511,0.22204,0.2032,0.16714,0.08858,1.29978,1.61386,1.35002,0.00999618,0.00999618,0.00999618
7,829.179,1.35885,1.76255,1.37026,0.24464,0.21372,0.18085,0.09773,1.26567,1.54564,1.32546,0.0099945,0.0099945,0.0099945
8,942.783,1.32623,1.69848,1.35189,0.27411,0.23036,0.20121,0.10707,1.26323,1.51333,1.32006,0.00999252,0.00999252,0.00999252
9,1059.74,1.30566,1.63904,1.3287,0.27461,0.24773,0.21486,0.11756,1.22452,1.46446,1.30246,0.00999023,0.00999023,0.00999023
10,1167.12,1.27623,1.59186,1.31502,0.31284,0.25716,0.23101,0.12764,1.19307,1.41422,1.27644,0.00998764,0.00998764,0.00998764
11,1280.12,1.26627,1.55681,1.30636,0.31521,0.26489,0.23987,0.13269,1.1929,1.3944,1.27465,0.00998474,0.00998474,0.00998474
12,1392.39,1.25272,1.53219,1.29312,0.32986,0.26461,0.25106,0.13947,1.16563,1.36588,1.25757,0.00998154,0.00998154,0.00998154
13,1505.04,1.2323,1.48722,1.28117,0.3398,0.2698,0.25732,0.1437,1.15921,1.34794,1.25127,0.00997803,0.00997803,0.00997803
14,1618.1,1.22574,1.47275,1.27359,0.35063,0.28296,0.26472,0.14978,1.14017,1.32106,1.23856,0.00997422,0.00997422,0.00997422
15,1729.09,1.21418,1.45063,1.26935,0.35453,0.28648,0.27586,0.15672,1.14069,1.31935,1.2383,0.00997011,0.00997011,0.00997011
16,1847.39,1.20198,1.42258,1.25955,0.367,0.2869,0.2777,0.15756,1.13141,1.30075,1.22992,0.00996569,0.00996569,0.00996569
17,1961.3,1.19537,1.40769,1.25255,0.36535,0.30127,0.28384,0.16106,1.12391,1.27759,1.23003,0.00996097,0.00996097,0.00996097
18,2070.62,1.18519,1.38958,1.24705,0.37505,0.29666,0.29426,0.16795,1.10959,1.25577,1.2178,0.00995594,0.00995594,0.00995594
19,2188.44,1.18282,1.37769,1.23973,0.39491,0.30871,0.297,0.16799,1.10974,1.247,1.21674,0.00995062,0.00995062,0.00995062
20,2300.26,1.17095,1.35723,1.23535,0.39572,0.31507,0.30241,0.17324,1.09642,1.23753,1.20579,0.00994499,0.00994499,0.00994499
21,2415.63,1.1641,1.34253,1.2311,0.38982,0.31518,0.30713,0.17554,1.08975,1.22538,1.20278,0.00993906,0.00993906,0.00993906
22,2530.41,1.15398,1.32639,1.22706,0.40132,0.32228,0.31324,0.17823,1.09328,1.21938,1.20941,0.00993282,0.00993282,0.00993282
23,2642.68,1.14865,1.31347,1.22192,0.39794,0.32737,0.31657,0.18066,1.08457,1.2067,1.19726,0.00992629,0.00992629,0.00992629
24,2755.42,1.14718,1.30848,1.21961,0.41005,0.32499,0.31837,0.18286,1.07674,1.19881,1.19261,0.00991946,0.00991946,0.00991946
25,2873.84,1.14298,1.29528,1.2132,0.41183,0.33807,0.32449,0.18569,1.07646,1.19362,1.1921,0.00991232,0.00991232,0.00991232
26,2985.87,1.13785,1.28885,1.21562,0.42411,0.33142,0.32736,0.19067,1.06997,1.18352,1.18656,0.00990489,0.00990489,0.00990489
27,3100.57,1.13669,1.28336,1.209,0.42346,0.33931,0.3299,0.18995,1.0707,1.18137,1.188,0.00989715,0.00989715,0.00989715
28,3215.74,1.12908,1.26422,1.20573,0.43891,0.33957,0.33414,0.19226,1.06371,1.17083,1.18116,0.00988912,0.00988912,0.00988912
29,3327.43,1.12886,1.25995,1.2047,0.4344,0.34128,0.33784,0.19449,1.05908,1.16368,1.17781,0.00988079,0.00988079,0.00988079
30,3436.1,1.12347,1.24781,1.19693,0.4335,0.34738,0.34128,0.19657,1.05378,1.15631,1.17567,0.00987216,0.00987216,0.00987216
31,3548.23,1.11565,1.24514,1.19675,0.443,0.34476,0.34341,0.19893,1.05541,1.15759,1.17371,0.00986323,0.00986323,0.00986323
32,3666.76,1.11348,1.23847,1.19451,0.42738,0.35526,0.3474,0.20216,1.05179,1.15011,1.1724,0.00985401,0.00985401,0.00985401
