epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.195,2.54788,4.77656,0.00664,0.44269,0.02938,0.01638,0.00516,2.14517,3.57106,0.00667,0.00332921,0.00332921,0.0700371
2,336.271,2.08536,3.58309,0.00451,0.04064,0.1203,0.04578,0.01895,1.83802,2.85131,0.00517,0.00666244,0.00666244,0.040037
3,512.17,1.91489,3.19687,0.0039,0.3688,0.10909,0.07337,0.0356,1.72608,2.72695,0.00468,0.00999527,0.00999527,0.0100365
4,674.104,1.81997,2.95568,0.00357,0.35149,0.12253,0.08413,0.03967,1.63762,2.48179,0.00438,0.00999863,0.00999863,0.00999863
5,832.748,1.75182,2.77652,0.00336,0.23644,0.15562,0.10123,0.05085,1.61171,2.38972,0.00416,0.00999756,0.00999756,0.00999756
6,993.178,1.71117,2.63442,0.0032,0.29161,0.15911,0.12147,0.06159,1.56043,2.25417,0.00395,0.00999618,0.00999618,0.00999618
7,1161.41,1.67006,2.52393,0.00309,0.30735,0.18014,0.13852,0.07296,1.5291,2.16521,0.00386,0.0099945,0.0099945,0.0099945
8,1323.04,1.64019,2.43289,0.00304,0.21713,0.19604,0.15431,0.08107,1.49611,2.10102,0.00379,0.00999252,0.00999252,0.00999252
9,1490.52,1.62759,2.35207,0.00294,0.2253,0.2145,0.16698,0.08891,1.47534,2.04092,0.00366,0.00999023,0.00999023,0.00999023
10,1642.64,1.60104,2.29375,0.00291,0.26335,0.22244,0.18335,0.09978,1.45116,1.9902,0.00358,0.00998764,0.00998764,0.00998764
11,1810.3,1.58658,2.23578,0.00286,0.2706,0.21846,0.1915,0.10334,1.45294,1.96323,0.00352,0.00998474,0.00998474,0.00998474
12,1965.75,1.57793,2.19889,0.00282,0.28748,0.23713,0.20764,0.1125,1.43376,1.91672,0.00348,0.00998154,0.00998154,0.00998154
13,2122.66,1.56614,2.14603,0.00278,0.28233,0.23547,0.20707,0.11487,1.42457,1.90783,0.00344,0.00997803,0.00997803,0.00997803
14,2286.68,1.55591,2.12088,0.00275,0.30914,0.24994,0.22004,0.12246,1.41705,1.88509,0.00341,0.00997422,0.00997422,0.00997422
15,2445.36,1.54066,2.07721,0.00273,0.32273,0.25716,0.2327,0.12968,1.40175,1.8551,0.00336,0.00997011,0.00997011,0.00997011
16,2616.23,1.53467,2.03963,0.0027,0.32507,0.27011,0.2432,0.13549,1.38784,1.80302,0.00333,0.00996569,0.00996569,0.00996569
17,2771.57,1.53252,2.0153,0.00267,0.3452,0.25801,0.24511,0.13684,1.39009,1.79838,0.00333,0.00996097,0.00996097,0.00996097
18,2927.64,1.51936,1.98432,0.00264,0.35211,0.26878,0.2551,0.14261,1.37937,1.76901,0.00327,0.00995594,0.00995594,0.00995594
19,3095.04,1.51994,1.96648,0.00261,0.34658,0.28105,0.25834,0.1445,1.37831,1.76216,0.00328,0.00995062,0.00995062,0.00995062
