epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.929,2.54835,4.77805,0.00665,0.57434,0.01926,0.01495,0.00451,2.27205,3.82232,0.00708,0.00332921,0.00332921,0.0700371
2,322.89,2.08358,3.58897,0.00452,0.04138,0.12128,0.04581,0.01944,1.87249,2.97572,0.0053,0.00666244,0.00666244,0.040037
3,503.314,1.91242,3.20691,0.00391,0.15786,0.13116,0.05998,0.0264,1.75351,2.70065,0.00476,0.00999527,0.00999527,0.0100365
4,665.92,1.81162,2.95648,0.00356,0.25789,0.16352,0.0814,0.03785,1.63843,2.50694,0.00438,0.00999863,0.00999863,0.00999863
5,830.452,1.75232,2.77063,0.00336,0.23077,0.15427,0.10243,0.05141,1.58617,2.34983,0.0041,0.00999756,0.00999756,0.00999756
6,995.237,1.71645,2.62059,0.00321,0.21089,0.16312,0.12354,0.0641,1.54887,2.2229,0.00394,0.00999618,0.00999618,0.00999618
7,1162.77,1.67648,2.51269,0.0031,0.20289,0.16983,0.13997,0.07278,1.54338,2.1736,0.00387,0.0099945,0.0099945,0.0099945
8,1320.14,1.64443,2.42898,0.00305,0.2155,0.19691,0.16038,0.08421,1.50309,2.08914,0.00376,0.00999252,0.00999252,0.00999252
9,1482.72,1.63442,2.35247,0.00296,0.25529,0.20641,0.17562,0.09319,1.4815,2.03512,0.00366,0.00999023,0.00999023,0.00999023
10,1637.37,1.6048,2.29116,0.00292,0.3124,0.21084,0.186,0.10105,1.46335,1.99692,0.00357,0.00998764,0.00998764,0.00998764
11,1801.64,1.59077,2.23429,0.00287,0.2663,0.22473,0.189,0.10098,1.46699,1.97536,0.00357,0.00998474,0.00998474,0.00998474
12,1952.1,1.58214,2.19741,0.00283,0.28452,0.23478,0.20563,0.11279,1.43542,1.92992,0.00348,0.00998154,0.00998154,0.00998154
13,2106.8,1.5703,2.14304,0.00279,0.29359,0.24166,0.21399,0.11799,1.42028,1.88378,0.00344,0.00997803,0.00997803,0.00997803
14,2266.85,1.5607,2.12241,0.00276,0.31333,0.25043,0.22715,0.12628,1.41088,1.86914,0.0034,0.00997422,0.00997422,0.00997422
15,2422.21,1.54623,2.07875,0.00274,0.2955,0.25798,0.23005,0.12884,1.40824,1.83468,0.00338,0.00997011,0.00997011,0.00997011
16,2591.43,1.53801,2.04935,0.00271,0.33508,0.26548,0.24488,0.13705,1.38767,1.81847,0.00332,0.00996569,0.00996569,0.00996569
17,2746.16,1.53664,2.02378,0.00268,0.335,0.26773,0.24843,0.13867,1.40449,1.79629,0.00335,0.00996097,0.00996097,0.00996097
18,2900.59,1.52545,2.00035,0.00265,0.37694,0.26298,0.25303,0.14148,1.39413,1.7971,0.0033,0.00995594,0.00995594,0.00995594
19,3067.69,1.52485,1.98023,0.00262,0.33971,0.27308,0.25549,0.14328,1.39194,1.78626,0.0033,0.00995062,0.00995062,0.00995062
20,3225.54,1.51389,1.95562,0.00261,0.3597,0.2814,0.27033,0.15277,1.37453,1.73803,0.00327,0.00994499,0.00994499,0.00994499
21,3385.11,1.50932,1.93318,0.0026,0.35899,0.27744,0.26619,0.15055,1.37069,1.73615,0.00323,0.00993906,0.00993906,0.00993906
22,3545.66,1.49737,1.90889,0.00259,0.36425,0.29183,0.27691,0.15699,1.35709,1.70573,0.00321,0.00993282,0.00993282,0.00993282
23,3703.03,1.49083,1.89178,0.00257,0.37476,0.29254,0.2785,0.15684,1.36455,1.71462,0.00322,0.00992629,0.00992629,0.00992629
24,3860.64,1.48983,1.8793,0.00255,0.39796,0.29749,0.28397,0.16121,1.35372,1.69537,0.00318,0.00991946,0.00991946,0.00991946
25,4039.18,1.49208,1.86891,0.00252,0.3964,0.29512,0.2878,0.16465,1.34472,1.69954,0.00317,0.00991232,0.00991232,0.00991232
26,4200.05,1.47924,1.85375,0.00254,0.40241,0.30271,0.29663,0.17052,1.34521,1.67221,0.00317,0.00990489,0.00990489,0.00990489
27,4361.79,1.48006,1.84391,0.00251,0.40042,0.30757,0.29995,0.17131,1.33896,1.66101,0.00314,0.00989715,0.00989715,0.00989715
28,4523.28,1.47479,1.82407,0.0025,0.41723,0.30343,0.30605,0.17721,1.3371,1.64852,0.00313,0.00988912,0.00988912,0.00988912
29,4683.48,1.47243,1.8128,0.00249,0.39751,0.3128,0.30267,0.17336,1.33324,1.65092,0.00313,0.00988079,0.00988079,0.00988079
30,4834.93,1.4691,1.80371,0.00247,0.41208,0.32101,0.30934,0.17607,1.3316,1.62434,0.00312,0.00987216,0.00987216,0.00987216
31,5004.54,1.45997,1.79732,0.00247,0.40714,0.3104,0.30958,0.17798,1.33638,1.65065,0.00311,0.00986323,0.00986323,0.00986323
32,5174.08,1.46187,1.79489,0.00246,0.41161,0.32173,0.31573,0.18282,1.32357,1.62529,0.00308,0.00985401,0.00985401,0.00985401
33,5336.4,1.4545,1.77813,0.00246,0.41244,0.31606,0.31355,0.18078,1.32676,1.61895,0.00308,0.00984449,0.00984449,0.00984449
34,5499.87,1.45898,1.77375,0.00246,0.42603,0.32043,0.31953,0.18454,1.31624,1.60698,0.00305,0.00983467,0.00983467,0.00983467
35,5664.97,1.44514,1.75207,0.00244,0.42556,0.33244,0.32704,0.1874,1.31839,1.5887,0.00306,0.00982456,0.00982456,0.00982456
36,5819.05,1.43866,1.7474,0.00244,0.43201,0.33613,0.32762,0.19045,1.31043,1.58973,0.00304,0.00981415,0.00981415,0.00981415
37,5974.42,1.44993,1.74004,0.00241,0.42804,0.33659,0.32819,0.18972,1.31521,1.58436,0.00304,0.00980345,0.00980345,0.00980345
38,6124.48,1.43808,1.73514,0.00241,0.43025,0.33366,0.33163,0.19281,1.31261,1.58415,0.00304,0.00979246,0.00979246,0.00979246
39,6290.89,1.44206,1.72486,0.00241,0.43206,0.34089,0.33516,0.19449,1.30968,1.56569,0.00303,0.00978118,0.00978118,0.00978118
40,6446.41,1.43096,1.70962,0.00241,0.43455,0.34123,0.33606,0.1945,1.30394,1.56901,0.00301,0.0097696,0.0097696,0.0097696
41,6605.74,1.43444,1.71882,0.00242,0.43095,0.34276,0.33327,0.19326,1.30562,1.57647,0.00301,0.00975773,0.00975773,0.00975773
42,6769.56,1.43705,1.71202,0.00239,0.43269,0.34134,0.33988,0.19783,1.30026,1.56891,0.00299,0.00974557,0.00974557,0.00974557
43,6916.71,1.43076,1.70174,0.00237,0.44003,0.34694,0.33909,0.19857,1.29968,1.56114,0.00299,0.00973312,0.00973312,0.00973312
44,7076.64,1.42494,1.69843,0.00239,0.44351,0.34534,0.34254,0.19893,1.30161,1.55923,0.003,0.00972039,0.00972039,0.00972039
45,7236.1,1.42272,1.68159,0.00236,0.45913,0.34279,0.34726,0.20199,1.29767,1.54823,0.00299,0.00970736,0.00970736,0.00970736
46,7392.1,1.42145,1.67801,0.00236,0.44241,0.34491,0.34479,0.20073,1.29878,1.54716,0.003,0.00969405,0.00969405,0.00969405
47,7552.52,1.42336,1.68331,0.00237,0.44425,0.34873,0.34768,0.20334,1.2928,1.5376,0.00297,0.00968045,0.00968045,0.00968045
48,7707.09,1.421,1.67379,0.00235,0.44913,0.34959,0.34992,0.20614,1.28986,1.52882,0.00296,0.00966656,0.00966656,0.00966656
49,7864.74,1.41637,1.66712,0.00233,0.45524,0.35122,0.35449,0.20815,1.28727,1.52675,0.00296,0.00965239,0.00965239,0.00965239
50,8023.05,1.41025,1.66079,0.00236,0.45154,0.35963,0.356,0.20834,1.29013,1.52351,0.00295,0.00963794,0.00963794,0.00963794
51,8182.57,1.40951,1.65789,0.00235,0.44589,0.35502,0.35749,0.20885,1.28467,1.52032,0.00295,0.0096232,0.0096232,0.0096232
52,8343.85,1.40692,1.65566,0.00234,0.44599,0.3597,0.35561,0.208,1.28396,1.52393,0.00293,0.00960819,0.00960819,0.00960819
53,8512.86,1.40959,1.65012,0.00234,0.45273,0.35333,0.35749,0.21016,1.27938,1.51811,0.00293,0.00959289,0.00959289,0.00959289
54,8670.56,1.40293,1.64246,0.00233,0.464,0.35397,0.3627,0.21279,1.2785,1.51403,0.00293,0.00957731,0.00957731,0.00957731
55,8838.22,1.40338,1.64243,0.00232,0.45351,0.35412,0.35838,0.21129,1.27881,1.51223,0.00292,0.00956145,0.00956145,0.00956145
56,9014.85,1.40997,1.63302,0.00231,0.45833,0.35952,0.36559,0.21509,1.27177,1.50188,0.0029,0.00954531,0.00954531,0.00954531
57,9171.07,1.40448,1.63734,0.00229,0.46985,0.36378,0.36818,0.21652,1.27177,1.50321,0.00291,0.00952889,0.00952889,0.00952889
58,9335.26,1.39502,1.61892,0.00231,0.46703,0.36267,0.36878,0.21732,1.27148,1.49961,0.00291,0.0095122,0.0095122,0.0095122
59,9491.05,1.38929,1.61995,0.00232,0.47079,0.36594,0.36903,0.21718,1.27324,1.49562,0.0029,0.00949524,0.00949524,0.00949524
60,9656.97,1.40101,1.62128,0.0023,0.46675,0.36626,0.37185,0.21859,1.26511,1.49509,0.00288,0.009478,0.009478,0.009478
61,9827.11,1.39245,1.61106,0.00228,0.46681,0.36656,0.36946,0.21709,1.27003,1.4917,0.0029,0.00946048,0.00946048,0.00946048
62,10005.1,1.39188,1.60985,0.00229,0.4656,0.36725,0.37018,0.21768,1.26764,1.49475,0.00288,0.0094427,0.0094427,0.0094427
63,10161.9,1.38656,1.60021,0.00228,0.45411,0.37579,0.37339,0.21937,1.26714,1.48896,0.00289,0.00942464,0.00942464,0.00942464
64,10317.9,1.38596,1.60694,0.00229,0.47001,0.3714,0.37515,0.22058,1.2643,1.48665,0.00288,0.00940631,0.00940631,0.00940631
65,10477.1,1.38581,1.60026,0.00229,0.47475,0.36973,0.37737,0.22265,1.26005,1.48492,0.00286,0.00938772,0.00938772,0.00938772
66,10626.2,1.3876,1.59853,0.00226,0.4667,0.37549,0.37926,0.22295,1.26262,1.47695,0.00286,0.00936886,0.00936886,0.00936886
67,10786.8,1.38652,1.59124,0.00226,0.46562,0.37558,0.37823,0.22306,1.26077,1.47823,0.00287,0.00934973,0.00934973,0.00934973
68,10962,1.37583,1.585,0.00227,0.46322,0.37998,0.38024,0.22508,1.25551,1.47876,0.00286,0.00933033,0.00933033,0.00933033
69,11132,1.38042,1.58467,0.00225,0.47803,0.37733,0.38175,0.22473,1.25758,1.47432,0.00286,0.00931067,0.00931067,0.00931067
70,11301,1.3777,1.57854,0.00227,0.47508,0.37962,0.38214,0.22492,1.26029,1.47554,0.00286,0.00929075,0.00929075,0.00929075
71,11462,1.3824,1.57923,0.00226,0.47218,0.37791,0.38303,0.22635,1.25651,1.47037,0.00286,0.00927057,0.00927057,0.00927057
72,11629.2,1.38008,1.57952,0.00225,0.47277,0.37909,0.38229,0.22527,1.26021,1.46801,0.00286,0.00925013,0.00925013,0.00925013
73,11782.1,1.37312,1.57094,0.00225,0.48161,0.37937,0.38397,0.2275,1.25725,1.47082,0.00286,0.00922942,0.00922942,0.00922942
74,11939.5,1.37331,1.57076,0.00225,0.47429,0.37894,0.3857,0.2281,1.25088,1.46532,0.00283,0.00920846,0.00920846,0.00920846
75,12095.1,1.36412,1.55723,0.00226,0.47627,0.38034,0.38335,0.228,1.2518,1.46391,0.00284,0.00918725,0.00918725,0.00918725
76,12264,1.37539,1.56574,0.00225,0.46665,0.38467,0.38462,0.22808,1.25029,1.46334,0.00283,0.00916577,0.00916577,0.00916577
77,12424.3,1.37083,1.55759,0.00224,0.47231,0.38829,0.38773,0.23007,1.24985,1.45889,0.00283,0.00914405,0.00914405,0.00914405
78,12584.7,1.36905,1.55331,0.00223,0.4695,0.38501,0.38847,0.23038,1.2512,1.45684,0.00283,0.00912207,0.00912207,0.00912207
79,12735.9,1.36395,1.55008,0.00222,0.47312,0.38775,0.38812,0.22954,1.2519,1.46076,0.00283,0.00909984,0.00909984,0.00909984
80,12894.1,1.36385,1.55502,0.00224,0.47853,0.38486,0.391,0.23192,1.25027,1.45349,0.00283,0.00907736,0.00907736,0.00907736
81,13060.6,1.36226,1.54871,0.00224,0.47587,0.38676,0.39287,0.23298,1.248,1.45085,0.00282,0.00905463,0.00905463,0.00905463
82,13226,1.36936,1.54807,0.00221,0.47449,0.39445,0.39396,0.23402,1.24795,1.44743,0.00282,0.00903166,0.00903166,0.00903166
83,13394.3,1.36462,1.5467,0.00222,0.47092,0.38803,0.39241,0.23364,1.24455,1.45047,0.00281,0.00900844,0.00900844,0.00900844
84,13563.9,1.36132,1.53921,0.00222,0.47707,0.38847,0.39501,0.23579,1.24369,1.44469,0.00281,0.00898497,0.00898497,0.00898497
85,13728.2,1.36183,1.54453,0.00221,0.4965,0.383,0.39569,0.2357,1.24211,1.44434,0.00281,0.00896127,0.00896127,0.00896127
86,13886.5,1.35592,1.53814,0.00223,0.4846,0.3886,0.39714,0.23653,1.24341,1.44223,0.00281,0.00893732,0.00893732,0.00893732
87,14050.2,1.36282,1.53237,0.0022,0.48432,0.38988,0.39742,0.23627,1.24469,1.44092,0.00281,0.00891313,0.00891313,0.00891313
88,14215.8,1.36729,1.5422,0.00221,0.47862,0.39583,0.40058,0.23755,1.24339,1.43802,0.00281,0.0088887,0.0088887,0.0088887
89,14379.2,1.36466,1.54177,0.00221,0.47866,0.39817,0.40109,0.23769,1.24342,1.43665,0.00281,0.00886404,0.00886404,0.00886404
90,14546.8,1.35832,1.52919,0.00221,0.49028,0.39608,0.40212,0.23882,1.24178,1.4333,0.0028,0.00883914,0.00883914,0.00883914
91,14712.6,1.3707,1.544,0.0022,0.48544,0.39537,0.40013,0.23764,1.24099,1.43357,0.0028,0.00881401,0.00881401,0.00881401
92,14877.7,1.35867,1.52523,0.00218,0.48658,0.39651,0.40172,0.23926,1.23968,1.43236,0.00279,0.00878864,0.00878864,0.00878864
93,15043.3,1.36245,1.53246,0.00219,0.49582,0.39263,0.40402,0.24057,1.23745,1.43102,0.00279,0.00876305,0.00876305,0.00876305
94,15213.7,1.36458,1.52512,0.00218,0.4863,0.39335,0.4031,0.24017,1.23778,1.43263,0.00279,0.00873723,0.00873723,0.00873723
95,15381.1,1.35633,1.52064,0.0022,0.48783,0.39391,0.40383,0.23973,1.23727,1.4293,0.00279,0.00871117,0.00871117,0.00871117
96,15549.4,1.35027,1.5184,0.0022,0.49138,0.39394,0.4031,0.2397,1.23684,1.42659,0.00278,0.0086849,0.0086849,0.0086849
97,15712.1,1.35228,1.51846,0.0022,0.49379,0.39384,0.40387,0.24068,1.23632,1.42345,0.00278,0.00865839,0.00865839,0.00865839
98,15866.1,1.35201,1.51655,0.00219,0.48704,0.39631,0.40481,0.24096,1.23694,1.42517,0.00278,0.00863167,0.00863167,0.00863167
