epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.6,2.55219,4.79336,0.00666,0.33665,0.03277,0.01637,0.00518,2.15494,3.55617,0.00668,0.00332921,0.00332921,0.0700371
2,335.358,2.08853,3.59678,0.00452,0.03948,0.11293,0.04403,0.01719,1.91916,3.00644,0.00542,0.00666244,0.00666244,0.040037
3,507.818,1.91501,3.19445,0.00391,0.19192,0.1305,0.06248,0.02845,1.78277,2.72423,0.00484,0.00999527,0.00999527,0.0100365
4,669.291,1.81365,2.95243,0.00356,0.28689,0.13491,0.08711,0.03967,1.64365,2.52773,0.00438,0.00999863,0.00999863,0.00999863
5,825.914,1.74825,2.77646,0.00335,0.20946,0.1463,0.08378,0.03954,1.7691,2.56916,0.0046,0.00999756,0.00999756,0.00999756
6,983.013,1.71005,2.63061,0.0032,0.29229,0.16464,0.1255,0.06511,1.53606,2.24646,0.00393,0.00999618,0.00999618,0.00999618
7,1148.81,1.66978,2.52025,0.00309,0.2021,0.18557,0.14587,0.07585,1.5116,2.13107,0.00382,0.0099945,0.0099945,0.0099945
8,1304.29,1.63728,2.43891,0.00303,0.24355,0.18906,0.15696,0.08291,1.47977,2.09483,0.00369,0.00999252,0.00999252,0.00999252
9,1464.63,1.62696,2.3631,0.00294,0.24057,0.20332,0.16554,0.08767,1.47926,2.05743,0.00367,0.00999023,0.00999023,0.00999023
10,1616.54,1.59757,2.29944,0.0029,0.24511,0.21276,0.18288,0.09811,1.45022,1.97711,0.00356,0.00998764,0.00998764,0.00998764
11,1784.49,1.58224,2.24378,0.00285,0.26661,0.22789,0.19341,0.10337,1.46291,1.95707,0.00354,0.00998474,0.00998474,0.00998474
12,1937.41,1.57347,2.20791,0.00281,0.30291,0.23499,0.20845,0.11511,1.43278,1.92077,0.00346,0.00998154,0.00998154,0.00998154
13,2094.98,1.56258,2.15506,0.00277,0.28574,0.24479,0.212,0.11721,1.42681,1.90433,0.00344,0.00997803,0.00997803,0.00997803
14,2256.72,1.55443,2.13247,0.00274,0.30106,0.24911,0.22342,0.12508,1.40549,1.87277,0.00339,0.00997422,0.00997422,0.00997422
15,2415.72,1.53695,2.09645,0.00272,0.31363,0.25069,0.23008,0.12901,1.40107,1.83817,0.00336,0.00997011,0.00997011,0.00997011
16,2587.16,1.52968,2.06254,0.00269,0.32113,0.26927,0.24322,0.13436,1.38701,1.81426,0.0033,0.00996569,0.00996569,0.00996569
17,2744.53,1.53181,2.03888,0.00267,0.3422,0.25774,0.24509,0.13813,1.38529,1.80303,0.00333,0.00996097,0.00996097,0.00996097
18,2902.4,1.51749,2.01285,0.00264,0.34593,0.26913,0.2517,0.14154,1.38203,1.79453,0.00328,0.00995594,0.00995594,0.00995594
19,3067.02,1.51795,1.99415,0.00261,0.35582,0.28055,0.26438,0.14825,1.36293,1.7653,0.00324,0.00995062,0.00995062,0.00995062
