epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.105,3.15577,4.46229,3.49221,0.01114,0.01428,0.00428,0.00117,2.68167,3.72547,2.79253,0.00332921,0.00332921,0.0700371
2,248.829,2.15812,3.0785,2.1727,0.2769,0.10281,0.06272,0.02817,1.78451,2.3868,1.75306,0.00666244,0.00666244,0.040037
3,376.231,1.71723,2.44512,1.70063,0.40802,0.11775,0.09001,0.04387,1.52772,2.03122,1.57163,0.00999527,0.00999527,0.0100365
4,498.473,1.55487,2.18078,1.5554,0.33921,0.15938,0.11594,0.05777,1.41892,1.85187,1.4712,0.00999863,0.00999863,0.00999863
5,619.472,1.46195,2.01037,1.47096,0.27126,0.19265,0.1369,0.07172,1.34069,1.76291,1.40427,0.00999756,0.00999756,0.00999756
6,739.743,1.41063,1.88534,1.4244,0.20493,0.21313,0.16662,0.08906,1.28287,1.61108,1.35998,0.00999618,0.00999618,0.00999618
7,862.205,1.36312,1.79081,1.39026,0.25151,0.2134,0.17673,0.09501,1.26283,1.55546,1.34186,0.0099945,0.0099945,0.0099945
8,981.587,1.33074,1.71996,1.37016,0.24486,0.23595,0.19292,0.10527,1.23827,1.51551,1.31729,0.00999252,0.00999252,0.00999252
9,1102.77,1.30852,1.65767,1.34363,0.2542,0.24618,0.20402,0.11131,1.219,1.47706,1.31061,0.00999023,0.00999023,0.00999023
10,1219.5,1.28057,1.61446,1.33207,0.28332,0.24974,0.21811,0.121,1.20051,1.44951,1.28928,0.00998764,0.00998764,0.00998764
11,1338.65,1.26983,1.57349,1.32139,0.29432,0.26671,0.231,0.12838,1.18654,1.40331,1.27667,0.00998474,0.00998474,0.00998474
12,1453.73,1.25744,1.55268,1.30789,0.31912,0.26584,0.2411,0.13294,1.16838,1.37568,1.26648,0.00998154,0.00998154,0.00998154
13,1570.65,1.23668,1.51033,1.2942,0.30557,0.27229,0.24308,0.13505,1.16625,1.35835,1.26279,0.00997803,0.00997803,0.00997803
14,1689.3,1.23252,1.49508,1.28735,0.32063,0.26578,0.25273,0.14189,1.14173,1.33793,1.25049,0.00997422,0.00997422,0.00997422
15,1808.03,1.21943,1.47048,1.2829,0.34629,0.28483,0.26097,0.14763,1.14093,1.32585,1.24571,0.00997011,0.00997011,0.00997011
16,1932.05,1.20874,1.44517,1.27236,0.34244,0.29243,0.26932,0.15159,1.12954,1.3082,1.23662,0.00996569,0.00996569,0.00996569
17,2050.75,1.20389,1.42725,1.26629,0.35406,0.28986,0.27434,0.15528,1.12118,1.28175,1.23434,0.00996097,0.00996097,0.00996097
18,2166.17,1.19243,1.40825,1.25942,0.3744,0.29398,0.28224,0.15954,1.11918,1.26988,1.22925,0.00995594,0.00995594,0.00995594
19,2288.31,1.19062,1.3976,1.25187,0.39069,0.29816,0.28773,0.16325,1.11146,1.26527,1.22474,0.00995062,0.00995062,0.00995062
20,2404.63,1.17954,1.37721,1.24754,0.39645,0.30397,0.2921,0.16659,1.10131,1.2497,1.21517,0.00994499,0.00994499,0.00994499
