epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.534,3.06972,4.18454,3.1779,0.13382,0.03536,0.02145,0.00732,2.22161,2.96343,2.25462,0.00332921,0.00332921,0.0700371
2,237.293,2.00735,2.88578,1.97588,0.48364,0.0892,0.06441,0.02908,1.73662,2.34779,1.71787,0.00666244,0.00666244,0.040037
3,359.038,1.71575,2.48406,1.69289,0.22649,0.1147,0.08902,0.04348,1.52676,2.05494,1.54679,0.00999527,0.00999527,0.0100365
4,474.645,1.56484,2.23371,1.55113,0.23181,0.1621,0.10924,0.05422,1.427,1.88145,1.4697,0.00999863,0.00999863,0.00999863
5,587.655,1.47237,2.05882,1.46817,0.25737,0.1685,0.12331,0.06368,1.39364,1.82731,1.41645,0.00999756,0.00999756,0.00999756
6,699.137,1.41858,1.92966,1.42001,0.20807,0.19197,0.15113,0.07903,1.30506,1.666,1.36019,0.00999618,0.00999618,0.00999618
7,815.191,1.3696,1.82641,1.3845,0.21073,0.20776,0.16669,0.08774,1.27826,1.59265,1.34008,0.0099945,0.0099945,0.0099945
8,926.038,1.33774,1.75496,1.36489,0.22503,0.22135,0.18066,0.09684,1.25333,1.56149,1.32092,0.00999252,0.00999252,0.00999252
9,1037.06,1.31598,1.69104,1.33904,0.25422,0.24247,0.19288,0.10347,1.22904,1.51474,1.30259,0.00999023,0.00999023,0.00999023
10,1144.93,1.28532,1.63931,1.32492,0.26966,0.24117,0.20635,0.11291,1.20941,1.47821,1.29293,0.00998764,0.00998764,0.00998764
11,1254.63,1.27573,1.60226,1.31617,0.30343,0.25605,0.23002,0.1259,1.18761,1.41362,1.27283,0.00998474,0.00998474,0.00998474
12,1361.4,1.26148,1.57789,1.30176,0.31093,0.26053,0.23938,0.13163,1.18147,1.39698,1.26868,0.00998154,0.00998154,0.00998154
13,1471.93,1.24121,1.53353,1.28954,0.33093,0.26548,0.24787,0.13767,1.16508,1.37396,1.25837,0.00997803,0.00997803,0.00997803
14,1581.43,1.23566,1.51552,1.28218,0.44007,0.26648,0.25886,0.14643,1.14998,1.34712,1.24684,0.00997422,0.00997422,0.00997422
15,1692.11,1.22159,1.48765,1.27705,0.34943,0.27997,0.26452,0.14888,1.14692,1.33415,1.24296,0.00997011,0.00997011,0.00997011
16,1810.24,1.21123,1.46339,1.26738,0.34478,0.29381,0.27256,0.15322,1.12988,1.31153,1.23339,0.00996569,0.00996569,0.00996569
17,1920.84,1.20389,1.44385,1.26032,0.35468,0.2905,0.27354,0.15584,1.12365,1.30195,1.2314,0.00996097,0.00996097,0.00996097
18,2031.79,1.1927,1.4249,1.25385,0.3653,0.29948,0.28762,0.1632,1.11544,1.27532,1.22198,0.00995594,0.00995594,0.00995594
19,2145.57,1.18832,1.41378,1.245,0.37741,0.30283,0.29042,0.1645,1.11456,1.27016,1.21886,0.00995062,0.00995062,0.00995062
20,2256.59,1.17891,1.3893,1.24271,0.39873,0.31187,0.29985,0.17071,1.09818,1.2494,1.20958,0.00994499,0.00994499,0.00994499
21,2367.78,1.1713,1.37144,1.23774,0.38116,0.3119,0.29929,0.1718,1.09949,1.24734,1.21386,0.00993906,0.00993906,0.00993906
22,2479.29,1.16081,1.35673,1.23423,0.37965,0.32195,0.30298,0.17264,1.09352,1.23631,1.20825,0.00993282,0.00993282,0.00993282
23,2582.43,1.15479,1.34531,1.22883,0.38013,0.31799,0.30668,0.17596,1.09561,1.22713,1.20445,0.00992629,0.00992629,0.00992629
24,2687.77,1.15345,1.33865,1.22692,0.38498,0.3246,0.31359,0.18125,1.07754,1.21772,1.19562,0.00991946,0.00991946,0.00991946
25,2801.05,1.15167,1.3236,1.22023,0.40762,0.32668,0.31842,0.18279,1.07472,1.20708,1.19387,0.00991232,0.00991232,0.00991232
