epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.9752,4.21007,3.83657,2.45183,0.14121,0.03578,0.02324,0.00799,3.19846,2.74344,1.59005,0.00332921,0.00332921,0.0700371
2,116.439,2.92215,2.63372,1.47938,0.06474,0.09374,0.05525,0.02305,2.62342,2.13738,1.30466,0.00666244,0.00666244,0.040037
3,167.661,2.51779,2.2165,1.3059,0.20893,0.12632,0.08059,0.03628,2.24986,1.86974,1.19728,0.00999527,0.00999527,0.0100365
4,218.521,2.29124,1.98218,1.217,0.24336,0.14599,0.10395,0.04946,2.07645,1.65249,1.1553,0.00999863,0.00999863,0.00999863
5,269.132,2.15389,1.83229,1.16489,0.13488,0.16263,0.10986,0.05285,2.01103,1.60575,1.10514,0.00999756,0.00999756,0.00999756
6,319.177,2.07293,1.73412,1.13336,0.19844,0.19481,0.14038,0.07189,1.8492,1.47935,1.07224,0.00999618,0.00999618,0.00999618
7,370.315,1.99754,1.65584,1.11068,0.23249,0.19734,0.1576,0.08223,1.82357,1.42254,1.05966,0.0099945,0.0099945,0.0099945
8,419.69,1.94117,1.59015,1.0967,0.23602,0.21562,0.16726,0.08699,1.79217,1.39926,1.04787,0.00999252,0.00999252,0.00999252
9,471.141,1.90844,1.53591,1.07685,0.25116,0.22583,0.18531,0.09701,1.74828,1.34344,1.04217,0.00999023,0.00999023,0.00999023
10,521.376,1.86467,1.49441,1.06958,0.26573,0.22392,0.18751,0.0993,1.70843,1.31882,1.02706,0.00998764,0.00998764,0.00998764
11,571.414,1.84561,1.46182,1.06233,0.26667,0.22877,0.19567,0.10518,1.69794,1.29862,1.01874,0.00998474,0.00998474,0.00998474
12,621.71,1.82845,1.44847,1.05362,0.26537,0.23267,0.19894,0.105,1.67513,1.27871,1.01328,0.00998154,0.00998154,0.00998154
13,673.464,1.79978,1.40676,1.04688,0.29728,0.23831,0.20725,0.11102,1.66949,1.25689,1.00725,0.00997803,0.00997803,0.00997803
14,723.91,1.79225,1.39421,1.04044,0.30611,0.24646,0.21687,0.11835,1.63911,1.23384,1.00246,0.00997422,0.00997422,0.00997422
15,774.176,1.76821,1.37332,1.03804,0.30136,0.25302,0.22331,0.12116,1.63574,1.22999,0.99912,0.00997011,0.00997011,0.00997011
16,825.087,1.75418,1.34951,1.03133,0.31143,0.25989,0.23089,0.12543,1.62042,1.21854,0.9951,0.00996569,0.00996569,0.00996569
17,875.525,1.74096,1.33644,1.0254,0.32555,0.25455,0.23161,0.12549,1.60283,1.20036,0.99193,0.00996097,0.00996097,0.00996097
18,925.383,1.72691,1.32256,1.02176,0.31857,0.25865,0.23583,0.12916,1.60425,1.1887,0.99166,0.00995594,0.00995594,0.00995594
19,975.486,1.72794,1.31617,1.01731,0.34949,0.27015,0.24187,0.13244,1.59749,1.17857,0.9912,0.00995062,0.00995062,0.00995062
