epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.2713,3.07746,3.81876,2.5894,0.24753,0.05134,0.02418,0.00787,2.32062,2.75337,1.70544,0.00332921,0.00332921,0.0700371
2,116.888,2.12913,2.64072,1.51565,0.16819,0.08021,0.05099,0.02039,1.97305,2.20768,1.33245,0.00666244,0.00666244,0.040037
3,168.603,1.84157,2.22467,1.32712,0.20865,0.11588,0.08009,0.03573,1.61439,1.846,1.21279,0.00999527,0.00999527,0.0100365
4,216.439,1.68345,1.99595,1.23674,0.25389,0.14511,0.1101,0.0513,1.50634,1.70032,1.16581,0.00999863,0.00999863,0.00999863
5,268.963,1.58365,1.85151,1.18492,0.17166,0.15945,0.11977,0.05763,1.46159,1.58676,1.1134,0.00999756,0.00999756,0.00999756
6,320.491,1.52242,1.74963,1.15059,0.182,0.19279,0.13611,0.06797,1.37204,1.50703,1.08904,0.00999618,0.00999618,0.00999618
7,372.262,1.46945,1.66828,1.12895,0.2221,0.19641,0.15536,0.07977,1.32402,1.42432,1.0694,0.0099945,0.0099945,0.0099945
8,422.168,1.43042,1.60985,1.1154,0.23582,0.19749,0.16311,0.08368,1.31549,1.39555,1.06319,0.00999252,0.00999252,0.00999252
9,474.586,1.40684,1.55893,1.09486,0.22987,0.20882,0.17022,0.08668,1.29125,1.37552,1.05505,0.00999023,0.00999023,0.00999023
10,527.429,1.37516,1.51901,1.08856,0.25788,0.21284,0.1823,0.09372,1.25972,1.34281,1.04251,0.00998764,0.00998764,0.00998764
11,579.547,1.36254,1.48989,1.08177,0.27855,0.22278,0.19456,0.10301,1.25635,1.30949,1.03159,0.00998474,0.00998474,0.00998474
12,631.605,1.35237,1.47901,1.0736,0.27453,0.22361,0.19926,0.10474,1.22763,1.29307,1.02389,0.00998154,0.00998154,0.00998154
13,683.289,1.32892,1.4393,1.06642,0.28996,0.23545,0.20203,0.10471,1.22578,1.27341,1.02235,0.00997803,0.00997803,0.00997803
14,735.696,1.32437,1.42478,1.06019,0.39232,0.2417,0.21472,0.1147,1.20472,1.24795,1.01229,0.00997422,0.00997422,0.00997422
15,787.475,1.30708,1.406,1.05786,0.30523,0.24098,0.21145,0.11202,1.20614,1.25161,1.01442,0.00997011,0.00997011,0.00997011
16,840.039,1.2971,1.38595,1.05115,0.3179,0.25096,0.22542,0.12026,1.18602,1.2339,1.00516,0.00996569,0.00996569,0.00996569
17,892.262,1.28694,1.37146,1.04641,0.35127,0.24634,0.22802,0.12094,1.18095,1.22122,1.00623,0.00996097,0.00996097,0.00996097
18,943.682,1.27831,1.35982,1.04172,0.31956,0.25429,0.22844,0.12172,1.17704,1.21369,1.00295,0.00995594,0.00995594,0.00995594
19,996.076,1.27999,1.35599,1.03751,0.33848,0.25802,0.23218,0.12564,1.17861,1.21138,1.00292,0.00995062,0.00995062,0.00995062
20,1047.28,1.26428,1.33073,1.03488,0.32977,0.25455,0.23584,0.12752,1.16538,1.19408,0.9977,0.00994499,0.00994499,0.00994499
21,1098.68,1.25573,1.31958,1.0329,0.32018,0.25881,0.23961,0.13016,1.15844,1.19043,0.99275,0.00993906,0.00993906,0.00993906
22,1151.9,1.24361,1.30811,1.02789,0.33061,0.25817,0.24602,0.13301,1.15433,1.17401,0.99251,0.00993282,0.00993282,0.00993282
23,1203.1,1.23764,1.29452,1.02596,0.33853,0.25479,0.24626,0.13467,1.14554,1.16954,0.98746,0.00992629,0.00992629,0.00992629
24,1254.81,1.23561,1.28663,1.02365,0.35093,0.26206,0.25231,0.1381,1.13954,1.15806,0.99103,0.00991946,0.00991946,0.00991946
25,1305.68,1.23425,1.28097,1.01977,0.34834,0.26845,0.24999,0.13601,1.13731,1.15815,0.98867,0.00991232,0.00991232,0.00991232
26,1357.99,1.22909,1.27847,1.02211,0.34297,0.26455,0.25383,0.13824,1.1331,1.15407,0.98503,0.00990489,0.00990489,0.00990489
27,1409.38,1.23261,1.27439,1.01762,0.36961,0.26833,0.2575,0.14058,1.1361,1.14561,0.98358,0.00989715,0.00989715,0.00989715
28,1461,1.22156,1.25882,1.01498,0.36407,0.26188,0.26005,0.14168,1.12621,1.13908,0.98303,0.00988912,0.00988912,0.00988912
29,1512.31,1.22128,1.25394,1.01364,0.37997,0.27118,0.26138,0.14379,1.12192,1.14592,0.97878,0.00988079,0.00988079,0.00988079
30,1563.44,1.22055,1.25286,1.00762,0.35507,0.27757,0.25783,0.14053,1.12723,1.14719,0.9795,0.00987216,0.00987216,0.00987216
31,1614.28,1.21927,1.25515,1.0084,0.36808,0.27642,0.26474,0.14407,1.13066,1.15816,0.97571,0.00986323,0.00986323,0.00986323
32,1664.52,1.22044,1.26226,1.00513,0.36105,0.28318,0.2691,0.14661,1.1292,1.156,0.97038,0.00985401,0.00985401,0.00985401
33,1716.69,1.2167,1.26111,1.00356,0.37258,0.27963,0.26665,0.14603,1.13994,1.16389,0.97025,0.00984449,0.00984449,0.00984449
34,1768.27,1.22386,1.2668,1.00153,0.40148,0.28095,0.27302,0.14964,1.12809,1.15284,0.96515,0.00983467,0.00983467,0.00983467
35,1820.37,1.21338,1.25393,0.99679,0.37702,0.28694,0.27218,0.14998,1.12365,1.1516,0.96353,0.00982456,0.00982456,0.00982456
36,1870.52,1.21015,1.25178,0.9947,0.37115,0.28896,0.27199,0.14969,1.1263,1.15147,0.96318,0.00981415,0.00981415,0.00981415
