epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.8864,4.71526,4.32888,3.09786,0.01148,0.01612,0.0051,0.00146,3.67103,3.34211,2.08776,0.00332921,0.00332921,0.0700371
2,121.693,3.16026,2.84238,1.63808,0.16395,0.08931,0.05122,0.02044,2.70188,2.24478,1.34425,0.00666244,0.00666244,0.040037
3,177.517,2.59929,2.30567,1.35147,0.18377,0.11811,0.07031,0.03087,2.36599,1.96355,1.21617,0.00999527,0.00999527,0.0100365
4,228.597,2.33168,2.03497,1.23825,0.22502,0.14225,0.09677,0.04681,2.06501,1.69821,1.14092,0.00999863,0.00999863,0.00999863
5,281.574,2.18913,1.87583,1.1809,0.35445,0.14976,0.10755,0.0516,2.02817,1.63283,1.11481,0.00999756,0.00999756,0.00999756
6,334.249,2.10564,1.77272,1.14772,0.18824,0.1701,0.12792,0.06452,1.89181,1.51003,1.08043,0.00999618,0.00999618,0.00999618
7,386.84,2.02514,1.688,1.12138,0.21178,0.18448,0.14868,0.07692,1.8463,1.45102,1.06961,0.0099945,0.0099945,0.0099945
8,438.913,1.97546,1.62806,1.11044,0.21696,0.1878,0.15279,0.07882,1.80796,1.41552,1.05486,0.00999252,0.00999252,0.00999252
9,491.463,1.94195,1.57563,1.08985,0.23211,0.19798,0.16303,0.08559,1.7818,1.38022,1.04593,0.00999023,0.00999023,0.00999023
10,543.047,1.8939,1.53518,1.08281,0.25087,0.20637,0.17545,0.09197,1.74107,1.33606,1.04114,0.00998764,0.00998764,0.00998764
11,596.166,1.87689,1.50362,1.07506,0.24963,0.21578,0.17939,0.09541,1.7482,1.33481,1.03367,0.00998474,0.00998474,0.00998474
12,646.591,1.86357,1.4895,1.06795,0.25773,0.21618,0.18593,0.09999,1.70614,1.30462,1.02519,0.00998154,0.00998154,0.00998154
13,698.679,1.82806,1.44561,1.06018,0.26567,0.224,0.19027,0.10202,1.70458,1.28712,1.02449,0.00997803,0.00997803,0.00997803
14,751.196,1.8225,1.43447,1.0538,0.27003,0.22996,0.199,0.10776,1.68132,1.27845,1.01403,0.00997422,0.00997422,0.00997422
15,804.909,1.79794,1.40957,1.05122,0.28311,0.2344,0.20523,0.11128,1.66062,1.25553,1.00968,0.00997011,0.00997011,0.00997011
16,856.653,1.78328,1.38729,1.04386,0.29871,0.23476,0.21032,0.11362,1.65249,1.24385,1.00464,0.00996569,0.00996569,0.00996569
17,908.916,1.77051,1.37322,1.03945,0.2837,0.23431,0.20506,0.11107,1.63627,1.23552,1.00194,0.00996097,0.00996097,0.00996097
18,959.914,1.75331,1.35916,1.03416,0.31741,0.24636,0.22116,0.12078,1.62511,1.20705,0.99957,0.00995594,0.00995594,0.00995594
19,1012.44,1.75778,1.35455,1.03008,0.31517,0.24567,0.21565,0.11781,1.64,1.22057,0.99815,0.00995062,0.00995062,0.00995062
20,1066.92,1.73508,1.33206,1.02804,0.32151,0.25072,0.22969,0.1249,1.60876,1.19564,0.99399,0.00994499,0.00994499,0.00994499
21,1118.72,1.72218,1.31524,1.02484,0.34188,0.25111,0.2347,0.12917,1.59159,1.18213,0.99076,0.00993906,0.00993906,0.00993906
22,1170.7,1.70951,1.30209,1.02188,0.33771,0.2509,0.23424,0.12837,1.58712,1.17421,0.98784,0.00993282,0.00993282,0.00993282
23,1221.61,1.69705,1.28886,1.01843,0.33906,0.26404,0.24174,0.13299,1.57908,1.15704,0.98508,0.00992629,0.00992629,0.00992629
24,1271.83,1.69508,1.28123,1.01603,0.34614,0.26282,0.24576,0.13686,1.57127,1.15525,0.98408,0.00991946,0.00991946,0.00991946
