epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.7466,4.30733,3.91654,2.62641,0.13767,0.04163,0.02747,0.01085,3.26533,2.7832,1.66058,0.00332921,0.00332921,0.0700371
2,100.822,2.91963,2.59057,1.49605,0.08661,0.10444,0.0682,0.02929,2.43952,2.00657,1.27652,0.00666244,0.00666244,0.040037
3,145.159,2.45576,2.12272,1.2879,0.23594,0.13584,0.09401,0.04325,2.17062,1.78826,1.17682,0.00999527,0.00999527,0.0100365
4,190.384,2.22399,1.88545,1.1957,0.18746,0.17099,0.12997,0.06465,1.95036,1.56588,1.11028,0.00999863,0.00999863,0.00999863
5,234.967,2.07624,1.72528,1.14206,0.21437,0.17954,0.13706,0.06825,1.92945,1.48324,1.08083,0.00999756,0.00999756,0.00999756
6,280.623,1.99149,1.61883,1.10843,0.23192,0.20695,0.16725,0.08662,1.77336,1.38464,1.04953,0.00999618,0.00999618,0.00999618
7,325.736,1.91404,1.53733,1.08648,0.25272,0.21777,0.18222,0.09577,1.72518,1.3153,1.03221,0.0099945,0.0099945,0.0099945
8,369.436,1.85813,1.47826,1.07306,0.26897,0.2267,0.1956,0.10395,1.7047,1.30533,1.02916,0.00999252,0.00999252,0.00999252
9,414.859,1.82654,1.42513,1.05472,0.28902,0.23559,0.20764,0.11054,1.67174,1.26222,1.02123,0.00999023,0.00999023,0.00999023
10,459.727,1.77651,1.38388,1.04672,0.30245,0.24869,0.22415,0.12039,1.63543,1.2307,1.00382,0.00998764,0.00998764,0.00998764
11,505.048,1.76038,1.35291,1.04039,0.31076,0.25037,0.23044,0.12324,1.62497,1.2031,0.99909,0.00998474,0.00998474,0.00998474
12,549.999,1.74349,1.33888,1.03272,0.32145,0.26624,0.24247,0.12977,1.58583,1.17841,0.9928,0.00998154,0.00998154,0.00998154
13,593.819,1.71297,1.29976,1.02593,0.3288,0.2642,0.23989,0.13041,1.58989,1.16424,0.9897,0.00997803,0.00997803,0.00997803
14,639.378,1.70579,1.28599,1.01983,0.35402,0.26841,0.25562,0.1407,1.55377,1.15016,0.98237,0.00997422,0.00997422,0.00997422
15,684.606,1.6814,1.26591,1.01709,0.3422,0.28257,0.25941,0.14194,1.54335,1.14218,0.97669,0.00997011,0.00997011,0.00997011
16,729.909,1.66712,1.24416,1.01,0.35879,0.2858,0.26527,0.14503,1.53694,1.12684,0.97502,0.00996569,0.00996569,0.00996569
17,773.817,1.65446,1.22834,1.00582,0.36214,0.27833,0.26473,0.14603,1.53467,1.11892,0.97561,0.00996097,0.00996097,0.00996097
18,818.742,1.64039,1.21539,1.00126,0.36618,0.29738,0.27538,0.15111,1.51911,1.10061,0.97533,0.00995594,0.00995594,0.00995594
19,863.653,1.63905,1.21164,0.99668,0.36304,0.30926,0.28578,0.15851,1.51102,1.08891,0.96821,0.00995062,0.00995062,0.00995062
20,908.824,1.61896,1.19187,0.99508,0.37852,0.30129,0.28372,0.15723,1.49819,1.08511,0.96379,0.00994499,0.00994499,0.00994499
21,953.858,1.60904,1.1798,0.99204,0.38436,0.30194,0.28876,0.16111,1.48631,1.08008,0.96355,0.00993906,0.00993906,0.00993906
22,998.721,1.59686,1.16572,0.98905,0.39967,0.30718,0.29577,0.16358,1.48622,1.07057,0.96242,0.00993282,0.00993282,0.00993282
23,1044.05,1.58516,1.15323,0.9867,0.39614,0.30754,0.29528,0.16495,1.47197,1.05856,0.95712,0.00992629,0.00992629,0.00992629
24,1088.86,1.57997,1.14484,0.98371,0.3792,0.31954,0.29852,0.16756,1.46319,1.05284,0.956,0.00991946,0.00991946,0.00991946
25,1134.75,1.57736,1.13833,0.97987,0.38251,0.31306,0.29723,0.16672,1.45711,1.05445,0.95275,0.00991232,0.00991232,0.00991232
26,1179.05,1.56963,1.1324,0.98252,0.40415,0.31233,0.29986,0.17068,1.45184,1.04239,0.95171,0.00990489,0.00990489,0.00990489
27,1223.97,1.57169,1.12876,0.97839,0.40216,0.32267,0.30833,0.17489,1.44272,1.03488,0.94797,0.00989715,0.00989715,0.00989715
28,1269.07,1.55783,1.1164,0.97555,0.41104,0.31688,0.31026,0.17465,1.4453,1.03035,0.94923,0.00988912,0.00988912,0.00988912
29,1313.41,1.55614,1.10742,0.97378,0.40367,0.3217,0.31194,0.17576,1.43818,1.03172,0.94488,0.00988079,0.00988079,0.00988079
30,1358.01,1.55056,1.10358,0.96864,0.41444,0.32527,0.31532,0.17767,1.43417,1.02092,0.94623,0.00987216,0.00987216,0.00987216
31,1403.41,1.53828,1.09653,0.96982,0.41752,0.32208,0.31461,0.17707,1.42771,1.01912,0.94441,0.00986323,0.00986323,0.00986323
32,1449.35,1.53516,1.09212,0.96888,0.40843,0.33101,0.31918,0.18071,1.41824,1.01132,0.94174,0.00985401,0.00985401,0.00985401
33,1494.59,1.52404,1.08475,0.96811,0.41086,0.33298,0.3214,0.18091,1.42043,1.01207,0.94161,0.00984449,0.00984449,0.00984449
34,1539.85,1.53179,1.08544,0.96838,0.43238,0.3285,0.32622,0.18471,1.41494,1.00616,0.94277,0.00983467,0.00983467,0.00983467
35,1584.45,1.5168,1.07389,0.96507,0.4364,0.33077,0.32741,0.18649,1.40484,0.99901,0.93748,0.00982456,0.00982456,0.00982456
36,1628.3,1.51267,1.06819,0.96495,0.42259,0.33407,0.327,0.18619,1.40545,0.9978,0.93842,0.00981415,0.00981415,0.00981415
37,1673.17,1.51237,1.06132,0.95981,0.43595,0.33783,0.33441,0.19032,1.40294,0.99231,0.93809,0.00980345,0.00980345,0.00980345
38,1717.49,1.50608,1.06095,0.96213,0.42425,0.34169,0.33154,0.18833,1.39892,0.99146,0.9375,0.00979246,0.00979246,0.00979246
39,1762.49,1.51226,1.05704,0.96052,0.42577,0.34041,0.33341,0.19091,1.40008,0.98916,0.93767,0.00978118,0.00978118,0.00978118
40,1807.11,1.50125,1.04777,0.95958,0.43339,0.34211,0.33763,0.1927,1.39232,0.981,0.93613,0.0097696,0.0097696,0.0097696
41,1852.11,1.49893,1.04393,0.96137,0.43292,0.33917,0.33372,0.19086,1.39117,0.98049,0.9345,0.00975773,0.00975773,0.00975773
42,1897.68,1.50379,1.04765,0.95809,0.42885,0.34731,0.33402,0.19023,1.38864,0.98373,0.93444,0.00974557,0.00974557,0.00974557
43,1943.06,1.50145,1.04503,0.95589,0.42548,0.35273,0.33818,0.19418,1.38846,0.97703,0.93493,0.00973312,0.00973312,0.00973312
44,1987.89,1.48297,1.03325,0.95738,0.43904,0.34031,0.33677,0.19332,1.38838,0.97711,0.93385,0.00972039,0.00972039,0.00972039
45,2033.82,1.48361,1.03149,0.95406,0.45357,0.33844,0.34489,0.19872,1.38563,0.96887,0.93306,0.00970736,0.00970736,0.00970736
46,2078.63,1.49589,1.03493,0.95391,0.43987,0.34487,0.34142,0.19616,1.39577,0.98128,0.93257,0.00969405,0.00969405,0.00969405
47,2123.95,1.49972,1.0431,0.95478,0.43725,0.35036,0.34237,0.19597,1.4031,0.99324,0.93076,0.00968045,0.00968045,0.00968045
48,2169.05,1.50077,1.04373,0.95089,0.43612,0.35077,0.34522,0.19859,1.40012,0.99241,0.92733,0.00966656,0.00966656,0.00966656
49,2214.45,1.50338,1.04399,0.94848,0.44845,0.35492,0.35208,0.20266,1.40187,0.9942,0.92733,0.00965239,0.00965239,0.00965239
50,2259.75,1.50293,1.05174,0.95194,0.4369,0.35645,0.34755,0.2003,1.40655,0.99735,0.92579,0.00963794,0.00963794,0.00963794
51,2304.63,1.49716,1.05151,0.94677,0.4483,0.34897,0.35037,0.20161,1.4032,0.99432,0.92369,0.0096232,0.0096232,0.0096232
52,2350.54,1.49458,1.04682,0.94458,0.44849,0.35543,0.35448,0.20393,1.39692,0.98993,0.92228,0.00960819,0.00960819,0.00960819
53,2395.55,1.49209,1.04331,0.94313,0.45031,0.35182,0.35235,0.20317,1.39191,0.98637,0.92211,0.00959289,0.00959289,0.00959289
54,2441.35,1.48477,1.03623,0.9405,0.46489,0.34855,0.35367,0.20554,1.3928,0.98463,0.91979,0.00957731,0.00957731,0.00957731
55,2486.74,1.48832,1.03896,0.94072,0.45582,0.34954,0.35474,0.20551,1.38751,0.98176,0.91891,0.00956145,0.00956145,0.00956145
56,2531.45,1.49273,1.03948,0.93818,0.45559,0.35278,0.35758,0.20733,1.38473,0.98162,0.9175,0.00954531,0.00954531,0.00954531
57,2576.71,1.48774,1.03351,0.93506,0.46167,0.35448,0.35901,0.20795,1.38516,0.9775,0.91836,0.00952889,0.00952889,0.00952889
58,2620.76,1.47394,1.02295,0.93719,0.45602,0.3591,0.35958,0.20943,1.38295,0.97379,0.91723,0.0095122,0.0095122,0.0095122
59,2665.56,1.46828,1.02438,0.93722,0.45983,0.36331,0.35978,0.2085,1.38319,0.97608,0.9166,0.00949524,0.00949524,0.00949524
60,2710.37,1.4792,1.02447,0.93516,0.46531,0.35551,0.3606,0.20901,1.38037,0.97069,0.91623,0.009478,0.009478,0.009478
61,2755.52,1.46775,1.01278,0.93119,0.46928,0.35976,0.36245,0.21014,1.37646,0.9664,0.91585,0.00946048,0.00946048,0.00946048
62,2800.5,1.4664,1.01245,0.93144,0.46404,0.36103,0.36528,0.21201,1.37288,0.96345,0.91377,0.0094427,0.0094427,0.0094427
63,2844.57,1.46361,1.0096,0.93059,0.46514,0.36002,0.36493,0.2126,1.37024,0.96483,0.91376,0.00942464,0.00942464,0.00942464
64,2890.2,1.46015,1.01209,0.9333,0.45524,0.36391,0.36345,0.21164,1.37347,0.96402,0.91411,0.00940631,0.00940631,0.00940631
65,2935.32,1.45932,1.00668,0.93341,0.45793,0.36528,0.36629,0.21399,1.36874,0.95911,0.91339,0.00938772,0.00938772,0.00938772
66,2979.85,1.46223,1.00649,0.92871,0.4738,0.36152,0.36909,0.21529,1.36875,0.95726,0.91297,0.00936886,0.00936886,0.00936886
67,3024.35,1.45645,0.99921,0.92892,0.4632,0.36704,0.36707,0.21427,1.36581,0.95615,0.91254,0.00934973,0.00934973,0.00934973
68,3068.55,1.44278,0.99664,0.92903,0.47533,0.36368,0.36991,0.21664,1.36226,0.95204,0.91192,0.00933033,0.00933033,0.00933033
69,3114,1.4517,0.99734,0.92645,0.46927,0.36383,0.37126,0.21696,1.36505,0.95356,0.91214,0.00931067,0.00931067,0.00931067
70,3159.46,1.44749,0.99406,0.92855,0.4732,0.36304,0.37107,0.21712,1.36235,0.95095,0.91137,0.00929075,0.00929075,0.00929075
71,3204.46,1.45458,0.99213,0.92966,0.46531,0.36704,0.37059,0.21683,1.35942,0.94865,0.91094,0.00927057,0.00927057,0.00927057
72,3250.28,1.44985,0.99177,0.92575,0.47527,0.3704,0.37415,0.21955,1.36021,0.94656,0.91062,0.00925013,0.00925013,0.00925013
73,3295.87,1.4394,0.98233,0.926,0.47428,0.36999,0.3733,0.21948,1.35455,0.94275,0.90949,0.00922942,0.00922942,0.00922942
74,3340.19,1.44457,0.98318,0.92642,0.47615,0.36657,0.37311,0.21807,1.35482,0.94542,0.90917,0.00920846,0.00920846,0.00920846
75,3385.07,1.42761,0.97769,0.92746,0.47565,0.3661,0.37306,0.21846,1.35605,0.94449,0.90978,0.00918725,0.00918725,0.00918725
