epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.8436,4.17119,3.74786,2.33917,0.14435,0.03795,0.02571,0.00856,3.13962,2.65766,1.56929,0.00332921,0.00332921,0.0700371
2,83.6436,2.93589,2.61055,1.4833,0.17149,0.07668,0.05224,0.02045,2.7038,2.16969,1.3124,0.00666244,0.00666244,0.040037
3,123.015,2.52366,2.21947,1.31097,0.22637,0.12774,0.07999,0.03595,2.22773,1.84201,1.20198,0.00999527,0.00999527,0.0100365
4,161.272,2.29601,1.97784,1.21764,0.24127,0.13958,0.09906,0.04706,2.08601,1.66535,1.15518,0.00999863,0.00999863,0.00999863
5,199.556,2.15482,1.82781,1.16403,0.25659,0.16307,0.11766,0.05701,1.97051,1.58879,1.1,0.00999756,0.00999756,0.00999756
6,237.845,2.07979,1.73514,1.13322,0.1863,0.18255,0.13589,0.0681,1.86854,1.51782,1.07845,0.00999618,0.00999618,0.00999618
7,276.346,2.00842,1.65869,1.11211,0.21907,0.1936,0.15084,0.07813,1.83196,1.42767,1.06111,0.0099945,0.0099945,0.0099945
8,314.078,1.95961,1.60434,1.10059,0.23594,0.20078,0.16326,0.08416,1.79061,1.39042,1.05147,0.00999252,0.00999252,0.00999252
9,352.185,1.92967,1.55372,1.08198,0.25227,0.20545,0.17286,0.08946,1.75687,1.35232,1.04909,0.00999023,0.00999023,0.00999023
10,389.869,1.88333,1.52074,1.07526,0.25813,0.21138,0.17757,0.0925,1.73994,1.34291,1.03595,0.00998764,0.00998764,0.00998764
11,427.311,1.86975,1.49085,1.0688,0.26098,0.22392,0.18917,0.09934,1.73122,1.32365,1.02525,0.00998474,0.00998474,0.00998474
12,463.656,1.8564,1.475,1.06122,0.2829,0.22464,0.19488,0.10323,1.6963,1.28862,1.01912,0.00998154,0.00998154,0.00998154
13,501.306,1.8245,1.43705,1.05492,0.2573,0.21952,0.18928,0.10005,1.70675,1.30682,1.0197,0.00997803,0.00997803,0.00997803
14,538.8,1.81961,1.42706,1.04826,0.29215,0.22967,0.20757,0.11263,1.66666,1.26072,1.00895,0.00997422,0.00997422,0.00997422
15,575.414,1.79702,1.40829,1.04681,0.29448,0.24603,0.21451,0.11486,1.66702,1.2582,1.0103,0.00997011,0.00997011,0.00997011
16,613.019,1.78496,1.38572,1.04067,0.30485,0.24069,0.21471,0.11344,1.65244,1.25998,1.00507,0.00996569,0.00996569,0.00996569
17,650.814,1.77551,1.37715,1.03446,0.30956,0.2413,0.22383,0.12052,1.64992,1.24173,1.00271,0.00996097,0.00996097,0.00996097
18,689.609,1.7729,1.37409,1.03081,0.31907,0.24424,0.22236,0.12015,1.64134,1.24005,0.99421,0.00995594,0.00995594,0.00995594
19,728.127,1.78581,1.37922,1.02604,0.32797,0.25411,0.23095,0.12378,1.66659,1.24128,0.99793,0.00995062,0.00995062,0.00995062
