model,Precision(%),Recall(%),mAP@50(%),mAP@50:95(%),params,GFLOPS,FPS
yolov11n,45.1,34.4,34.2,19.8,2584102,6.3,476
RFD,45.5,35.0,35.1,20.4,2481384,6.3
SACSP,47.6,36.4,36.9,21.4,2803094,8.4
P2,47.5,36.3,36.9,21.9,1933518,9.6
SFPN3,47.3,34.9,35.9,20.9,2593414,7.9
SDCIOU,45.8,35.1,34.9,20.1,2584102,6.3

RFD+SACSP,47.9,36.8,37.7,21.9,2700376,8.5
RFD+SACSP+P2,51.4,38.6,40.4,24.3,2086336,11.8
RFD+SACSP+P2+SFPN3,53.7,41.7,43.8,26.6,2.57,20.37

SACSP+P2+SFPN3+SDCIOU,53.9,41.7,43.9,26.8,2687918,20.5

RFD+SACSP+P2+SFPN3+SDCIOU,53.9,41.9,44.3,27.0,2.57,20.37
RFD+SACSP+P2+SFPN2+SDCIOU,52.0,41.5,43.0,26.0,2359856,17.4
RFD+SACSP+P2+SFPN1+SDCIOU,52.1,39.4,41.4,25.0,2158448,14.4
RFD+SACSP+P2+SDCIOU,50.4,38.8,40.0,24.0,2086336,11.8

RSSYOLO3_REPADOWN,53.2,42.2,43.9,26.5,2327470,19.2
RSSYOLO3_REPADOWN_E2E,51.5,41.3,42.2,25.4,2114442,15.3

RSSYOLO3_REPADOWN_E2E_2DA0.08,52.8,40.3,41.9,25.2
RSSYOLO3_REPADOWN_E2E_2DA0.1,53.0,41.5,42.6,25.4
RSSYOLO3_REPADOWN_E2E_2DA0.12,51.6,40.5,42.3,25.7
RSSYOLO3_REPADOWN_E2E_2DA0.15,52.7,39.6,41.9,25.6

RSSYOLO3_REPADOWN_E2E_2DA0.1_0.45,52.9,40.7,42.6,25.7

RSSYOLO3_LITE_PURNED_1.5,53.2,41.2,43.2,26.1,1220493,10.4
RSSYOLO3_LITE_PURNED_1.7,52.7,40.8,42.7,25.6,1097743,9.0
RSSYOLO3_LITE_PURNED_2.0,50.6,39.3,41.1,24.5,981919,7.6
RSSYOLO3_LITE_PURNED_2.5,49.1,38.2,39.3,23.3,870232,6.2
